#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Trouble’s Coming","Royal Blood",112,12A,69,2020-10-16,03:48,51,"garage rock, rock","Trouble’s Coming",2020-09-24,78,5,0,81,0,30,-5,C♯/D♭ Minor,4,5eR6OS3joTAHJToyzehKfu,GBAHT2000193,no
2,"Black Eyes Blue","Corey Taylor",119,1A,98,2020-10-16,03:22,48,"","CMFT",2020-10-02,55,0,0,56,0,10,-4,G#/A♭ Minor,4,2Gx3kLdFT0elzqKG7SFyCw,NLA322000272,no
3,"Hallucinogenics","Matt Maeson",121,8B,65,2020-10-16,03:07,73,"","Bank On The Funeral",2019-04-05,55,46,0,29,0,10,-7,C Major,4,6bLU8e0LGyztE9iD5DWBQ1,USAT21801088,yes
4,"Atlas Falls","Shinedown",182,12A,89,2020-10-16,03:12,55,"post-grunge, alternative metal, rock","Atlas Falls",2020-05-22,39,10,0,42,0,10,-3,C♯/D♭ Minor,3,7m1Lw3uTakxHFxGjXXbE4l,USAT22001805,no
5,"Dangerous","Seether",101,5A,90,2020-10-16,03:49,0,"post-grunge, alternative metal, rock","Dangerous",2020-06-24,60,0,2,54,0,0,-5,C Minor,4,07YAkI4MUIBku8cSJQ2Iz5,USC4R2007517,no
6,"Shot In The Dark","AC/DC",114,10B,79,2020-10-16,03:05,52,"rock, hard rock, classic rock, rock and roll","Shot In The Dark",2020-10-07,60,0,0,82,0,0,-5,D Major,4,6ZtrGCcn38kGImt2GPFbJB,USSM11914743,no
7,"Somebody That I Used to Know","Three Days Grace",120,10A,64,2020-10-16,03:29,59,"post-grunge, rock","Somebody That I Used to Know",2020-07-22,60,0,0,51,0,20,-8,B Minor,4,100lHmeZbp3OvinYgotmVc,USRC12002108,no
8,"Popular Monster","Falling In Reverse",165,2A,90,2020-10-16,03:40,71,"emo, rap metal","Popular Monster",2019-11-20,46,1,0,36,0,10,-4,D#/E♭ Minor,4,4GssB27iJeqmfGxS94Tfij,USEP41915005,yes
9,"Death By Rock And Roll","The Pretty Reckless",97,12B,94,2020-10-16,03:54,0,"","Death By Rock And Roll",2020-05-15,49,0,1,49,0,10,-3,E Major,4,0ThYrwnekhJLSJBiGPD1L7,US5262023639,yes
10,"30","Badflower",135,11B,97,2020-10-16,03:46,51,"post-grunge","30",2020-07-17,55,0,0,37,10,0,-4,A Major,3,6nipZlJiUvI0I7lCf1Z7Li,USCJY2054091,yes
11,"Hero","Weezer",140,10B,74,2020-10-16,03:56,43,"alternative rock","Hero",2020-05-06,55,0,0,42,0,30,-4,D Major,4,4Fj6KslSYYQ1kAbafiKoz0,USAT21905202,no
12,"TRIALS","STARSET",106,3B,67,2020-10-16,04:18,62,"","DIVISIONS",2019-09-13,48,0,0,25,0,10,-7,C♯/D♭ Major,4,23wrmyJ1S2sjeh2dFN5P9k,US5261923243,no
13,"Flowers On A Grave","Bush",92,9B,85,2020-10-16,03:45,0,"grunge, post-grunge","The Kingdom",2020-07-17,18,0,0,42,0,10,-4,G Major,4,4TcYGnt7qcBuDoGTWHJ36E,QMRSZ2000295,no
14,"Sober","Bad Wolves",157,2B,81,2020-10-16,03:15,0,"metal","N.A.T.I.O.N.",2019-10-25,46,1,0,62,0,10,-7,F#/G♭ Major,4,6Uaqf3LCwuVebfm5u3ndq9,USDPK1900060,no
15,"Wolf Totem (feat. Jacoby Shaddix of Papa Roach)","The HU,Jacoby Shaddix,Papa Roach",172,4B,90,2020-10-16,05:17,0,"folk metal, nu metal, rap metal, alternative metal, rap rock, rock","The Gereg (Deluxe Edition)",2020-07-10,37,2,0,67,0,60,-4,G#/A♭ Major,4,35UsDRvnFWxVhvo2LtmMtG,USDPK1900170,no
16,"Bang!","AJR",140,12A,52,2020-10-27,02:50,2,"","Bang!",2020-02-12,74,2,0,70,0,0,-6,C♯/D♭ Minor,4,53BHUFdQphHiZUUG3nx9zn,QMRSZ2000128,no
17,"Possum Kingdom","Toadies",101,11B,73,2020-11-09,05:08,69,"grunge, alternative rock","Rubberneck",1994-01-01,64,0,1,93,0,0,-9,A Major,4,56SkdBKyR2zOkjk6wVFI9s,USIR19500420,no
18,"MONSTERS","Shinedown",150,7B,90,2024-06-06,04:08,72,"post-grunge, alternative metal, rock","ATTENTION ATTENTION",2018-05-04,49,0,0,38,0,10,-5,F Major,4,1qAuIPMALdFtGv2Ymjy5l0,USAT21800624,no
19,"Giving It Back","Sons Of Silver",138,9A,86,2024-09-17,03:45,17,"","Giving It Back",2024-06-14,43,0,1,49,0,10,-4,E Minor,4,57YA94D8IcH2Vn8BFjd2Un,USZXT2400121,no
20,"Living On The 110","Prophets Of Rage",158,11B,95,2026-07-02,03:48,0,"rap metal, rap rock","Living On The 110",2017-07-12,56,0,3,74,0,0,-5,A Major,4,3mBjUka3HBmY2TRL7HqyEE,USC4R1706035,no
21,"Country Song","Seether",96,8B,86,2026-07-02,03:49,67,"post-grunge, alternative metal, rock","Holding Onto Strings Better Left To Fray",2011-01-01,63,0,0,91,0,20,-6,C Major,4,2abHKI9Oox4NBEhOh3HMbq,USWU31000150,no
22,"Through Glass","Stone Sour",106,2A,75,2026-07-08,04:42,77,"post-grunge, alternative metal, nu metal","Come What(ever) May [10th Anniversary Edition]",2006-00-00,55,4,0,43,0,30,-5,D#/E♭ Minor,4,5NeIONQWJ25uPylJBJiO4c,NLA320682289,no
