#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Fresh Tattoo","The Mountain Goats",109,1B,65,2024-12-30,04:42,0,"folk punk, anti-folk, indie folk","Jenny from Thebes",2023-10-27,38,8,3,25,0,10,-9,B Major,3,6mjZGEbwJuT0ACECrF8HFF,USMRG2384104,no
2,"Dark in Here","The Mountain Goats",125,8A,60,2024-12-30,03:23,0,"folk punk, anti-folk, indie folk","Dark in Here",2021-06-25,64,37,50,31,0,0,-8,A Minor,4,2o2stv4uGKSYuUaghBTVX3,USMRG2172604,no
3,"This Year","The Mountain Goats",139,11B,72,2024-12-30,03:52,51,"folk punk, anti-folk, indie folk","The Sunset Tree",2005-04-25,70,12,0,83,0,0,-9,A Major,4,0s9aeZriwqyBYfxFzsd20R,GBAFL0400071,no
4,"Only Takes a Few - bonus track","The Mountain Goats",164,7B,86,2024-12-30,04:09,31,"folk punk, anti-folk, indie folk","tick, tick... BOOM! (Soundtrack from the Netflix Film)",2021-11-12,54,1,0,84,0,10,-6,F Major,4,1LH1liP9F0qs5FiEVUDZXr,QZ8BZ2100749,no
5,"The Mariner's Revenge Song","The Decemberists",78,8A,58,2024-12-30,08:45,48,"baroque pop, indie folk","Picaresque",2005-00-00,38,25,0,46,10,0,-5,A Minor,4,3GDIZO71jiE1FEcHEJh3RH,USKRS0542510,no
6,"The Tempest","The Real McKenzies",175,6B,54,2024-12-30,04:08,0,"celtic punk, celtic rock, celtic, sea shanties, folk punk, punk","Westwinds",2012-03-27,48,6,0,73,0,20,-5,A#/B♭ Major,4,6gXLYsEkqlhe41lWPdBKOx,USFW41278801,no
7,"My Head is Filled With Music","The Real McKenzies",113,6B,95,2024-12-30,02:59,0,"celtic punk, celtic rock, celtic, sea shanties, folk punk, punk","Westwinds",2012-03-27,43,0,0,54,0,0,-4,A#/B♭ Major,4,6wau8ib9QKkqHaxeKZALVC,USFW41278811,no
8,"Letter to Lady J","DISPATCH",132,12B,72,2024-12-30,04:15,40,"jam band","Location 13 (Deluxe Version)",2018-11-16,51,22,0,33,0,40,-7,E Major,4,6iQylmI5wYJrvSrLeVWf3h,GBWWP1804047,no
9,"Anxious and Worrying","Defiance, Ohio",90,10B,75,2024-12-30,02:07,34,"folk punk, anti-folk, midwest emo","The Fear, the Fear, the Fear",2007-00-00,33,1,0,77,0,0,-7,D Major,4,5x3bC1FE2lRWMT3lS09y1z,US4KC0723307,no
10,"Smoke","Tara Terra",171,3B,64,2025-01-17,03:44,2,"","Daughter",2014-08-30,25,1,0,61,0,10,-8,C♯/D♭ Major,4,43Q5ViomNNdhwnKuVbTFNI,QMPKX1470875,no
11,"Lorelei","Tara Terra",130,7A,73,2025-01-17,04:13,2,"","Where's Your Light?",2017-05-31,60,5,0,34,0,0,-6,D Minor,4,4VnFBGhgwyGAMAeuD78OcA,QM99V1615809,no
12,"Mountain at My Gates","Foals",104,7A,93,2025-03-08,04:04,72,"indie","What Went Down",2015-08-28,50,0,8,62,0,20,-5,D Minor,4,3f7OyfSoDbQC0LRDQiytPp,GBAHT1500380,no
