#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Arsonist's Lullabye","Hozier",65,11A,37,2016-12-09,04:26,56,"","From Eden EP",2014-03-09,46,67,7,18,0,10,-11,F#/G♭ Minor,4,1UWhx0pFZccP4jdCIZsj7U,USSM11401476,no
2,"Take Me to Church","Hozier",129,9A,66,2016-12-09,04:01,62,"","Hozier",2014-10-07,57,64,0,44,0,10,-5,E Minor,4,0aOluBqXYd0rFSCsgDyAWX,USSM11307291,no
3,"Angel of Small Death and the Codeine Scene","Hozier",94,12B,64,2016-12-09,03:39,46,"","Hozier",2014-10-07,52,20,0,39,0,10,-6,E Major,4,7uY7jZs5srSx3xMmyCI48T,USSM11307293,no
4,"To Be Alone","Hozier",67,5A,44,2016-12-09,05:23,42,"","Hozier",2014-10-07,58,40,0,26,0,10,-7,C Minor,3,32G6qOwK5SuBEA9D6pth34,USSM11405189,no
5,"Left Hand Free","alt-J",102,5B,88,2016-12-09,02:53,74,"indie, indie rock","This Is All Yours",2014-09-22,70,46,1,80,0,0,-4,D#/E♭ Major,4,4iEOVEULZRvmzYSZY2ViKN,GBZUZ1400272,no
6,"Fire","Barns Courtney",108,3A,64,2016-12-09,03:17,43,"","Fire",2015-10-23,55,21,0,45,0,0,-6,A#/B♭ Minor,4,3twEx52dboO1CqWu5x1i2h,GBUM71506495,no
7,"Glitter & Gold","Barns Courtney",171,4B,62,2016-12-09,02:56,28,"","Glitter & Gold",2015-11-02,49,31,0,38,0,10,-5,G#/A♭ Major,4,6bYjclvTLjcmZZC5GhmSFQ,GBUM71507092,no
8,"Hands","Barns Courtney",98,12B,84,2016-12-09,03:04,0,"","Hands",2016-04-27,53,9,0,40,0,30,-4,E Major,4,01Mn8pMvBLkBHyftpNwCLL,GBUM71601300,no
9,"Oats In The Water","Ben Howard",130,7A,47,2016-12-09,04:59,63,"indie folk, folk pop","The Burgh Island EP",2012-01-01,36,27,30,9,0,10,-9,D Minor,4,4dr5sJ1p6mdNpK3fIUz8vR,GBUM71206832,no
10,"Big Sky Country","Chris Whitley",90,6B,44,2016-12-09,04:45,33,"roots rock, americana, alt country, blues rock","Living With The Law",1991-07-02,66,50,0,60,0,0,-11,A#/B♭ Major,4,3MOHZpSZQmP2f1f30aqpDH,USSM19100523,no
11,"Your Heartbeat Is","Emily Blue",130,11B,50,2016-12-09,02:47,0,"","Another Angry Woman",2016-11-11,55,65,0,13,0,10,-11,A Major,4,6KNlEj82WqMJ9wDVxwKmpe,USB481690101,no
12,"Mountain at My Gates","Foals",104,7A,93,2016-12-09,04:04,2,"indie","What Went Down",2015-08-28,50,0,8,62,0,20,-5,D Minor,4,53L6A3I9vf7rgEZnMzx54E,GBAHT1500380,no
13,"Radioactive","Imagine Dragons",136,11B,78,2016-12-09,03:06,76,"","Night Visions",2012-09-04,45,10,0,24,0,60,-4,A Major,4,4G8gkOterJn0Ywt6uhqbhp,USUM71201074,no
14,"Smoke And Mirrors","Imagine Dragons",110,9B,64,2016-12-09,04:20,45,"","Smoke + Mirrors (Deluxe)",2015-10-16,60,6,2,9,0,40,-7,G Major,4,5w5NylxR2K71isn84raTZh,USUM71417930,no
15,"Queen of California","John Mayer",83,12B,74,2016-12-09,04:09,60,"singer-songwriter","Born and Raised",2012-05-21,54,64,45,71,0,0,-11,E Major,4,0CETmgFGt8Ne8vLnaLcduU,USSM11201476,no
16,"No Good","KALEO",109,11B,93,2016-12-09,03:54,71,"","A/B",2016-06-10,38,2,0,58,10,10,-4,A Major,4,0Tr5G2mE56eLUGvCaXRM8I,USAT21601267,no
17,"In Chains","Shaman's Harvest",142,10A,73,2016-12-09,04:09,0,"","Smokin' Hearts & Broken Guns",2014-09-12,46,0,0,26,0,20,-5,B Minor,4,4PX6YOc2ysHxiBqwNNca2F,NLB931400409,no
18,"Smoke","Tara Terra",171,3B,64,2016-12-09,03:44,2,"","Daughter",2014-08-30,25,1,0,61,0,10,-8,C♯/D♭ Major,4,43Q5ViomNNdhwnKuVbTFNI,QMPKX1470875,no
19,"Bare Feet","Tara Terra",100,12A,72,2016-12-09,03:01,0,"","Daughter",2014-08-30,38,13,0,75,0,20,-9,C♯/D♭ Minor,4,3pSXSKvKhvNf4LraHgmnF3,QMPKX1470882,no
20,"Go","Valley Lodge",153,3B,99,2016-12-09,03:47,37,"power pop","Use Your Weapons",2013-09-03,54,7,64,84,0,30,-4,C♯/D♭ Major,4,5IP1c6DNlnZLJwldkVgAtX,ushm81353245,no
21,"Ban All the Music","Nothing But Thieves",165,8B,95,2016-12-26,02:52,45,"","Nothing But Thieves (Deluxe)",2015-10-16,28,0,0,37,10,30,-4,C Major,4,1wzbGtVEdpxHyieUIkeh3N,GBARL1500789,no
22,"Shut Up and Dance","WALK THE MOON",128,3B,87,2017-01-04,03:19,89,"","TALKING IS HARD",2014-12-02,58,1,0,62,0,20,-4,C♯/D♭ Major,4,4kbj5MwxO1bq9wjT5g9HaA,USRC11401949,no
23,"Dark Necessities","Red Hot Chili Peppers",92,4A,74,2017-01-04,05:02,81,"funk rock, alternative rock, rock","The Getaway",2016-06-17,70,7,2,20,0,10,-7,F Minor,4,2oaK4JLVnmRGIO9ytBE1bt,USWB11600478,no
24,"Snow (Hey Oh)","Red Hot Chili Peppers",105,1B,90,2017-01-04,05:34,86,"funk rock, alternative rock, rock","Stadium Arcadium",2006-05-09,43,12,0,60,0,10,-4,B Major,4,2aibwv5hGXSgw7Yru8IYTO,USWB10601591,no
25,"Love Runs Out","OneRepublic",120,9B,94,2017-01-04,03:44,68,"soft pop","Native",2014-01-01,72,17,0,74,0,10,-4,G Major,4,5BJSZocnCeSNeYMj3iVqM7,USUM71404631,no
26,"Damn These Vampires","The Mountain Goats",99,10B,27,2017-01-04,03:24,0,"folk punk, anti-folk, indie folk","All Eternals Deck",2011-03-29,59,58,2,30,0,0,-15,D Major,4,6rfD0hu8Dgz7U2rD2HK1pZ,USMRG1140501,no
27,"Color in Your Cheeks","The Mountain Goats",101,12B,40,2017-01-04,02:40,0,"folk punk, anti-folk, indie folk","All Hail West Texas (Remastered)",2002-00-00,75,90,0,63,0,30,-11,E Major,4,5NfLknyes6L0h5dDB6ZPck,USMRG1348103,no
28,"Foreign Object","The Mountain Goats",138,11B,74,2017-01-04,02:51,0,"folk punk, anti-folk, indie folk","Beat the Champ",2015-04-07,78,5,3,93,0,30,-6,A Major,4,4rLLO47FTsKBwNILP9rMYI,USMRG1551603,no
29,"This Year","The Mountain Goats",139,11B,72,2017-01-04,03:52,0,"folk punk, anti-folk, indie folk","The Sunset Tree",2005-05-02,70,12,0,83,0,0,-9,A Major,4,2M1Qc1mGSI1IYtmJzQtfPq,GBAFL0400071,no
30,"Up the Wolves","The Mountain Goats",158,10B,37,2017-01-04,03:27,0,"folk punk, anti-folk, indie folk","The Sunset Tree",2005-05-02,49,49,0,48,0,0,-9,D Major,4,41LUI2mXScZDjIZWmvvWpR,GBAFL0400075,no
31,"7 Years","Lukas Graham",120,6B,47,2017-01-04,03:57,87,"dansk pop","Lukas Graham",2016-04-01,77,29,0,34,0,30,-6,A#/B♭ Major,4,5kqIPrATaCc2LqxVWzQGbk,USWB11506516,no
32,"Killing Fields","The Last Internationale",188,11B,89,2017-01-04,04:32,25,"blues rock","We Will Reign",2014-08-15,37,0,1,50,0,10,-5,A Major,4,6lPadg8htluMwH8JI9EP8o,USSM11401468,no
33,"Hipster Shakes","Black Pistol Fire",88,8B,91,2017-01-10,02:50,0,"blues rock, modern blues, garage rock","Hush or Howl",2014-04-01,35,5,0,58,10,10,-5,C Major,4,1rnXcVsz3y7kgsArGIVjvO,CAIK01300005,no
34,"Pompeii","Bastille",127,11B,71,2017-01-12,03:34,5,"","All This Bad Blood",2013-01-01,68,7,0,58,0,20,-6,A Major,4,0sooJd5WbNnnz5k6yO7FIQ,GBAAA1200795,no
35,"Something Just Like This","The Chainsmokers,Coldplay",103,10A,65,2017-02-22,04:07,74,"","Something Just Like This",2017-02-22,61,3,0,51,0,10,-7,B Minor,4,1dNIEtp7AY3oDAKCGg2XkH,USQX91700278,no
36,"Pumped Up Kicks","Foster The People",128,4A,71,2017-03-11,03:59,89,"","Torches",2011-05-23,73,14,12,97,0,10,-6,F Minor,4,7w87IxuO7BDcJ3YUqCyMTT,USSM11002931,no
37,"The Regulator","Clutch",90,9B,71,2017-11-01,05:25,0,"stoner rock, stoner metal, sludge metal","Summer Sound Attack",2014-07-22,57,12,0,21,0,10,-6,G Major,4,41NaHuBpjQ0e1mXfJFDoev,USPAM1100201,no
