#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Roll if ya Fall","Barefoot Truth",113,1B,75,2025-05-06,04:27,37,"jam band, surf rock","Changes in the Weather",2005-01-01,77,59,0,80,10,20,-8,B Major,4,6HcYqggeXlxiT9uVLw0Kpl,uscgh0639037,no
2,"All Good Reasons","Barefoot Truth",173,10B,75,2025-05-06,03:43,24,"jam band, surf rock","Threads",2010-02-16,50,13,0,67,0,10,-5,D Major,4,5todxMKj97oEcs2xSaNBbk,uscgh1018887,no
3,"Damage Done","Barefoot Truth",100,8B,85,2025-05-06,05:18,37,"jam band, surf rock","Threads",2010-02-16,51,3,0,61,0,10,-4,C Major,4,3x1MQoQC2NQbxomkSLhtp5,uscgh1018891,no
4,"Think I'm In Love With You","Chris Stapleton",92,11A,42,2025-05-06,03:42,83,"country, outlaw country","Higher",2023-11-10,67,19,22,61,0,10,-14,F#/G♭ Minor,4,3Gn1zuHNLtGuGEOXwq0k7e,USUG12300474,no
5,"Broken Halos","Chris Stapleton",78,4B,56,2025-05-06,03:00,80,"country, outlaw country","From A Room: Volume 1",2017-05-05,61,13,0,54,0,0,-7,G#/A♭ Major,4,06gD2ZtK3Dzc1BYqWExQJJ,USUM71701961,no
6,"Flying Horses","DISPATCH",112,9A,74,2025-05-06,05:23,50,"jam band","Silent Steeples",1996-08-19,47,5,0,64,0,0,-6,E Minor,4,5bO5xc5BHe1aTsaqyRZLNU,US4QB0400019,no
7,"Midnight Lorry","DISPATCH",82,8B,61,2025-05-06,05:39,48,"jam band","America, Location 12",2017-06-02,50,40,0,57,0,10,-8,C Major,4,1BYldNpfLyeUBb5jofJlYo,GBWWP1702632,no
8,"Traveller","Chris Stapleton",88,7A,75,2025-05-06,03:42,79,"country, outlaw country","Traveller",2015-05-04,54,7,2,76,0,10,-7,D Minor,4,178OI1A3qjROeFeh8lmNwW,USUM71418080,no
9,"So Far Gone","David Shaw",174,9B,74,2025-05-06,05:14,18,"","David Shaw",2021-05-07,64,2,0,61,0,10,-6,G Major,4,3cyC3sDI70l7UoMd5hsVCv,TCAFN2109057,no
10,"Ok","Barefoot Truth",97,9B,78,2025-05-06,03:30,14,"jam band, surf rock","Threads",2010-02-16,54,16,0,63,0,10,-6,G Major,4,0A8c7evPwJmTKAo2NXSkV5,uscgh1018886,no
11,"I Prefer","Barefoot Truth",101,11B,61,2025-05-06,05:24,0,"jam band, surf rock","Club House Sessions",2006-01-01,70,64,0,73,0,10,-8,A Major,4,17YOiobiK4SGFb9DMrDaCB,USCGJ0616100,no
12,"Sun Again Will Shine","Slackstring",96,8B,85,2025-05-06,03:45,25,"surf rock","Van Album",2002-06-03,62,47,0,78,0,10,-5,C Major,4,4IZzK4kuy2X5BqopGEN4SJ,QZES81848339,no
13,"Hell's Comin' with Me","Poor Man's Poison",130,9A,57,2025-05-06,03:32,75,"southern gothic","Hell's Comin' with Me",2019-12-13,58,33,0,55,0,10,-10,E Minor,4,5N0lmKQfQpXNQNjUGlPKIT,TCAEN1964122,no
14,"Devils Price","Poor Man's Poison",177,10B,43,2025-05-06,04:40,56,"southern gothic","Poor Man's Poison",2009-09-10,61,59,0,81,0,10,-11,D Major,4,1hnfPh6AhAmp1Oyk6hgtq1,USTCZ0932590,no
15,"Providence","Poor Man's Poison",105,9A,52,2025-05-06,03:03,68,"southern gothic","Providence",2014-01-28,50,18,0,88,0,0,-10,E Minor,4,4VGR3mr2WbiD0splKGasFc,TCABT1415392,no
16,"The Woods","Travis Brooks,Poor Man's Poison",110,5A,82,2025-05-06,03:11,53,"southern gothic","The Woods",2024-11-29,66,9,0,55,0,20,-9,C Minor,4,6Xe983fevWBfx1XeypjGjS,TCAIX2433442,no
17,"Hey Mister","Poor Man's Poison",77,11B,35,2025-05-06,02:33,54,"southern gothic","Providence",2014-01-28,59,54,0,47,0,0,-13,A Major,4,44VMH5NwFMqtmHsUTRVDNb,TCABT1415400,no
18,"Yellow Jacket","DISPATCH",78,12B,58,2025-05-06,03:28,33,"jam band","Yellow Jacket",2025-01-16,58,13,0,53,0,30,-6,E Major,4,04zkg6ydYJYdjAm7Dt3Et9,QM4TW2511137,no
19,"Daughter","Tara Terra",131,10A,69,2025-05-06,04:13,1,"","Daughter",2014-08-30,57,2,0,75,0,30,-6,B Minor,4,1q9UoF5RLEwoCiptZ1IUFG,QMPKX1470877,no
20,"Stone","Whiskey Myers",138,8B,48,2025-05-06,05:35,9,"red dirt, texas country, southern rock, country, outlaw country, country rock","Mud",2016-09-09,44,24,0,18,0,10,-8,C Major,4,4rJesaufMl2xD0f2G8Xgnd,QMYLU1500005,no
21,"Sleeping on the Blacktop","Colter Wall",83,7A,31,2025-05-06,03:12,77,"outlaw country, country, southern gothic, red dirt, bluegrass, alt country, americana","Imaginary Appalachia",2015-06-02,58,82,21,47,0,10,-15,D Minor,4,6fhgO6p9DsTyHqPctyzDkV,CA55J1542001,no
22,"Stand Up","The Revivalists",188,7B,86,2025-05-18,03:51,55,"","Men Amongst Mountains",2015-07-15,55,22,0,55,10,10,-5,F Major,4,4u9IvdoXfFo4sgLOUbltRu,USWU31500067,yes
23,"Ain't No Man","The Avett Brothers",91,1B,69,2025-06-10,03:32,59,"indie folk, folk, newgrass, americana, bluegrass, alt country, folk rock","True Sadness",2016-06-24,79,33,0,78,30,10,-6,B Major,4,6XMYnm4OTEysN8blzqiCL9,USUM71602535,no
24,"Before The Devil Knows We're Dead","Turnpike Troubadours",129,8A,90,2025-06-26,03:54,56,"red dirt, texas country, alt country, country, outlaw country, americana","Goodbye Normal Street",2012-05-08,63,3,0,75,0,0,-7,A Minor,4,6edUYy5asvbrPZ1iFve8ep,USTT21200002,no
