#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Cause We've Ended as Lovers","Jeff Beck",115,5A,29,2024-06-11,05:41,57,"jazz fusion, blues rock, blues","Blow By Blow",1975-03-29,55,14,80,14,0,10,-13,C Minor,4,4zoQ3EqopTIGmK2c2rPV5t,USSM19906464,no
2,"Free Bird","Lynyrd Skynyrd",118,8B,83,2024-06-11,09:07,84,"southern rock, classic rock, rock","Pronounced' Leh-'Nerd 'Skin-'Nerd",1973-01-01,25,7,0,34,0,0,-8,C Major,4,5EWPGh7jbTNO2wakv8LjUI,USMC17301722,no
3,"Eruption - 2015 Remaster","Van Halen",94,4B,69,2024-06-11,01:42,64,"glam metal, classic rock, rock, hard rock","Van Halen (Remastered)",1978-02-10,23,47,81,50,0,30,-9,G#/A♭ Major,4,2tAeN2TKlQLOoSPXtARzBV,USWB11403669,no
4,"Reelin' In The Years","Steely Dan",135,10B,54,2024-06-11,04:37,78,"yacht rock, classic rock","Can't Buy A Thrill",1972-11-01,49,15,0,72,0,0,-17,D Major,4,1x1XQqhBViz4opcpwc7FVs,USMC17347184,no
5,"Alive","Pearl Jam",75,10A,88,2024-06-11,05:40,79,"grunge, rock, post-grunge","Ten",1991-08-27,28,1,0,60,0,40,-6,B Minor,4,1L94M3KIu7QluZe63g64rv,USSM19100003,no
6,"Bohemian Rhapsody","Queen",144,5A,39,2024-06-11,05:55,4,"classic rock, rock, glam rock","Stone Cold Classics",2006-01-01,40,27,0,21,0,10,-10,C Minor,4,6l8GvAyoUZwWDgF1e4822w,GBCEE0500364,no
7,"Sympathy For The Devil","The Rolling Stones",116,11B,68,2024-06-11,06:16,66,"classic rock, rock","The Rolling Stones Singles Collection: The London Years",1989-08-15,73,61,0,58,20,0,-11,A Major,4,75zMKn5euxQdlkZgu4P42J,USA176810010,no
8,"Crazy Train","Ozzy Osbourne",138,11B,91,2024-06-11,04:53,84,"metal, glam metal, heavy metal, hard rock","Blizzard Of Ozz (40th Anniversary Expanded Edition)",2020-09-18,45,41,0,52,10,20,-4,A Major,4,7ACxUo21jtTHzy7ZEV56vU,USSM11002845,no
9,"All Along the Watchtower","Jimi Hendrix",113,4B,81,2024-06-11,04:00,78,"psychedelic rock, classic rock, acid rock, blues rock","Electric Ladyland",1968-10-25,44,0,0,56,0,0,-6,G#/A♭ Major,4,2aoo2jlRnM3A0NyLQqMN2f,USQX90900749,no
10,"Hotel California - 2013 Remaster","Eagles",147,10B,51,2024-06-11,06:31,89,"classic rock, yacht rock, soft rock","Hotel California (2013 Remaster)",1976-12-08,58,1,0,61,0,0,-9,D Major,4,40riOy7x9W7GXjyGp4pjAv,USEE11300353,no
11,"Comfortably Numb","Pink Floyd",127,10A,37,2024-06-11,06:22,82,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Wall",1979-11-30,47,15,31,17,0,0,-13,B Minor,4,5HNCy40Ni5BZJFw1TKzRsC,GBN9Y1100113,no
12,"Sunshine Of Your Love","Cream",115,10B,59,2024-06-11,04:10,74,"classic rock, psychedelic rock, acid rock, blues rock","Disraeli Gears (Deluxe Edition)",1967-11,68,39,0,73,0,10,-8,D Major,4,2K2M0TcglCRLLpFOzKeFZA,GBA076700020,no
13,"Sweet Child O' Mine","Guns N' Roses",125,2B,95,2024-06-11,05:56,91,"rock, glam metal, hard rock, classic rock","Appetite For Destruction",1987-07-21,45,9,8,62,0,10,-5,F#/G♭ Major,4,7snQQk1zcKl8gZ92AnueZW,USGF18714809,no
14,"Stairway to Heaven - Remaster","Led Zeppelin",82,8A,34,2024-06-11,08:02,84,"classic rock, rock, hard rock, rock and roll","Led Zeppelin IV (Deluxe Edition)",1971-11-08,34,58,0,20,0,10,-12,A Minor,4,5CQ30WqJwcep0pYcV4AMNc,USAT21300959,no
15,"Jessica","Allman Brothers Band",105,10B,75,2024-06-11,07:30,52,"southern rock, jam band, classic rock, blues rock, country rock","Dreams",1989-06-20,35,37,74,88,0,10,-11,D Major,4,2tVQhBSJ1SQtb4gX0taaiR,USPG19190006,no
16,"25 or 6 to 4 - 2002 Remaster","Chicago",147,9A,91,2024-06-11,04:49,69,"yacht rock, soft rock","Chicago II",1970-01-26,60,31,6,72,0,0,-7,E Minor,4,7GqIDx2QVGOpd4r1fZaUUW,USRH10285518,no
17,"Stranglehold","Ted Nugent",148,10B,74,2024-06-11,08:22,53,"classic rock, acid rock, southern rock","Great Gonzos! The Best Of Ted Nugent",1981-00-00,49,2,17,51,0,20,-7,D Major,4,7itr4N5bXkAWesPUomCNf7,USSM19804011,no
18,"While My Guitar Gently Weeps - Remastered 2009","The Beatles",115,9A,65,2024-06-11,04:45,75,"classic rock, psychedelic rock","The Beatles (Remastered)",1968-11-22,45,2,0,70,0,10,-9,E Minor,4,389QX9Q1eUOEZ19vtzzI9O,GBAYE0601650,no
19,"Purple Rain","Prince",113,6B,45,2024-06-11,08:40,8,"funk rock, funk","Purple Rain",1984-06-25,37,4,0,19,0,60,-10,A#/B♭ Major,4,54X78diSLoUDI3joC2bjMz,USWB10001880,no
20,"Little Wing","Stevie Ray Vaughan",115,3B,38,2024-06-11,06:48,63,"blues, blues rock, classic blues, southern rock, modern blues","Couldn't Stand The Weather (Legacy Edition)",1984-00-00,48,36,75,52,0,0,-14,C♯/D♭ Major,4,5XNpdKmlLJPUbwKQceX2tW,USSM19932782,no
21,"Sultans of Swing","Dire Straits",148,7B,80,2024-06-11,05:48,78,"classic rock","Dire Straits",1978-10-07,73,7,3,93,0,30,-10,F Major,4,6cr6UDpkjEaMQ80OjWqEBQ,GBF089601041,no
22,"Voodoo Child (Slight Return)","Jimi Hendrix",176,4B,91,2024-06-11,05:13,69,"psychedelic rock, classic rock, acid rock, blues rock","Electric Ladyland",1968-10-25,21,48,1,45,30,0,-7,G#/A♭ Major,4,2AxCeJ6PSsBYiTckM0HLY7,USQX90900750,no
23,"November Rain","Guns N' Roses",80,1B,64,2024-06-11,08:56,86,"rock, glam metal, hard rock, classic rock","Use Your Illusion I",1991-09-17,29,2,22,23,0,10,-9,B Major,4,3YRCqOhFifThpSRFJ1VWFM,USGF19141510,no
24,"Hot for Teacher - 2015 Remaster","Van Halen",128,10B,95,2024-06-11,04:42,71,"glam metal, classic rock, rock, hard rock","1984 (Remastered)",1984-01-04,55,0,0,47,10,0,-5,D Major,4,6QDbGdbJ57Mtkflsg42WV5,USWB11403684,no
25,"Back In Black","AC/DC",188,11B,70,2024-06-11,04:16,88,"rock, hard rock, classic rock, rock and roll","Back In Black",1980-07-25,31,1,1,76,0,0,-6,A Major,4,08mG3Y1vljYA6bvDt4Wqkj,AUAP08000046,no
