#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Traveller","Chris Stapleton",88,7A,75,2025-11-01,03:42,79,"country, outlaw country","Traveller",2015-05-04,54,7,2,76,0,10,-7,D Minor,4,178OI1A3qjROeFeh8lmNwW,USUM71418080,no
2,"Ramblin' Man","Allman Brothers Band",179,3B,82,2025-11-01,04:48,57,"southern rock, jam band, classic rock, blues rock, country rock","Brothers And Sisters (Super Deluxe)",2013-06-25,31,51,0,92,0,20,-8,C♯/D♭ Major,4,7y4CK8bbzxpyKu73WOvgHJ,USPR37330006,no
3,"Midnight Rider","Allman Brothers Band",94,9B,53,2025-11-01,03:00,67,"southern rock, jam band, classic rock, blues rock, country rock","Idlewild South (Deluxe Edition Remastered)",1970-09-18,59,21,1,68,0,20,-10,G Major,4,1hHGUdFaiJHw9hVZGJWYO2,USPR37030030,no
4,"Breakdown","Tom Petty and the Heartbreakers",114,8A,35,2025-11-01,02:43,70,"classic rock","Tom Petty And The Heartbreakers",1976-11-09,63,40,0,69,0,10,-8,A Minor,4,1HfB7BLeW5XXIJ9sjCaL5U,USMC17641689,no
5,"Up On Cripple Creek","The Band",144,11B,67,2025-11-01,04:30,64,"folk rock, roots rock, southern rock, americana","The Band",1969-09-22,72,25,2,96,0,0,-9,A Major,4,7aTCCNpHJD2Jgv0LLVJb8Y,USCA20000792,no
6,"Broken Halos","Chris Stapleton",78,4B,56,2025-11-01,03:00,80,"country, outlaw country","From A Room: Volume 1",2017-05-05,61,13,0,54,0,0,-7,G#/A♭ Major,4,06gD2ZtK3Dzc1BYqWExQJJ,USUM71701961,no
7,"Scarecrow In The Garden","Chris Stapleton",122,12A,53,2025-11-01,03:20,70,"country, outlaw country","From A Room: Volume 2",2017-12-01,63,14,0,64,0,10,-11,C♯/D♭ Minor,4,2heBToLEB7odACQ3xwb32A,USUM71710209,no
8,"Must Be the Whiskey","Cody Jinks",126,2A,76,2025-11-01,03:25,70,"red dirt, texas country, outlaw country, country","Lifers",2018-07-27,55,9,0,70,0,10,-6,D#/E♭ Minor,4,324iakwekGIBGV93syJsVe,QZ4JR1700028,no
9,"Stone","Whiskey Myers",138,8B,50,2025-11-01,05:35,73,"red dirt, texas country, southern rock, country, outlaw country, country rock","Mud",2016-09-09,41,25,0,19,0,10,-7,C Major,4,2KanmpA3AMVY5YNw7bii1o,QMYLU1500005,no
10,"Keep The Wolves Away","Uncle Lucius",122,12A,35,2025-11-01,04:35,80,"red dirt, texas country, outlaw country, country","And You Are Me",2012-08-28,68,52,0,14,0,10,-10,C♯/D♭ Minor,4,1YzIpqwnj5M8qylwn1Tr9Z,US5ED1200030,no
11,"Cover Me Up","Morgan Wallen",128,9B,44,2025-11-01,04:53,82,"country","Dangerous: The Double Album",2021-01-08,55,23,0,21,0,10,-8,G Major,3,5AQNqdpl6SEV9rAHWy7U9w,QZ22S1800057,no
12,"Lonely East Texas Nights","Whiskey Myers",130,9A,73,2025-11-01,04:20,74,"red dirt, texas country, southern rock, country, outlaw country, country rock","Lonely East Texas Nights",2007-08-03,53,2,0,32,0,0,-5,E Minor,4,75qTWvk6QCGRr1V31Q41qz,US2760801039,no
13,"Fire on the Mountain","The Marshall Tucker Band",102,9A,83,2025-11-01,03:56,71,"southern rock, country rock, classic rock","Searchin' for a Rainbow",1975-08-01,51,11,0,57,0,10,-6,E Minor,4,5YUIDMCtzUflSrONeYMWac,USSE90320584,no
14,"Can't You See","The Marshall Tucker Band",164,9B,71,2025-11-01,06:05,79,"southern rock, country rock, classic rock","The Marshall Tucker Band",1973-08-01,41,27,0,57,0,10,-6,G Major,4,4egy2d8QiyXn5tzVQiptTb,USSE90320363,no
15,"Tuesday's Gone","Lynyrd Skynyrd",146,11B,62,2025-11-01,07:30,77,"southern rock, classic rock, rock","Pronounced' Leh-'Nerd 'Skin-'Nerd",1973-01-01,23,8,0,41,0,0,-9,A Major,3,64sn7wgJfeQKY3Jisnl59w,USMC17347089,no
16,"Ballad of a Southern Man","Whiskey Myers",74,9B,53,2025-11-01,03:40,70,"red dirt, texas country, southern rock, country, outlaw country, country rock","Firewater",2011-04-26,61,40,0,39,0,10,-7,G Major,1,0trWlSTCYcwc40ZH0PeUyd,US2761001051,no
17,"Bury My Bones","Whiskey Myers",128,10B,66,2025-11-01,04:19,70,"red dirt, texas country, southern rock, country, outlaw country, country rock","Whiskey Myers",2019-09-27,54,0,0,54,0,10,-5,D Major,4,6yggZbtgrxPNwWOs06cS8L,QMYLU1900006,no
18,"The Ballad Of Curtis Loew","Lynyrd Skynyrd",145,11B,43,2025-11-01,04:51,70,"southern rock, classic rock, rock","Second Helping (Expanded Edition)",1974-04-15,43,31,0,59,0,10,-12,A Major,4,6PPhp1qpAjLUxQr75vSD4H,USMC17447093,no
19,"Dixieland Delight","Alabama",96,10B,41,2025-11-01,05:25,77,"classic country, country, country rock, country christian","The Closer You Get...",1983-00-00,44,16,0,57,0,0,-15,D Major,4,0bM1z18RQpr61UuI1LemIK,USRN10100321,no
20,"Goodbye Carolina","The Marcus King Band",80,8B,46,2025-11-01,04:01,63,"modern blues, southern rock, blues rock, blues, jam band","Goodbye Carolina",2019-04-11,46,23,0,22,0,10,-9,C Major,4,6lNGQqEos6i2KxISBn24Xc,USC4R1806780,no
21,"Simple Man","The Charlie Daniels Band",79,11B,38,2025-11-01,03:22,64,"southern rock, outlaw country, classic country, country rock, country","Simple Man",1989-10-17,59,65,0,49,0,10,-13,A Major,4,4O7sDupv5V7qEBk96qOZyi,USSM19920664,no
22,"Turn The Page - Live","Bob Seger",79,11B,36,2025-11-01,05:02,66,"classic rock","Greatest Hits",1994-10-25,53,19,0,31,0,70,-10,A Major,4,3P2XAL8UpPBM3nfvuEjHHE,USCA28700853,no
23,"Midnight Train To Memphis","Chris Stapleton",177,11B,93,2025-11-01,03:42,66,"country, outlaw country","From A Room: Volume 2",2017-12-01,28,0,1,62,10,30,-8,A Major,3,6tInq1Sn2eehdsQGA9Aafh,USUM71710212,no
24,"Mammas Don't Let Your Babies Grow up to Be Cowboys","Waylon Jennings,Willie Nelson",188,11B,36,2025-11-01,02:37,72,"outlaw country, classic country, country, honky tonk, traditional country","Waylon & Willie",1978-01-01,36,62,0,61,0,10,-14,A Major,3,7nVQ8mo77KaUvhUQzh4vMy,USRN10000382,no
25,"23","Chayce Beckham",88,5A,58,2025-11-26,03:48,2,"country","23",2021-05-14,63,28,0,43,0,10,-7,C Minor,4,2ixkIrn45mNfdLDLHuyfRt,QMRSZ2101045,no
26,"In Color","Jamey Johnson",130,5B,40,2026-05-25,04:50,74,"outlaw country, country, red dirt, classic country","That Lonesome Song",2008-01-01,54,39,0,25,0,10,-9,D#/E♭ Major,4,7CNd7rjfVt74TFlcOcnZgN,USUM70809133,no
