#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Sweetest Joy (Southern Tea)","Brielle Marie",87,7A,55,2016-07-28,03:10,0,"","Love Inside My Heart",2016-02-12,68,16,0,64,10,40,-9,D Minor,4,2y2intatNjWSn6qrkcmYYY,uscgh1660134,no
2,"Love Inside My Heart","Brielle Marie",170,10B,83,2016-07-28,03:29,0,"","Love Inside My Heart",2016-02-12,45,58,16,24,0,10,-8,D Major,4,0MS4KnbEl0kq48U42ucs9f,uscgh1660135,no
3,"Shine","Brielle Marie",170,6B,53,2016-07-28,03:57,0,"","Love Inside My Heart",2016-02-12,59,18,0,64,20,0,-12,A#/B♭ Major,4,415FYBVbXxrKOPvBQALjme,uscgh1660136,yes
4,"Paradise","Brielle Marie",134,1B,72,2016-07-28,04:14,0,"","Love Inside My Heart",2016-02-12,61,27,3,54,0,10,-9,B Major,4,1E8VtJIrvCaGq7Oc9Z8GO6,uscgh1660137,no
5,"Only Human","Brielle Marie",96,1B,33,2016-07-28,03:56,0,"","Love Inside My Heart",2016-02-12,55,82,0,38,0,10,-8,B Major,4,1UZEP8ii5EOrg2iqVVcdTM,uscgh1660138,no
6,"Intoxicated and High (feat. Kay Id)","Brielle Marie,Kay Id",150,9A,71,2016-07-28,03:39,0,"","Intoxicated and High (feat. Kay Id)",2016-04-29,64,3,4,23,0,10,-9,E Minor,4,6W6Ep9p4XDmT6ag87Bhurq,uscgj1680124,no
7,"Cruisin' (feat. Vee Tha Rula)","Brielle Marie,Vee tha Rula",186,11B,83,2016-07-28,03:29,0,"","Cruisin' (feat. Vee Tha Rula)",2015-08-21,52,8,0,67,10,20,-5,A Major,4,11iaPItCDUNzjeXEoO2vK4,ushm21500851,no
8,"Running Start","Red Scarves",108,4B,66,2016-07-28,02:57,0,"","Red Scarves",2015-09-12,53,2,55,95,0,0,-6,G#/A♭ Major,4,2OkLCiq8No8BYMa0JovqAE,QM4DW1651236,no
9,"Shrug","Red Scarves",109,12A,75,2016-07-28,03:19,0,"","Red Scarves",2015-09-12,61,0,0,57,0,20,-7,C♯/D♭ Minor,4,5cHYkcDBZfvvoBZJDRrWjv,QM4DW1651237,no
10,"Across the Sea","Red Scarves",94,11B,31,2016-07-28,03:48,0,"","Red Scarves",2015-09-12,21,52,0,23,0,10,-12,A Major,4,6LcwCJNVSB9TCxFbOmDL5l,QM4DW1651238,no
11,"Father's Bones","Red Scarves",98,10B,80,2016-07-28,02:45,0,"","Red Scarves",2015-09-12,57,6,2,85,0,20,-7,D Major,4,5AqOQKxmtObkdZzZEDB3qA,QM4DW1651239,no
