#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"It's Five O'Clock Somewhere","Alan Jackson,Jimmy Buffett",125,10B,77,2024-10-24,03:49,75,"country, country christian, classic country, traditional country, ","Greatest Hits Volume II",2003-10-09,71,22,0,89,0,20,-7,D Major,4,7KysI43rsjlhjTeWO6ePUq,USAN20300025,no
2,"Margaritaville","Jimmy Buffett",125,10B,55,2024-10-24,04:10,76,"","Changes In Latitudes, Changes In Attitudes",1977-01-01,80,71,0,86,0,10,-14,D Major,4,4EEjMyQub6tgFVshlM9j1M,USMC17601193,no
3,"Come Monday","Jimmy Buffett",112,11B,30,2024-10-24,03:11,67,"","Living And Dying In 3 / 4 Time",1974-01-01,62,78,0,66,0,0,-15,A Major,4,0yje3JVMgJNZENayymCTHA,USMC17418891,no
4,"A Pirate Looks At Forty","Jimmy Buffett",119,9B,23,2024-10-24,03:55,67,"","A-1-A",1974-01-01,56,79,0,42,0,10,-17,G Major,4,6ac6RlvEhiFraIxBYHhg1j,USMC17418890,no
5,"Roll Me Up and Smoke Me When I Die - Live","Willie Nelson,Jimmy Buffett,Emmylou Harris,Sheryl Crow,Eric Church,George Strait,Dave Matthews,Chris Stapleton,Derek Trucks,Kris Kristofferson,The Avett Brothers,Bobby Bare,Jack Johnson,Jamey Johnson,Lee Ann Womack,Lukas Nelson,Lyle Lovett,Margo Price,Micah Nelson,Nathaniel Rateliff",107,8B,81,2024-10-24,02:14,62,"outlaw country, classic country, country, traditional country, honky tonk, country rock, americana, folk, alt country, bluegrass, singer-songwriter, acoustic country, jam band, indie folk, newgrass, folk rock, surf rock, red dirt","Willie Nelson American Outlaw (Live)",2020-12-11,43,7,11,34,0,80,-9,C Major,3,5iis9J2sptrUy0VIpFVIg1,QZ7KM2000069,no
6,"Changes In Latitudes, Changes In Attitudes","Jimmy Buffett",125,10B,44,2024-10-24,03:17,66,"","Changes In Latitudes, Changes In Attitudes",1977-01-01,72,57,0,82,0,0,-15,D Major,4,5nIqitaV7WyyuM3KVUju1G,USMC17601188,no
7,"Boat Drinks","Jimmy Buffett",125,10B,49,2024-10-24,02:40,61,"","Volcano",1979-01-01,64,1,0,91,0,10,-12,D Major,4,4VJHw4VLJTx4IC0xFQz7Gh,USMC17908746,no
8,"Son Of A Son Of A Sailor","Jimmy Buffett",124,9B,18,2024-10-24,03:26,63,"","Son Of A Son Of A Sailor",1978-01-01,47,50,0,37,0,10,-19,G Major,4,5Yi6mwvMHnnh241uGjcJYy,USMC17800107,no
9,"Volcano","Jimmy Buffett",177,7B,47,2024-10-24,03:39,61,"","Volcano",1979-01-01,65,33,0,88,20,10,-14,F Major,4,0s4jINkD2RoxH96zpy2i0D,USMC17908744,no
10,"Fins","Jimmy Buffett",135,12B,65,2024-10-24,03:27,60,"","Volcano",1979-01-01,67,1,0,92,0,0,-13,E Major,4,4X6qvY7lDpNxq9QokS5F0u,USMC17908751,no
11,"Heard It in a Love Song","The Marshall Tucker Band",153,10B,80,2024-10-24,04:57,1,"southern rock, country rock, classic rock","Carolina Dreams",1977-01-01,56,17,0,68,0,10,-7,D Major,4,0xTY7Tld4DRxqUhxdw7bZW,USSE90320730,no
12,"Banana Republics","Jimmy Buffett",108,9B,23,2024-10-24,05:11,49,"","Changes In Latitudes, Changes In Attitudes",1977-01-01,67,78,0,63,0,10,-16,G Major,4,23ZavKNBduDwOV0zCtxFsv,USMC17601190,no
13,"The Weather Is Here, Wish You Were Beautiful","Jimmy Buffett",133,9B,56,2024-10-24,04:11,52,"","Coconut Telegraph",1981-00-00,74,16,0,97,0,30,-15,G Major,4,1TtyVbmspHF7rgHAvBoALk,USMC18110895,no
14,"Last Mango In Paris","Jimmy Buffett",138,12B,31,2025-10-23,03:16,52,"","Last Mango In Paris",1985-01-01,72,43,0,62,0,20,-18,E Major,4,0ZbHYCcrA3IkLKFQJOWFJW,USMC18517001,no
15,"Grapefruit - Juicy Fruit","Jimmy Buffett",130,9B,43,2025-10-31,02:58,46,"","A White Sport Coat And A Pink Crustacean",1973-01-01,56,44,0,38,0,10,-14,G Major,4,3RaNRukiKfHbzSMXbWmuwB,USMC17318894,no
16,"One Particular Harbour","Jimmy Buffett",93,12B,46,2025-10-31,05:44,57,"","One Particular Harbor",1983-00-00,53,22,0,83,0,0,-15,E Major,4,44UqG68nsYIsJGQQXybDN8,USMC18314267,no
17,"Where the Boat Leaves From","Zac Brown Band",92,3B,80,2025-11-01,03:42,64,"country, acoustic country","The Foundation",2008-11-17,76,36,0,82,0,0,-5,C♯/D♭ Major,4,3jzHdyJ5G5X9GhqVhXZuVq,USAT20804234,no
18,"The Pascagoula Run","Jimmy Buffett,Elliot Scheiner",97,9B,74,2025-11-01,03:19,42,"","Off To See The Lizard",1989-01-01,76,1,0,90,0,0,-13,G Major,4,3O9KxP5wDu7Hgy3ycPxMdv,USMC18928397,no
19,"License to Chill","Jimmy Buffett,Kenny Chesney",135,9B,92,2025-11-01,03:56,45,"country","License to Chill",2004-07-13,52,3,0,74,0,10,-5,G Major,4,2V7woEwWKcU674lq7NjFLP,USMB50400003,no
20,"Knee Deep (feat. Jimmy Buffett)","Zac Brown Band,Jimmy Buffett",91,4B,58,2025-11-01,03:23,81,"country, acoustic country, ","You Get What You Give",2010-09-20,72,43,0,61,0,10,-8,G#/A♭ Major,4,60IGhnH20N82dNxKnc8jDd,USAT21001570,no
