#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Shallow","Lady Gaga,Bradley Cooper",96,9B,39,2019-01-08,03:35,86,"art pop, pop, ","A Star Is Born Soundtrack",2018-10-05,58,37,0,33,0,20,-6,G Major,4,2VxeLyX666F8uXCJ0dZF8B,USUM71813192,no
2,"Black Eyes","Bradley Cooper",150,10A,94,2019-01-08,03:03,53,"","A Star Is Born Soundtrack",2018-10-05,37,0,0,46,0,80,-2,B Minor,4,4HUqrGAZ5f0gHRor7z9BFc,USUM71813183,no
3,"Alibi","Bradley Cooper",176,8A,79,2019-01-08,03:03,44,"","A Star Is Born Soundtrack (Without Dialogue)",2018-10-05,28,1,0,63,0,80,-4,A Minor,4,3VQN13uMyi3dGpyIyUhG3X,USUM71813191,no
4,"My Heart Beneath My Hat","Land of Trees",80,2B,45,2019-01-08,03:52,0,"indie folk","Small Steps Ahead",2018-09-21,51,76,0,44,0,10,-10,F#/G♭ Major,4,5CNfUcFRkAq98si0hixAQI,SE4G41802701,no
5,"When The Curtain Falls","Greta Van Fleet",96,8B,98,2019-01-08,03:42,63,"rock","Anthem Of The Peaceful Army",2018-10-19,54,3,13,69,0,0,-3,C Major,4,2ZMI0QNoqU9fQZFirR9WpK,USUM71809403,no
6,"The Great Beyond","Myles Kennedy",140,9B,89,2019-01-08,04:50,0,"","Year Of The Tiger",2018-03-09,42,0,0,29,0,40,-6,G Major,3,2mkkJSMgCKkN9QvELYnkjH,ATN261877002,no
7,"Year Of The Tiger","Myles Kennedy",84,8A,93,2019-01-08,03:40,0,"","Year Of The Tiger",2018-03-09,47,0,0,43,0,10,-5,A Minor,4,2qYAUa2MoVYT7fxRAGeZAq,ATN261877001,no
8,"Diggin' My Grave","Lady Gaga,Bradley Cooper",94,8A,61,2019-01-08,03:57,45,"art pop, pop, ","A Star Is Born Soundtrack (Without Dialogue)",2018-10-05,68,17,0,55,0,10,-5,A Minor,4,3iYYUkgkIgZy20xUVaOyLU,USUM71813194,no
9,"Blues Deluxe","Joe Bonamassa",145,7B,37,2019-01-08,07:20,57,"blues, blues rock, modern blues, classic blues","Blues Deluxe",2003-00-00,50,1,0,42,0,0,-10,F Major,3,2O7OjNCjqflzWOTVg9UlEm,USI4R0602899,no
10,"Way down We Go","KALEO",163,3A,51,2019-01-08,03:33,85,"","A/B",2016-06-10,49,58,0,34,10,10,-8,A#/B♭ Minor,4,0y1QJc3SJVPKJ1OvFmFqe6,USAT21502122,no
11,"No Good","KALEO",109,11B,93,2019-01-08,03:54,71,"","A/B",2016-06-10,38,2,0,58,10,10,-4,A Major,4,0Tr5G2mE56eLUGvCaXRM8I,USAT21601267,no
12,"Hot Blood","KALEO",148,10B,90,2019-01-08,03:38,67,"","A/B",2016-06-10,33,0,0,40,10,10,-3,D Major,4,7d9sZF7jmepe2EYdETlNWK,USAT21601411,no
13,"I Killed Robert Johnson","The Stone Foxes",151,8B,74,2019-01-09,05:25,0,"blues rock, modern blues","Bears & Bulls",2010-07-06,26,0,0,30,0,10,-10,C Major,4,6hb8MK0RcVOOxfpNDbZAIS,USTNT1010003,no
14,"Breathing Bullets - US Radio Mix","Owen Campbell",123,8B,66,2019-01-14,03:46,33,"blues rock, modern blues, country blues, blues","Breathing Bullets (US Radio Mix)",2016-08-04,63,13,1,74,0,0,-7,C Major,4,3afn6c2nBmPqogKrYO06qd,AUMGB1600222,no
15,"The Regulator","Clutch",90,9B,71,2019-01-14,05:25,48,"stoner rock, stoner metal, sludge metal","Blast Tyrant (Deluxe Edition)",2011-05-10,57,12,0,21,0,10,-6,G Major,4,0ni8h8HAJNFwuL9cMWR9XN,USPAM1100201,no
16,"Fire","Barns Courtney",108,3A,64,2019-01-15,03:17,70,"","The Attractions Of Youth",2017-09-29,55,21,0,39,0,0,-6,A#/B♭ Minor,4,5w6B0sAH7XauCvMOAtplQj,GBUM71506495,no
17,"Raise Hell","Dorothy",80,2B,69,2019-01-15,03:01,59,"southern gothic","ROCKISDEAD",2016-06-24,55,2,0,72,0,50,-6,F#/G♭ Major,4,2NPHU2WJaI3rrtCNNuQ8L1,QMJMT1500706,no
18,"Glitter & Gold","Barns Courtney",170,4B,63,2019-01-15,02:56,71,"","The Attractions Of Youth",2017-09-29,49,37,0,35,0,20,-5,G#/A♭ Major,4,1Mf27cnAF1Q6Ko83XTM5d1,GBUM71507092,no
19,"Beat the Devil's Tattoo","Black Rebel Motorcycle Club",97,12B,92,2019-01-15,03:45,0,"southern gothic, garage rock, blues rock","Beat the Devil's Tattoo",2010-03-09,52,42,2,71,0,10,-3,E Major,4,2iPTESocncak2Q45oXzKOG,USVR91058601,no
20,"Hellfire","Barns Courtney",94,9A,85,2019-01-15,02:48,61,"","The Attractions Of Youth",2017-09-29,53,24,0,69,0,20,-6,E Minor,4,00RI7b6oZDjx6IQC2eH6bh,GBUM71700144,no
21,"Hobo Rocket","Barns Courtney",96,4B,92,2019-01-15,03:07,43,"","The Attractions Of Youth",2017-09-29,56,16,0,53,0,40,-5,G#/A♭ Major,4,3kqiWz1UAgofpKdz3ud4qH,GBUM71701361,yes
22,"Large Time","Atlanta Rhythm Section",88,9B,94,2019-01-23,02:56,9,"southern rock, yacht rock, country rock, soft rock","Champagne Jam Live",2007-08-21,48,17,0,69,0,60,-6,G Major,4,6I2ORHEsPOnmDoTZtnntMe,USA560685541,no
23,"Bleach Blonde Bottle Blues","Larkin Poe",132,3B,61,2019-01-29,03:13,0,"blues rock, modern blues, blues, roots rock","Venom & Faith",2018-11-09,44,29,0,71,0,0,-4,C♯/D♭ Major,4,5wIL0iuvPmPsw9OmT5BnAg,US9ZA1800002,no
24,"Life, Liberty, and the Pursuit of Indian Blood","The Last Internationale",136,8B,97,2019-01-31,03:42,33,"blues rock","We Will Reign",2014-08-15,54,0,2,51,0,0,-3,C Major,4,5mcjAUE4arVJvFWOzlZQij,USSM11400570,no
25,"Shallow - Radio Edit","Lady Gaga,Bradley Cooper",96,9B,33,2019-02-03,03:37,71,"art pop, pop, ","A Star Is Born Soundtrack (Without Dialogue)",2018-10-05,57,42,0,28,0,0,-7,G Major,4,6QfS2wq5sSC1xAJCQsTSlj,USUM71815945,no
26,"S.O.B.","Nathaniel Rateliff & The Night Sweats",110,3B,58,2019-04-05,04:07,2,"","Nathaniel Rateliff & The Night Sweats",2015-01-01,70,27,1,13,0,40,-7,C♯/D♭ Major,4,1hWQvA6oGVJ2mAVsZ59AaV,USC4R1503363,no
27,"Rolling With the Punches","The Blue Stones",164,10B,87,2019-04-08,03:20,0,"blues rock","Black Holes",2018-10-26,55,2,0,39,0,10,-5,D Major,4,2SbKZV2Kr8988zzUZrHpfz,TCABO1326815,no
28,"Outside Of This Town","Christone  Kingfish  Ingram",130,10A,81,2019-06-17,04:08,0,"blues, modern blues, blues rock","Outside Of This Town",2019-04-19,42,0,1,67,0,60,-6,B Minor,4,5KORMnuWZTLlPvM70xv165,USARL1923501,no
29,"Change On The Rise","Avi Kaplan",77,8B,39,2025-10-31,04:00,61,"southern gothic","I'll Get By",2020-02-28,59,51,0,45,0,20,-10,C Major,4,5xNpsWUHMrBvWNiQc3HAiK,TCAEB1973148,no
