#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"all-american bitch","Olivia Rodrigo",156,2B,70,2023-10-16,02:45,78,"","GUTS",2023-09-08,42,22,0,45,0,10,-4,F#/G♭ Major,4,34sOdxWu9FljH84UXdRwu1,USUG12304093,yes
2,"bad idea right?","Olivia Rodrigo",130,11B,88,2023-10-16,03:04,82,"","GUTS",2023-09-08,63,0,0,81,10,0,-4,A Major,4,3IX0yuEVvDbnqUwMBB3ouC,USUG12304094,yes
3,"Misery Business","Paramore",173,3B,91,2023-10-16,03:31,80,"pop punk, emo","Riot!",2007-06-12,52,0,0,73,0,10,-4,C♯/D♭ Major,4,6SpLc7EXZIPpy0sVko0aoU,USAT20702617,no
4,"Ain't It Fun","Paramore",104,11B,89,2023-10-16,04:56,82,"pop punk, emo","Paramore",2013-04-05,61,15,0,67,0,0,-4,A Major,4,1j8z4TTjJ1YOdoFEDwJTQa,USAT21300009,no
5,"Death By Rock And Roll","The Pretty Reckless",97,12B,94,2023-10-16,03:54,55,"","Death By Rock And Roll",2021-02-12,49,0,1,49,0,10,-3,E Major,4,6ISZ6sKcNBdYJS7XYHm5cV,US5262023639,yes
6,"Make Me Wanna Die","The Pretty Reckless",97,4B,91,2023-10-16,03:55,61,"","Light Me Up",2010-01-01,50,0,0,22,0,10,-4,G#/A♭ Major,4,2opyAm6zOyjR0An5LkblfN,USUM71002835,no
7,"Take Me Down","The Pretty Reckless",111,10B,94,2023-10-16,04:13,56,"","Who You Selling For",2016-10-21,65,1,1,53,0,60,-4,D Major,4,2j219ocVSxgt7eZ3KNw9a6,USRZR1600120,no
8,"Confident - Rock Version","Demi Lovato",130,3A,83,2023-10-16,03:25,46,"","REVAMPED",2023-09-15,52,0,0,32,10,20,-4,A#/B♭ Minor,4,1AozLLbKi1kIKMUbY3Xk7o,USUG12303422,yes
9,"Sorry Not Sorry (with Slash) - Rock Version","Demi Lovato,Slash",77,9B,91,2023-10-16,03:34,46,"hard rock","REVAMPED",2023-09-15,47,0,0,55,20,30,-2,G Major,4,3L3IJAp60VshAFFDjdJ2FE,USUG12303420,yes
10,"Cool for the Summer - Rock Version","Demi Lovato",114,4B,80,2023-10-16,03:32,52,"","REVAMPED",2023-09-15,52,0,0,33,0,60,-4,G#/A♭ Major,4,4B3lcxYv3fb2yAw9hkKR0M,USUG12303413,yes
11,"get him back!","Olivia Rodrigo",162,7B,85,2023-10-16,03:31,80,"","GUTS",2023-09-08,55,1,0,73,10,50,-6,F Major,4,2gyxAWHebV7xPYVxqoi86f,USUG12304099,yes
12,"vampire","Olivia Rodrigo",137,7B,53,2023-10-16,03:39,87,"","GUTS",2023-09-08,48,15,0,32,0,20,-6,F Major,4,1kuGVB7EU95pJObxwvfwKS,USUG12304091,yes
13,"Used To Be Young","Miley Cyrus",147,12B,63,2023-10-16,03:11,71,"","Endless Summer Vacation",2023-08-18,63,58,0,42,0,10,-4,E Major,4,41WQUSINanQHfhfKpFDsms,USSM12306461,no
14,"Jaded","Miley Cyrus",91,12B,59,2023-10-16,03:05,68,"","Endless Summer Vacation",2023-08-18,50,5,0,18,0,0,-5,E Major,4,0LbZLBBZI1NfaDgb4dx0UD,USSM12209778,yes
15,"Nothing Else Matters","Miley Cyrus,WATT,Elton John,Yo-Yo Ma,Robert Trujillo,Chad Smith",143,9A,66,2023-10-16,06:35,27,"classical, chamber music, rap metal, rap rock","The Metallica Blacklist",2021-09-10,44,1,0,14,0,10,-6,E Minor,3,3DVJIowTnVuq1PaCFkYVs1,QMKHM2100037,no
16,"The Bitch Is Back","Miley Cyrus",130,8B,73,2023-10-16,03:32,59,"","Restoration: The Songs Of Elton John And Bernie Taupin",2018-04-06,67,1,0,53,0,0,-5,C Major,4,0gZQ8JCtYz1bNtmtGTBeYm,USRC11800764,no
17,"Running Out Of Time","Paramore",127,10B,57,2023-10-16,03:12,60,"pop punk, emo","This Is Why",2023-02-10,74,5,0,56,0,0,-8,D Major,4,5NRtdsFFlmyE8qDMgS08PE,USAT22218168,no
18,"good 4 u","Olivia Rodrigo",167,11B,66,2023-10-16,02:58,86,"","SOUR",2021-05-21,56,34,0,69,10,0,-5,A Major,4,4ZtFanR9U6ndgddUvNcjcG,USUG12101245,yes
19,"ballad of a homeschooled girl","Olivia Rodrigo",120,3B,88,2023-10-16,03:23,76,"","GUTS",2023-09-08,35,6,0,41,0,30,-3,C♯/D♭ Major,4,5sp71CUt0jXRNqHblPGp7b,USUG12304096,no
20,"Dark Horse","Katy Perry,Juicy J",132,2B,59,2023-10-16,03:35,86,"pop, crunk","PRISM",2013-01-01,65,0,0,35,0,10,-6,F#/G♭ Major,4,4jbmgIyjGoXjY01XxatOx6,USUM71311296,no
21,"Bad Karma (feat. Joan Jett)","Miley Cyrus,Joan Jett & the Blackhearts",114,12B,57,2023-10-16,03:08,53,"rock","Plastic Hearts",2020-11-27,82,3,1,48,0,10,-7,E Major,4,47KegqqrzpKw0jdHFWqtNb,USRC12003759,yes
22,"obsessed","Olivia Rodrigo",120,4B,58,2024-03-31,02:50,78,"","GUTS (spilled)",2024-03-22,68,2,0,63,10,20,-5,G#/A♭ Major,4,6tNgRQ0K2NYZ0Rb9l9DzL8,USUG12305564,yes
23,"Bad Reputation","Joan Jett & the Blackhearts",204,2B,97,2025-10-31,02:49,40,"rock","Bad Reputation (Expanded Edition)",1981-01-23,38,0,1,82,10,0,-4,F#/G♭ Major,4,7pu8AhGUxHZSCWTkQ2eb5M,USBH18000101,no
24,"Just A Girl","No Doubt",108,10B,91,2025-10-31,03:29,79,"","Tragic Kingdom",1995-10-10,64,7,0,77,0,10,-5,D Major,4,5lWRaa0fBxDE5yU91npPq7,USIR19500272,no
