#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"World On Fire","Slash,Myles Kennedy And The Conspirators",174,3B,98,2025-12-12,04:31,45,"hard rock, ","World On Fire",2014-09-16,43,0,0,52,0,30,-3,C♯/D♭ Major,4,0GnU2sNVI6uP1tlmkVfiEt,US9T51400037,yes
2,"Addicted To Pain","Alter Bridge",118,12A,99,2025-12-12,04:16,52,"post-grunge, alternative metal, hard rock","Fortress",2013-01-01,52,0,0,28,10,10,-4,C♯/D♭ Minor,4,74ODL6xFR2erTu2mvXFIDz,NLA321392725,no
3,"Beggars & Hangers-On","Slash's Snakepit",77,2B,87,2025-12-12,06:14,45,"hard rock","It's Five O'Clock Somewhere",1995-02-14,20,1,0,26,0,20,-5,F#/G♭ Major,4,67wiIvRCnoDwUYc54k614B,QZED51800003,no
4,"Absolute Zero","Stone Sour",140,12A,99,2025-12-12,03:49,69,"post-grunge, alternative metal, nu metal","House of Gold & Bones, Part 1",2012-10-17,55,0,31,62,0,80,-3,C♯/D♭ Minor,4,14EORgkbXqIx5K4Haucmnb,NLA321292440,yes
5,"The End","Mammoth",144,11B,97,2025-12-12,03:33,52,"","The End",2025-10-24,46,0,9,17,10,20,-4,A Major,4,7fvjnXSsWR8FppO0VmGMRN,QMRSZ2500359,no
6,"The Spell","Mammoth",100,11B,85,2025-12-12,03:29,48,"","The End",2025-10-24,52,0,86,28,10,10,-4,A Major,4,1SH9wSHJfwgYNcR6r2OZ8G,QMRSZ2500361,no
7,"Don't Back Down","Mammoth",140,9B,93,2025-12-12,03:45,54,"","Mammoth",2021-06-11,50,0,0,44,10,10,-5,G Major,4,4f74h9bcuHOroCaVsKIr4F,QM6XS2300773,no
8,"Another Celebration At The End Of The World","Mammoth",190,10B,95,2025-12-12,04:35,51,"","Mammoth II",2023-08-04,43,0,79,39,20,10,-6,D Major,4,1oxh5M17Q5rCGnMvIgxfCa,QMRSZ2300273,no
9,"Silver Tongue","Alter Bridge",141,3B,93,2025-12-12,04:18,47,"post-grunge, alternative metal, hard rock","Pawns & Kings",2022-10-14,43,0,0,35,0,40,-6,C♯/D♭ Major,4,5uNazTJV7Rpd8zAtWDiSiG,ATN262206003,no
10,"Playing Aces","Alter Bridge",157,4B,95,2025-12-12,04:04,36,"post-grunge, alternative metal, hard rock","Playing Aces",2025-12-03,39,0,0,30,0,30,-3,G#/A♭ Major,4,7mEFQ2zsu27VkVB9ncNRB2,ATN262539310,no
11,"One More Time","Tremonti",130,4B,73,2025-12-12,04:26,33,"alternative metal, post-grunge, hard rock","The End Will Show Us How",2025-01-10,49,0,0,36,0,0,-5,G#/A♭ Major,4,6u7MablxICetr7EyrcdIIi,ATN262529702,no
12,"Overcome","Creed",195,11B,93,2025-12-12,03:46,62,"post-grunge","Full Circle",2009-01-01,33,0,0,39,0,10,-3,A Major,4,25TQBBKOrtTfnH6QBM9He1,USWU30900233,no
13,"Slither","Velvet Revolver",141,9B,97,2025-12-12,04:08,65,"grunge","Contraband",2004-00-00,48,0,10,28,10,0,-4,G Major,4,7kF1iPJTj3VFJX9XokQ80F,USRC10400063,no
14,"Lies Of The Beautiful People","Sixx:A.M.",94,8B,99,2025-12-12,03:58,55,"","This Is Gonna Hurt",2011-05-03,41,0,0,25,0,10,-3,C Major,4,2Vs5oZG2ka6zDmT4eXl6b9,USDPK1186001,no
15,"Sound of Madness","Shinedown",186,7A,94,2025-12-12,03:53,75,"post-grunge, alternative metal, rock","The Sound of Madness",2008-06-23,33,0,1,33,0,30,-2,D Minor,4,0W9Xvd4Qx1aZPxEi94vgRY,USAT20802280,no
