#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Stick Season","Noah Kahan",118,11B,50,2026-01-23,03:02,88,"","Stick Season",2022-10-14,66,80,0,80,0,10,-7,A Major,4,0mflMxspEfB0VbI1kyLiAv,USUM72212470,no
2,"Take Me to Church","Hozier",129,9A,66,2026-01-23,04:01,82,"","Hozier (Expanded Edition)",2014-09-19,57,63,0,44,0,10,-5,E Minor,4,1CS7Sd1u5tWkstBhpssyjP,USSM11307291,no
3,"Counting Stars","OneRepublic",122,12A,71,2026-01-23,04:17,91,"soft pop","Native",2013-01-01,66,7,0,47,0,10,-5,C♯/D♭ Minor,4,2tpWsVSb9UEmDRxAl1zhX1,USUM71301306,no
4,"Somewhere Only We Know","Keane",172,11B,66,2026-01-23,03:56,81,"","Hopes And Fears",2004-01-01,45,8,0,37,0,0,-4,A Major,4,0ll8uFnc0nANY35E0Lfxvg,GBAAN0300664,no
5,"Pumped Up Kicks","Foster The People",128,4A,71,2026-01-23,03:59,89,"","Torches",2011-05-23,73,14,12,97,0,10,-6,F Minor,4,7w87IxuO7BDcJ3YUqCyMTT,USSM11002931,no
6,"Too Sweet","Hozier",117,6B,62,2026-01-23,04:11,82,"","Unreal Unearth: Unaired",2024-08-19,74,3,0,93,0,0,-6,A#/B♭ Major,4,76JKIsdKrAfWUMjaA0u7v5,USSM12401865,no
7,"Beautiful Things","Benson Boone",105,6B,47,2026-01-23,03:00,90,"","Fireworks & Rollerblades",2024-04-05,47,15,0,22,0,10,-6,A#/B♭ Major,3,3xkHsmpQCBMytMJNiDf3Ii,USWB12307016,no
8,"Carry You Home","Alex Warren",124,6B,66,2026-01-23,02:46,86,"","You'll Be Alright, Kid (Chapter 1)",2024-09-26,53,47,0,46,10,10,-7,A#/B♭ Major,4,1wOp7yTVyH176bW1z9WAiv,USAT22403017,no
9,"All Things End","Hozier",76,8A,56,2026-01-23,03:33,40,"","Unreal Unearth: Unaired",2024-08-19,40,38,0,24,0,0,-7,A Minor,4,4d5kquuuZ39GHHLrFqwpge,USSM12300490,no
10,"Francesca","Hozier",178,10B,59,2026-01-23,04:30,44,"","Unreal Unearth: Unaired",2024-08-19,31,0,0,18,0,10,-7,D Major,4,1aNhm9XZzHch24MWJqV9cm,USSM12302652,no
11,"Northern Attitude (with Hozier)","Noah Kahan,Hozier",122,5B,64,2026-01-23,04:27,65,"","Stick Season (Forever)",2024-02-09,49,13,0,33,0,10,-8,D#/E♭ Major,4,6pBeLF2GZS3NNwV4DBvtg5,USUM72315552,yes
12,"Almost (Sweet Music)","Hozier",90,9B,69,2026-01-23,03:37,76,"","Wasteland, Baby!",2019-03-01,52,2,0,71,10,20,-6,G Major,4,5Apvsk0suoivI1H8CmBglv,USSM11806793,no
13,"Ride","Twenty One Pilots",75,2B,71,2026-01-23,03:34,88,"","Blurryface",2015-05-15,65,1,0,57,0,10,-5,F#/G♭ Major,4,2Z8WuEywRWYTKe1NybPQEW,USAT21500598,no
14,"Adventure of a Lifetime","Coldplay",112,9B,92,2026-01-23,04:23,89,"","A Head Full of Dreams",2015-12-04,64,0,0,53,0,10,-4,G Major,4,69uxyAqqPIsUyTO8txoP2M,GBAYE1500981,no
15,"Cake By The Ocean","DNCE",119,9A,75,2026-01-23,03:39,86,"","DNCE",2016-11-18,77,15,0,90,0,0,-5,E Minor,4,76hfruVvmfQbw0eYn1nmeC,USUM71514637,yes
16,"Little Talks","Of Monsters and Men",103,3B,76,2026-01-23,04:26,84,"folk pop","My Head Is An Animal",2012-01-01,46,2,0,42,0,10,-5,C♯/D♭ Major,4,2ihCaVdNZmnHZWt0fvAM7B,USUM71119106,no
17,"Everybody Wants To Rule The World","Tears For Fears",112,9B,80,2026-01-23,04:11,87,"new wave, synthpop","Songs From The Big Chair (Super Deluxe Edition)",1985-02-25,65,35,0,54,0,10,-12,G Major,4,4RvWPyQ5RL0ao9LPZeSouE,GBF088590110,no
18,"Bitter Sweet Symphony - Remastered 2016","The Verve",171,11B,92,2026-01-23,05:57,88,"britpop, shoegaze","Urban Hymns (Remastered 2016)",1997-09-29,36,3,0,52,0,40,-6,A Major,4,57iDDD9N9tTWe75x6qhStw,GBUM71601816,no
19,"Seven Nation Army","The White Stripes",124,9A,45,2026-01-23,03:52,88,"garage rock, blues rock, rock, alternative rock","Elephant",2003-04-01,74,0,12,28,0,30,-8,E Minor,4,3dPQuX8Gs42Y7b454ybpMR,USVT10300001,no
20,"Just Give Me a Reason (feat. Nate Ruess)","P!nk,Nate Ruess",95,10B,55,2026-01-23,04:02,88,"","The Truth About Love",2012-09-18,78,34,0,44,0,10,-7,D Major,4,1mKXFLRA179hdOWQBwUk9e,USRC11200786,no
21,"Try","P!nk",104,10B,63,2026-01-23,04:07,85,"","The Truth About Love",2012-09-18,67,0,0,55,0,0,-7,D Major,4,1jF7IL57ayN4Ity3jQqGu0,USRC11200785,no
22,"Sign of the Times","Harry Styles",120,7B,60,2026-01-23,05:40,93,"","Harry Styles",2017-05-12,52,3,0,22,0,10,-5,F Major,4,5Ohxk2dO5COHF1krpoPigN,USSM11703595,no
23,"Work Song","Hozier",121,6B,36,2026-01-23,03:49,78,"","Hozier (Expanded Edition)",2014-09-19,53,75,0,26,0,10,-8,A#/B♭ Major,4,5TgEJ62DOzBpGxZ7WRsrqb,USSM11401475,no
24,"Cigarette Daydreams","Cage The Elephant",114,10B,68,2026-01-23,03:28,82,"","Melophobia",2013-10-08,64,8,0,27,0,0,-3,D Major,4,2tznHmp70DxMyr2XhWLOW0,USRC11301169,no
25,"Mr. Brightside","The Killers",148,3B,91,2026-01-23,03:42,95,"alternative rock","Hot Fuss",2004-00-00,35,0,0,24,0,10,-5,C♯/D♭ Major,4,003vvx7Niy0yvhvHt4a68B,USIR20400274,no
26,"How to Save a Life","The Fray",122,6B,74,2026-01-23,04:22,85,"","How To Save A Life",2005-09-13,64,27,0,36,0,10,-4,A#/B♭ Major,4,5fVZC9GiM4e8vu99W0Xf6J,USSM10601178,no
27,"Sex on Fire","Kings of Leon",153,11B,91,2026-01-23,03:23,89,"","Only By The Night",2008-09-23,54,0,1,37,0,10,-6,A Major,4,0ntQJM78wzOLVeCUAW7Y45,USRC10800300,no
28,"Can't Stop","Red Hot Chili Peppers",91,11B,94,2026-01-29,04:29,90,"funk rock, alternative rock, rock","By the Way (Deluxe Edition)",2002-07-09,62,2,0,88,0,10,-3,A Major,4,3ZOEytgrvLwQaqXreDs2Jx,USWB10201694,no
29,"Beggar's Song","Matt Maeson",145,2B,46,2026-02-01,03:55,60,"","Bank On The Funeral",2019-04-05,45,60,0,27,0,0,-7,F#/G♭ Major,4,4NK49OnNDP3oJcTGs89XSg,USAT21900734,no
