#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Ohio","Crosby, Stills, Nash & Young",79,8B,53,2019-07-06,03:03,68,"folk rock, classic rock","So Far",1974-08-19,44,26,2,75,0,10,-11,C Major,4,0ToHhkK4qtwEyKOxhQpMbJ,USAT20901916,no
2,"Copperhead Road","Steve Earle",163,9B,59,2019-07-06,04:29,75,"alt country, outlaw country, americana, country rock","Copperhead Road",1988-01-01,37,2,0,71,0,0,-15,G Major,4,0VU5k3vCrpqDgUygMjiFYj,USMC18826253,no
3,"Hurricane","Bob Dylan",136,8B,83,2019-07-06,08:32,71,"folk rock, folk, singer-songwriter, roots rock","Desire",1976-01-16,51,4,0,74,0,10,-8,C Major,4,1lqMLr9Wj7SM2F9AikGcxN,USSM17500791,yes
4,"The Ballad Of Curtis Loew","Lynyrd Skynyrd",145,11B,43,2019-07-06,04:51,70,"southern rock, classic rock, rock","Second Helping (Expanded Edition)",1974-04-15,43,31,0,59,0,10,-12,A Major,4,6PPhp1qpAjLUxQr75vSD4H,USMC17447093,no
5,"Can't You See","The Marshall Tucker Band",164,9B,49,2019-07-06,06:02,0,"southern rock, country rock, classic rock","Keeping The Love Alive",1997-01-01,42,17,0,53,0,20,-12,G Major,4,4AlgqXQ5QA5bsNa6Nmchz7,USSE90320901,no
6,"Old Man - 2009 Remaster","Neil Young",141,9B,25,2019-07-06,03:22,64,"classic rock, folk rock, singer-songwriter, roots rock","Harvest (2009 Remaster)",1972-02-14,70,43,1,45,0,10,-15,G Major,4,16XeptMdlJTWWeIrwEAOvv,USRE10900203,no
7,"All Along the Watchtower","Jimi Hendrix",113,4B,81,2019-07-06,04:00,78,"psychedelic rock, classic rock, acid rock, blues rock","Electric Ladyland",1968-10-25,44,0,0,56,0,0,-6,G#/A♭ Major,4,2aoo2jlRnM3A0NyLQqMN2f,USQX90900749,no
8,"Up On Cripple Creek - Remastered 2000","The Band",144,11B,72,2019-07-06,04:34,0,"folk rock, roots rock, southern rock, americana","The Band (Expanded Edition)",1969-09-22,72,23,0,95,0,0,-9,A Major,4,60VcYHxoyOdZyFb1EaKJdN,USCA20000792,no
9,"Gimme Shelter","The Rolling Stones",119,12A,63,2019-07-06,04:30,81,"classic rock, rock","Let It Bleed",1969-12-05,63,45,4,49,0,10,-8,C♯/D♭ Minor,4,6H3kDe7CGoWYBabAeVWGiD,USA176910020,no
10,"Mary Jane's Last Dance","Tom Petty and the Heartbreakers",170,6A,65,2019-07-06,04:33,83,"classic rock","Greatest Hits",2008-05-20,46,3,0,53,0,30,-9,G Minor,4,3dmqIB2Qxe2XZobw9gXxJ6,USMC19341704,no
