#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy",152,8A,92,2017-07-05,03:06,65,"emo, pop punk","Save Rock And Roll",2013-04-12,56,3,0,57,0,50,-4,A Minor,4,7s0lDK7y3XLmI7tcsRAbW0,USUM71300299,no
2,"Young And Menace","Fall Out Boy",108,1B,83,2017-07-05,03:43,0,"emo, pop punk","Young And Menace",2017-04-27,65,10,0,34,0,10,-5,B Major,4,72OGJT4cL9BQjHTa8h28tz,USUM71703363,no
3,"Love Runs Out","OneRepublic",120,9B,94,2017-07-05,03:44,68,"soft pop","Native",2014-01-01,72,17,0,74,0,10,-4,G Major,4,5BJSZocnCeSNeYMj3iVqM7,USUM71404631,no
4,"Irresistible","Fall Out Boy",165,10B,94,2017-07-05,03:26,66,"emo, pop punk","American Beauty/American Psycho",2015-01-16,49,7,0,44,10,20,-3,D Major,4,3znPiywA0q1VK2jgAZFDoI,USUM71417732,no
5,"Animals","Maroon 5",190,9A,74,2017-07-05,03:51,87,"pop","V",2014-09-02,28,0,0,33,0,50,-6,E Minor,4,2bL2gyO6kBdLkNSkxXNh6x,USUM71409576,no
6,"You're Gonna Go Far, Kid","The Offspring",126,8A,91,2017-07-05,02:57,1,"punk, skate punk","Rise And Fall, Rage And Grace",2008-06-17,55,1,0,58,0,20,-3,A Minor,4,2G8IHtLBcgu2GXTwq0iB4Y,USSM10801605,yes
7,"Sail","AWOLNATION",119,3B,44,2017-07-05,04:19,77,"","Megalithic Symphony",2011-03-15,83,44,62,27,0,10,-10,C♯/D♭ Major,4,7ueP5u2qkdZbIPN2YA6LR0,USP6L1000053,no
8,"Uptown Funk (feat. Bruno Mars)","Mark Ronson,Bruno Mars",115,8B,61,2017-07-05,04:29,90,"","Uptown Special",2015-01-12,86,1,0,93,0,0,-7,C Major,4,32OlwWuMpZ6b0aN2RZOeMS,GBARL1401524,no
9,"Shape of You","Ed Sheeran",96,12A,65,2017-07-05,03:53,92,"soft pop","÷ (Deluxe)",2017-03-03,83,58,0,93,0,0,-3,C♯/D♭ Minor,4,7qiZfU4dY1lWllzX7mPBI3,GBAHS1600463,no
10,"The Phoenix","Fall Out Boy",138,9A,96,2020-02-24,04:04,76,"emo, pop punk","Save Rock And Roll",2013-04-12,56,0,0,41,0,50,-3,E Minor,4,7jwDuO7UZvWs77KNj9HbvF,USUM71302620,no
