#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Lavender Haze","Strutman Lane",112,4B,72,2025-09-16,03:46,41,"","Lavender Haze",2024-01-21,72,5,0,91,0,10,-5,G#/A♭ Major,4,13hpAXFkVqLaLU7YZH8NvI,QZWFN2393819,yes
2,"Shrug","Red Scarves",109,12A,75,2025-09-16,03:19,0,"","Red Scarves",2015-09-12,61,0,0,57,0,20,-7,C♯/D♭ Minor,4,5cHYkcDBZfvvoBZJDRrWjv,QM4DW1651237,no
3,"Running Start","Red Scarves",108,4B,66,2025-09-16,02:57,0,"","Red Scarves",2015-09-12,53,2,55,95,0,0,-6,G#/A♭ Major,4,2OkLCiq8No8BYMa0JovqAE,QM4DW1651236,no
4,"Little Lighter","Ripe",117,8B,87,2025-09-16,03:49,49,"","Joy in the Wild Unknown",2018-04-06,79,37,0,51,10,0,-6,C Major,4,5lN4zYDwWMTAtBvQRFtCSF,TCADJ1741692,no
5,"Flipside","Ripe",96,10A,73,2025-09-16,03:38,45,"","Joy in the Wild Unknown",2018-04-06,75,3,0,72,0,10,-5,B Minor,4,6wcckVJclK7eZVpr4il6vj,TCADJ1742005,no
6,"Stanky","Ripe",91,9B,83,2025-09-16,04:36,35,"","Joy in the Wild Unknown",2018-04-06,68,1,23,77,0,10,-5,G Major,4,4vz1qOq4qkT5NifgeYI7uB,TCADJ1742010,no
7,"Lickin' Anna Slickin'","Cosmic Dust",107,4B,46,2025-09-16,08:21,1,"shoegaze, post-grunge, dream pop","Journey",2012-10-18,59,60,46,56,0,0,-13,G#/A♭ Major,4,5t3XFwxNJBWznyySjUVput,ushm91265639,no
8,"Follow Through","Ripe",99,7A,77,2025-09-24,04:39,32,"","Joy in the Wild Unknown",2018-04-06,77,41,0,78,0,0,-5,D Minor,4,1ocL5z4kNcS3bOLv304MYF,TCADJ1742002,no
9,"Young Tom Rose","Ripe",158,10A,63,2025-10-10,05:33,41,"","Joy in the Wild Unknown",2018-04-06,62,12,0,74,0,0,-4,B Minor,4,3YoH1yG6yFgqUQDiMVz2NO,TCADJ1742912,no
10,"Passerby","Ripe",112,9B,63,2025-10-10,04:02,45,"","Joy in the Wild Unknown",2018-04-06,68,8,0,59,0,0,-6,G Major,4,20H4W2B60xSQF2R1XpIg54,TCADJ1742087,no
11,"Strangers (feat. Cory Wong)","Ripe,Cory Wong",170,4A,80,2025-10-10,04:23,30,"funk, jazz funk, jazz fusion","Play The Game",2025-09-19,54,0,0,57,0,10,-6,F Minor,4,0WuycsGrEottVOwKZnIzJ4,QMDA72438440,no
12,"Beige Suit","Ripe",83,6B,83,2025-10-10,03:51,30,"","Play The Game",2025-09-19,51,0,0,45,0,10,-5,A#/B♭ Major,4,6uFewun5LNC3MibM5kFcEk,QMDA72438444,no
13,"Letting Go (feat. Lawrence)","Ripe,Lawrence",154,9B,84,2025-10-10,03:26,43,"pop soul, retro soul, christmas","Play The Game",2025-09-19,53,0,0,81,0,20,-4,G Major,4,6heKkLIEAFhHwSOc7u6pAo,QMDA72438433,no
14,"Stand Up","The Revivalists",188,7B,86,2025-10-10,03:51,55,"","Men Amongst Mountains",2015-07-15,55,22,0,55,10,10,-5,F Major,4,4u9IvdoXfFo4sgLOUbltRu,USWU31500067,yes
15,"Wish I Knew You","The Revivalists",101,5A,72,2025-10-10,04:34,76,"","Men Amongst Mountains",2015-07-15,65,14,7,72,0,10,-7,C Minor,4,2EWpa5XnAuSn0sIkSSIhYk,USWU31500062,no
16,"Family Business","Lawrence",93,2B,93,2025-10-10,03:18,2,"pop soul, retro soul, christmas","Family Business",2024-06-20,69,6,0,74,10,20,-2,F#/G♭ Major,4,0h4K1pD8oD1iBPDv1PNRhg,QM24S2403282,no
17,"Homesick","Lawrence",82,4B,71,2025-10-10,03:18,37,"pop soul, retro soul, christmas","Homesick",2013-01-05,38,45,0,70,0,10,-6,G#/A♭ Major,4,64OcVQq3FBoGm2twUd3044,TCABL1336208,no
18,"Shy","Melt",169,3B,81,2025-10-10,03:40,46,"indie soul, pop soul","Shy",2020-03-20,34,3,0,49,10,10,-4,C♯/D♭ Major,4,52rQXYctvHtZU2hf7S3B2v,QZFZ62043742,no
19,"Do You Wanna Do Nothing with Me?","Lawrence",202,12A,61,2025-10-10,04:11,3,"pop soul, retro soul, christmas","Breakfast",2017-02-24,55,17,0,73,10,0,-9,C♯/D♭ Minor,4,2M7UdnD0fEaryh8TnCvqFX,US7VG1610093,no
20,"Good Life","Sammy Rae & The Friends",99,2A,80,2025-10-10,03:56,56,"pop soul","The Good Life",2018-07-10,43,54,0,39,0,0,-5,D#/E♭ Minor,4,6sOK9LnvTTj4E2ZGzhKTQo,TCADR1880700,no
21,"Alibi","Lawrence",87,8A,67,2025-10-21,03:36,0,"pop soul, retro soul, christmas","Breakfast",2017-02-24,67,14,13,57,0,20,-5,A Minor,4,4tLx9jusig9rUZ5N5f0HZk,US7VG1610094,no
