#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"The State Of Massachusetts","Dropkick Murphys",112,7A,97,2019-02-21,03:52,2,"celtic punk, celtic rock, celtic, punk, folk punk","The Meanest Of Times",2007-09-18,40,0,0,61,0,10,-3,D Minor,4,0kXpvPNNjjPsEGRg3SE0xW,USK250700003,no
2,"I'm Shipping Up To Boston","Dropkick Murphys",129,10B,93,2019-02-21,02:33,74,"celtic punk, celtic rock, celtic, punk, folk punk","The Warrior's Code",2005-07-19,45,0,0,60,0,20,-3,D Major,4,7rSERmjAT38lC5QhJ8hnQc,USHEL0504111,no
3,"The Green Fields Of France (No Man's Land)","Dropkick Murphys",145,5B,44,2019-02-21,04:45,50,"celtic punk, celtic rock, celtic, punk, folk punk","The Warrior's Code",2005-07-19,47,64,0,35,0,10,-7,D#/E♭ Major,3,2PNjn68WCzvsJwAc37eFki,USHEL0504109,no
4,"Drunken Lullabies","Flogging Molly",156,9B,97,2019-02-21,03:50,2,"celtic punk, celtic rock, celtic, folk punk, punk","Drunken Lullabies",2002-03-19,37,0,3,85,0,0,-4,G Major,4,3nhJpxZXEQTsZwrDUihXQf,USA6G0223001,no
5,"Devil's Dance Floor","Flogging Molly",145,9B,92,2019-02-21,03:59,0,"celtic punk, celtic rock, celtic, folk punk, punk","Swagger",2000-03-07,47,4,0,87,0,0,-6,G Major,4,2DPrCpQlpwWGJSPJJtLTyY,USA6G0021910,no
6,"What’s Left of the Flag","Flogging Molly",156,9B,96,2019-02-21,03:38,0,"celtic punk, celtic rock, celtic, folk punk, punk","Drunken Lullabies",2002-03-19,20,0,0,56,0,30,-4,G Major,4,2NFyWtBM9pTPszMMmxjVOl,USA6G0223002,no
7,"My Head is Filled With Music","The Real McKenzies",113,6B,95,2019-02-22,02:59,0,"celtic punk, celtic rock, celtic, sea shanties, folk punk, punk","Westwinds",2012-03-27,43,0,0,54,0,0,-4,A#/B♭ Major,4,6wau8ib9QKkqHaxeKZALVC,USFW41278811,no
8,"Barrett's Privateers","The Real McKenzies",100,9B,82,2024-10-21,04:30,0,"celtic punk, celtic rock, celtic, sea shanties, folk punk, punk","Westwinds",2012-03-27,93,36,0,65,10,10,-6,G Major,4,3TLhkXFenusy509GrA8RUL,USFW41278812,no
9,"Drink Some More","The Real McKenzies",125,6B,84,2019-02-22,03:19,0,"celtic punk, celtic rock, celtic, sea shanties, folk punk, punk","Off the Leash",2008-08-05,46,3,0,67,0,20,-5,A#/B♭ Major,3,71MLYxrDVR7PjGmOPqghp9,USFW40873111,no
10,"Whiskey Makes Me Crazy","The Tossers",171,10B,99,2019-02-25,01:21,0,"celtic punk, celtic rock, celtic, folk punk","On a Fine Spring Evening",2008-00-00,34,8,0,78,10,30,-3,D Major,4,0tG2LaJr7lvqKK9Rixa9J1,USVIC0844105,no
