#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Peace Somehow","Avi Kaplan",144,12B,56,2025-10-31,03:31,61,"southern gothic","Peace Somehow",2025-02-21,66,89,91,35,0,10,-12,E Major,4,2SLJSg5MvfoHdHPPoHQDTx,US3DF2508869,no
2,"Change On The Rise","Avi Kaplan",77,8B,39,2025-10-31,04:00,61,"southern gothic","I'll Get By",2020-02-28,59,51,0,45,0,20,-10,C Major,4,5xNpsWUHMrBvWNiQc3HAiK,TCAEB1973148,no
3,"Warm Shadow","Fink",101,9A,56,2025-10-31,05:46,30,"indie folk","Perfect Darkness",2011-07-19,74,64,25,28,0,10,-11,E Minor,3,1XV2VQONu1GG8Dlaqmqo2R,GBCFB1102105,no
4,"Oats In The Water","Ben Howard",130,7A,47,2025-10-31,04:59,63,"indie folk, folk pop","The Burgh Island EP",2012-01-01,36,27,30,9,0,10,-9,D Minor,4,4dr5sJ1p6mdNpK3fIUz8vR,GBUM71206832,no
5,"Arsonist's Lullabye","Hozier",65,11A,37,2025-10-31,04:26,56,"","From Eden EP",2014-03-09,46,67,7,18,0,10,-11,F#/G♭ Minor,4,1UWhx0pFZccP4jdCIZsj7U,USSM11401476,no
6,"God's Gonna Cut You Down","Johnny Cash",82,4A,49,2025-10-31,02:38,2,"classic country, outlaw country, country","American V: A Hundred Highways",2006-01-01,62,87,0,85,10,10,-8,F Minor,4,6RFkVsPmrM4pzlDkFswwJl,USUM70603342,no
7,"The Preacher","Jamie N Commons",142,4A,44,2025-10-31,03:40,36,"southern gothic","Rumble And Sway EP",2013-01-01,46,23,0,31,0,10,-8,F Minor,3,5fQ8zHRjtlN9Unfiaz4OQf,USUM71301205,no
8,"Half of forever","Henrik",77,11B,31,2025-10-31,02:33,66,"christian folk, folk pop","Half of forever",2024-01-05,75,73,0,48,0,20,-7,A Major,4,5v3MSh7CD3VNyCwAoSha5p,QZWFS2300538,no
9,"The Railroad","Goodnight, Texas",91,8B,42,2025-10-31,04:10,60,"southern gothic, bluegrass, outlaw country, americana, country blues","A Long Life of Living",2012-10-02,68,63,51,44,0,0,-12,C Major,4,7mkemk33kdLQvrkIpRkWWd,QMNFW1200007,no
10,"Old One","Finnegan Tui",99,1A,42,2025-10-31,03:12,44,"","Old One",2024-09-06,42,57,2,12,0,10,-12,G#/A♭ Minor,3,5ifNuCTe2XN4fKZmsc17to,QMBZ92405225,no
11,"Devil’s Backbone","The Civil Wars",115,9A,34,2025-10-31,02:29,50,"southern gothic","The Civil Wars",2013-08-02,34,85,0,35,0,20,-10,E Minor,4,1XTp9AoHDoCQMmMWH0ch8M,USQX91301054,no
12,"The Fall","Gregory Alan Isakov",135,11B,54,2025-10-31,03:27,60,"indie folk, folk, folk pop","Appaloosa Bones",2023-08-18,57,85,50,20,0,10,-10,A Major,4,4a6XLiY6PQmsUufWTDgrXc,USDMG2355401,no
13,"Distant Horizons","Bellhound Choir",138,7A,36,2025-10-31,02:54,46,"southern gothic, blues rock, country blues","Imagine the Crackle",2016-05-20,36,85,10,4,0,0,-10,D Minor,3,4lhdZPsJSq7LrkdhrKXsLR,DKKF21600107,yes
14,"Sons & Daughters","The American Spirit",81,4A,70,2025-10-31,04:02,45,"southern gothic, indie folk","Spaces",2011-11-01,52,1,0,33,0,10,-5,F Minor,4,42r1v4tT0xfteQq0pNMaf9,TCABB1150632,no
15,"I Can't Go on Without You","KALEO",92,1A,27,2025-10-31,06:17,66,"","A/B",2016-06-10,37,66,0,19,0,0,-9,G#/A♭ Minor,4,1dX6oGAG5PaexuPj29PsYd,USAT21600403,no
16,"Backbone","KALEO",128,3A,31,2025-10-31,03:52,61,"","Surface Sounds",2021-04-23,54,48,0,12,0,10,-10,A#/B♭ Minor,4,2mVblJ1gaLw0TZz822Oy31,USAT22000402,no
17,"The Devil Wears a Suit and Tie","Colter Wall",128,11A,32,2025-11-01,03:56,72,"outlaw country, country, southern gothic, red dirt, bluegrass, alt country, americana","Imaginary Appalachia",2015-06-02,63,78,24,45,0,10,-12,F#/G♭ Minor,4,43UV5Uk0ntzH6MP8Rx1RKh,CA55J1542007,no
18,"Fireborn – Burn It All","Glum Aleks",78,9B,14,2025-11-01,02:43,23,"","Fireborn – Burn It All",2025-05-16,78,80,0,34,0,10,-16,G Major,4,1QJsBD1342aOCUZXOKQaIv,QZPLR2547673,no
19,"San Luis","Gregory Alan Isakov",83,6A,43,2025-11-03,04:32,74,"indie folk, folk, folk pop","Evening Machines",2018-10-05,57,86,26,26,0,10,-13,G Minor,4,0mnWNvwXRNu82bpfi2rsuz,USDMG1888302,no
20,"Barton Hollow","The Civil Wars",91,10B,66,2025-11-05,03:25,50,"southern gothic","Barton Hollow",2011-02-01,42,13,0,44,0,0,-7,D Major,4,6ZOBY9RG2tcxXX0ohKtfRc,USQX91301428,no
21,"Ecstasy","Crooked Still",132,8A,40,2025-11-05,06:13,50,"bluegrass, newgrass, southern gothic, americana, folk, christian bluegrass","Shaken By A Low Sound",2006-08-22,62,67,86,21,0,10,-12,A Minor,4,2V9p00deRkvclpg7A7FWaz,TCAAT1032076,no
22,"Behind The Veil","Myles Kennedy",130,12A,87,2025-12-09,05:47,31,"","The Art Of Letting Go",2024-10-11,47,0,0,19,0,10,-5,C♯/D♭ Minor,4,0dDb0G0DaI6URFknN5YlpS,ATN262429405,no
