#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"1,2,3,4","Alan Doyle",140,10B,89,2021-12-17,03:02,0,"sea shanties, celtic rock, celtic","So Let's Go",2015-01-20,68,2,0,86,0,0,-6,D Major,4,5gaJiKxlFk3vrQx3OdJLt2,CA72N1400007,no
2,"May We All","DISPATCH",160,2B,82,2021-12-17,04:10,0,"jam band","Break Our Fall",2021-05-28,52,12,0,62,0,10,-7,F#/G♭ Major,4,53aIOKVQE4BDGEYAzv2eMk,GBKPL2024867,no
3,"Break Our Fall","DISPATCH",158,8B,77,2021-12-17,04:30,0,"jam band","Break Our Fall",2021-05-28,47,35,0,22,0,10,-7,C Major,4,5E9Zlmbw2sVk0rHC58GqqL,GBKPL2036314,no
4,"Glow","Sherwood Forest",80,5A,95,2021-12-17,04:35,2,"","Glow",2018-09-07,45,0,3,69,0,40,-7,C Minor,4,0eukoxHt6XcVyLCPP5K9Aa,ushm81879766,no
5,"The Legend of Chavo Guerrero","The Mountain Goats",142,10A,86,2021-12-17,03:00,0,"folk punk, anti-folk, indie folk","Beat the Champ",2015-04-07,69,1,27,91,0,30,-6,B Minor,4,6gPrsmxMd346xXojwswZAN,USMRG1551602,no
6,"Here We Go","DISPATCH",105,11B,82,2021-12-17,04:40,42,"jam band","Bang Bang",1997-09-01,60,16,0,50,0,20,-4,A Major,4,54hVYvjP7uWq4mYfMeZYBO,US4QB0400033,no
7,"Bully Boys","Alan Doyle",96,9B,66,2021-12-17,03:18,0,"sea shanties, celtic rock, celtic","A Week At The Warehouse",2017-10-13,59,24,0,77,0,10,-4,G Major,3,20c4wM6yi8V7CXDNF7Q0ki,CA72N1700007,no
8,"Drunken Lullabies","Flogging Molly",156,9B,97,2021-12-17,03:50,0,"celtic punk, celtic rock, celtic, folk punk, punk","Drunken Lullabies",2002-03-19,39,0,2,86,0,0,-4,G Major,4,7vX5yphSQ7Drut4moiuIXv,USA6G0223001,no
9,"All Torn Down","The Living End",134,12A,89,2021-12-17,04:06,35,"psychobilly","The Living End",1999-01-15,55,0,0,68,0,10,-6,C♯/D♭ Minor,4,7wExJtAgOuF21fMxUwyIsB,AUMPO9800010,no
10,"One Last Drink","Enter The Haggis",135,11B,77,2021-12-17,03:28,37,"celtic rock, celtic, celtic punk, sea shanties","Soapbox Heroes",2006-06-18,62,4,0,78,10,0,-5,A Major,4,156fYYicI5aC1NmWgU5F4R,ushm91191074,no
11,"As We Ran","The National Parks",144,11B,59,2021-12-17,03:20,2,"folk pop","As We Ran",2014-01-28,43,2,1,18,0,30,-7,A Major,4,5ITmuvjtUUdxVQCCsaKBDx,uscgh1415693,no
12,"It Only Gets Better","WILD",100,12A,86,2021-12-17,03:25,0,"folk pop","It Only Gets Better",2019-03-08,65,7,0,51,0,0,-5,C♯/D♭ Minor,4,2VElMQrXmrKszZVZzbH5oK,CAN111900003,no
13,"Smoke","Tara Terra",171,3B,64,2021-12-17,03:44,2,"","Daughter",2014-08-30,25,1,0,61,0,10,-8,C♯/D♭ Major,4,43Q5ViomNNdhwnKuVbTFNI,QMPKX1470875,no
14,"Penelope","Red Scarves",131,10B,80,2021-12-17,04:16,0,"","Sort of Scarlet",2017-10-20,52,2,0,32,0,10,-6,D Major,4,3pEQ5bVK5bFRFB7x6Eqd8M,QZ9Y21736803,no
15,"Cleopatra","The Lumineers",151,4B,78,2021-12-17,03:21,4,"folk pop, indie folk","Cleopatra",2016-04-08,54,23,0,49,0,0,-7,G#/A♭ Major,4,2ToW7zhGCrVrLU4fiKj9U1,USDMG1673803,no
16,"Ophelia","The Lumineers",76,7B,57,2021-12-17,02:40,5,"folk pop, indie folk","Cleopatra",2016-04-08,66,61,0,57,0,0,-7,F Major,4,3d8y0t70g7hw2FOWl9Z4Fm,USDMG1673802,no
