#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Slow Hands","Niall Horan",86,8B,42,2017-10-15,03:08,55,"","Slow Hands",2017-05-04,74,1,0,85,0,0,-7,C Major,4,27vTihlWXiz9f9lJM3XGVU,USUG11700631,no
2,"Let Her Go","Passenger",75,9B,54,2017-10-15,04:12,7,"folk pop","All The Little Lights",2012-11-05,51,39,0,24,0,10,-7,G Major,4,7DFNE7NO0raLIUbgzY2rzm,GBMQN1100004,no
3,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth,Meghan Trainor",110,12A,62,2017-10-15,03:10,63,"soft pop, ","Some Type of Love",2015-05-01,80,42,0,82,0,30,-5,C♯/D♭ Minor,4,6ukMqDxnOPOgoHdak7Kyp3,USAT21500254,no
4,"Strip That Down - Acoustic","Liam Payne",106,2B,38,2017-10-15,03:04,48,"","Strip That Down (Acoustic)",2017-06-16,88,64,0,91,0,10,-8,F#/G♭ Major,4,1Ddj6nkhUP3lHpLvDqPsvC,GBUM71702057,no
5,"Strip That Down","Liam Payne,Quavo",106,2B,50,2017-10-15,03:24,66,"","Strip That Down",2017-05-18,87,22,0,54,0,0,-5,F#/G♭ Major,4,4Ro98RCK90oHqqSZUnTFq5,GBUM71701628,no
6,"Slow Dancing in a Burning Room","John Mayer",134,12A,36,2017-10-15,04:02,0,"singer-songwriter","Continuum",2006-00-00,67,57,1,29,0,0,-9,C♯/D♭ Minor,5,3f8Uygfz3CIpUCo6H6iNOJ,USSM10603632,no
7,"Come On Get Higher","Matt Nathanson",92,11B,62,2017-10-15,03:35,68,"","Some Mad Hope",2007-08-10,67,24,0,62,0,0,-6,A Major,4,38YgZVHPWOWsKrsCXz6JyP,USVG20701509,no
8,"Shape of You","Ed Sheeran",96,12A,65,2017-10-15,03:53,7,"soft pop","Shape of You",2017-01-06,83,58,0,93,0,0,-3,C♯/D♭ Minor,4,0FE9t6xYkqWXU2ahLh6D8X,GBAHS1600463,no
9,"Love On The Brain","Rihanna",172,9A,64,2017-10-15,03:44,1,"","ANTI",2016-01-28,51,7,0,38,0,0,-5,E Minor,3,2aksifNn5ph8igDOkPBA02,QM5FT1600120,yes
10,"Cheap Thrills","Sia",90,11A,70,2017-10-15,03:31,74,"","This Is Acting (Deluxe Version)",2016-10-21,63,5,0,73,10,0,-6,F#/G♭ Minor,4,3S4px9f4lceWdKf0gWciFu,USRC11502935,no
11,"There's Nothing Holdin' Me Back","Shawn Mendes",122,10A,81,2017-10-15,03:19,91,"","Illuminate (Deluxe)",2017-04-20,87,38,0,97,0,0,-4,B Minor,4,7JJmb5XwzOO8jgpou264Ml,USUM71702833,no
12,"Say You Won't Let Go","James Arthur",85,6B,56,2017-10-15,03:31,87,"soft pop","Back from the Edge",2016-10-28,36,70,0,49,0,0,-7,A#/B♭ Major,4,5uCax9HTNlzGybIStD3vDh,DEE861600586,no
13,"Thunder","Imagine Dragons",168,8B,83,2017-10-15,03:07,5,"","Evolve",2017-06-23,60,1,15,24,0,10,-5,C Major,4,5VnDkUNyX6u5Sk0yZiP8XB,USUM71704167,no
14,"Stay","Zedd,Alessia Cara",102,4A,62,2017-10-15,03:30,80,"edm, ","Stay",2017-02-23,69,25,0,54,0,10,-5,F Minor,4,6uBhi9gBXWjanegOb2Phh0,USUM71700736,no
15,"Cold","Maroon 5,Future",100,8A,71,2017-10-15,03:54,0,"pop, rap","Cold",2017-02-14,70,12,0,46,10,0,-6,A Minor,4,52yOf7Ls1u5AO3cFIzQ58m,USUM71616357,yes
16,"Paris","The Chainsmokers",100,10B,66,2017-10-15,03:41,82,"","Memories...Do Not Open",2017-04-07,65,2,0,22,0,0,-6,D Major,4,72jbDTw1piOOj770jWNeaG,USQX91603031,no
17,"Chained To The Rhythm","Katy Perry,Skip Marley",95,8B,80,2017-10-15,03:57,0,"pop, reggae","Witness",2017-06-09,52,8,0,49,0,10,-5,C Major,4,5tP2TrJDgXXxAHZwcOknOI,USUM71700560,no
18,"Treat You Better","Shawn Mendes",83,3A,82,2017-10-15,03:07,93,"","Illuminate",2017-04-20,44,11,0,77,30,10,-4,A#/B♭ Minor,4,3QGsuHI8jO1Rx4JWLUh9jd,USUM71604711,no
