#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Oh Well feat. Chris Stapleton","Slash,Chris Stapleton",95,10B,91,2024-06-05,04:33,51,"hard rock, country, outlaw country","Orgy of the Damned",2024-05-17,49,0,10,60,0,20,-8,D Major,4,0o16V4WswA4aknX8WmVDsQ,QZWH32400007,no
2,"World On Fire","Slash,Myles Kennedy And The Conspirators",174,3B,98,2024-06-05,04:31,45,"hard rock, ","World On Fire",2014-09-16,43,0,0,52,0,30,-3,C♯/D♭ Major,4,0GnU2sNVI6uP1tlmkVfiEt,US9T51400037,yes
3,"World On Fire","Slash,Myles Kennedy And The Conspirators",174,3B,98,2024-06-05,04:31,45,"hard rock, ","World On Fire",2014-09-16,43,0,0,52,0,30,-3,C♯/D♭ Major,4,0GnU2sNVI6uP1tlmkVfiEt,US9T51400037,yes
4,"The River Is Rising (feat. Myles Kennedy and The Conspirators)","Slash,Myles Kennedy And The Conspirators",123,2A,99,2024-06-05,03:42,40,"hard rock, ","4 (feat. Myles Kennedy and The Conspirators)",2022-02-11,30,0,1,16,10,30,-3,D#/E♭ Minor,4,3LqWKbOdMK4jB3NPcMIvJt,QMRSZ2101093,no
5,"Anastasia","Slash,Myles Kennedy And The Conspirators",101,3B,94,2024-06-05,06:07,48,"hard rock, ","Apocalyptic Love",2012-01-01,44,0,0,48,0,10,-5,C♯/D♭ Major,4,7JJ22vCP45tMhZnAH4Sp1e,US9T51000060,no
6,"Halo","Slash,Myles Kennedy And The Conspirators",140,4B,92,2024-06-05,03:22,26,"hard rock, ","Apocalyptic Love",2012-01-01,45,0,0,56,0,20,-5,G#/A♭ Major,4,0kvoUUbMwAQV2nixjP9l3e,US9T51000058,no
7,"Mind Your Manners (feat. Myles Kennedy and The Conspirators)","Slash,Myles Kennedy And The Conspirators",110,3B,98,2024-06-05,03:37,37,"hard rock, ","Living the Dream",2018-09-21,52,0,0,49,30,20,-2,C♯/D♭ Major,4,1iDIZuD3qAsW1wnVTaf3Xi,NLA321800100,no
8,"Read Between the Lines (feat. Myles Kennedy and The Conspirators)","Slash,Myles Kennedy And The Conspirators",130,3B,98,2024-06-05,03:36,27,"hard rock, ","Living the Dream",2018-09-21,48,0,0,48,20,30,-3,C♯/D♭ Major,4,5PJnM5GE4gf1yrpoW5wemG,NLA321800102,no
9,"Driving Rain (feat. Myles Kennedy and The Conspirators)","Slash,Myles Kennedy And The Conspirators",108,4B,99,2024-06-05,04:10,41,"hard rock, ","Living the Dream",2018-09-21,50,0,0,42,20,10,-3,G#/A♭ Major,4,0n43aLT8CYhnHijg1qeD6z,NLA321800105,no
10,"Sorry Not Sorry (with Slash) - Rock Version","Demi Lovato,Slash",77,9B,91,2024-06-05,03:34,38,"hard rock","Sorry Not Sorry (with Slash) [Rock Version]",2023-07-14,47,0,0,55,20,30,-2,G Major,4,3sxeoitzj07ONdF2akJ62y,USUG12303420,yes
11,"Ghost","Slash,Ian Astbury",100,12B,93,2024-06-05,03:35,36,"hard rock, ","Slash",2010-00-00,53,0,0,61,0,10,-4,E Major,4,5mDCelXK6n9MxMIOSHgg8y,US9T51000001,no
12,"By The Sword","Slash,Andrew Stockdale",72,8A,66,2024-06-05,04:51,31,"hard rock, ","Slash",2010-00-00,41,0,0,24,0,0,-6,A Minor,4,7qSPdNGrKbaqLg6HqflCoZ,US9T51000005,no
13,"Back From Cali","Slash,Myles Kennedy",133,11B,75,2024-06-05,03:36,36,"hard rock, ","Slash",2010-00-00,40,0,0,68,0,0,-6,A Major,4,2hVPDYGExN6ux01zQvUwyr,US9T51000020,no
14,"Crossroads feat. Gary Clark Jr.","Slash,Gary Clark Jr.",126,10B,89,2024-06-05,05:34,36,"hard rock, modern blues, blues rock, blues, soul blues","Orgy of the Damned",2024-05-17,54,0,1,48,0,30,-7,D Major,4,6IgPgkDiKtlPmrFBhqlTmu,QZWH32400005,no
