#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Flood","Jars Of Clay",115,5A,63,2016-09-05,03:31,51,"ccm, christian rock, christian alternative rock, christian","Jars Of Clay",1995-10-24,63,18,0,70,0,10,-9,C Minor,4,4wSqP7Vo7HcoakudSMzxAO,USES29500012,no
2,"Dead Man (Carry Me)","Jars Of Clay",130,12A,74,2016-09-05,03:19,43,"ccm, christian rock, christian alternative rock, christian","Good Monsters",2006-00-00,65,1,0,78,0,20,-3,C♯/D♭ Minor,4,6ctmOB4NPag614TQVzazs4,USA5W0600149,no
3,"Word of God Speak","MercyMe",139,8B,30,2016-09-05,03:07,0,"christian, ccm, worship, christian rock, christian alternative rock, christian pop","Spoken For",2002-00-00,31,83,0,28,0,10,-8,C Major,4,63phC30Ro7pTz8atVjO9yr,USM2C0221807,no
4,"In The Blink Of An Eye","MercyMe",115,10A,89,2016-09-05,03:16,0,"christian, ccm, worship, christian rock, christian alternative rock, christian pop","Undone",2004-05-25,60,0,0,51,0,10,-3,B Minor,4,0uLO90p9TA5ij7jnxNVHWR,USM2C0429404,no
5,"So Long Self","MercyMe",148,3B,88,2016-09-05,04:02,0,"christian, ccm, worship, christian rock, christian alternative rock, christian pop","Coming Up to Breathe",2006-00-00,39,0,0,67,0,0,-4,C♯/D♭ Major,4,25VSKQG1TnKDQ5bXa1IrNB,USM2C0617502,no
6,"Ten Simple Rules","MercyMe",150,2B,93,2016-09-05,03:05,0,"christian, ccm, worship, christian rock, christian alternative rock, christian pop","10",2009-10-13,51,0,0,92,0,10,-4,F#/G♭ Major,4,3oUgZyHAfWpbBUi75FHj84,USM2C0900303,no
7,"Welcome To The New","MercyMe",109,12A,93,2016-09-05,03:19,0,"christian, ccm, worship, christian rock, christian alternative rock, christian pop","Welcome to the New",2014-04-08,57,0,0,72,0,80,-4,C♯/D♭ Minor,4,4wiYPOLNq9Jk2vKIo20LmX,USM2C1400402,no
8,"Shake","MercyMe",172,7B,96,2016-09-05,03:13,0,"christian, ccm, worship, christian rock, christian alternative rock, christian pop","Welcome to the New",2014-04-08,48,0,0,84,10,10,-1,F Major,4,099wV9XARkFSuh9Uz6hFbp,USM2C1400401,no
9,"New Lease On Life","MercyMe",135,11B,93,2016-09-05,03:02,0,"christian, ccm, worship, christian rock, christian alternative rock, christian pop","Welcome to the New",2014-04-08,49,0,1,38,10,0,-4,A Major,4,5B5IAkW5FUHmJjkzUkOi5Z,USM2C1400407,no
10,"Dear Younger Me","MercyMe",99,9B,91,2016-09-05,03:26,0,"christian, ccm, worship, christian rock, christian alternative rock, christian pop","Welcome to the New",2014-04-08,62,10,0,63,0,50,-5,G Major,4,4ZpmGpw5L8kG0VNr3Zhgji,USM2C1400410,no
11,"Tunnel","Third Day",176,11B,92,2016-09-05,04:18,36,"christian, christian rock, ccm, christian alternative rock, worship, christian pop","Wherever You Are",2005-11-01,28,1,0,55,0,10,-3,A Major,4,73FqVOwCKaBaAD8hzb07oV,USA5W0501937,no
12,"Hit Me Like A Bomb","Third Day",132,3B,86,2016-09-05,03:20,27,"christian, christian rock, ccm, christian alternative rock, worship, christian pop","Miracle",2012-11-02,53,0,1,56,0,30,-6,C♯/D♭ Major,4,1AqVkA5tIDexUFnfSuX7Jr,USA5W1200264,no
13,"Kicking and Screaming","Third Day",138,11B,93,2016-09-05,02:46,36,"christian, christian rock, ccm, christian alternative rock, worship, christian pop","Miracle",2012-11-02,57,1,0,70,0,10,-6,A Major,4,5Zs2afnOAjHnGmydX0ukTm,USA5W1200265,no
14,"I Need A Miracle","Third Day",166,12B,70,2016-09-05,03:42,55,"christian, christian rock, ccm, christian alternative rock, worship, christian pop","Miracle",2012-11-02,40,2,0,35,0,10,-6,E Major,4,2gXwMixw0voLNVxPr4Ja6v,USA5W1200267,no
15,"Time's Running Out On Me","Third Day",90,12B,90,2016-09-05,03:20,36,"christian, christian rock, ccm, christian alternative rock, worship, christian pop","Miracle",2012-11-02,46,0,0,63,0,20,-7,E Major,4,2F2bMFcEpQcNr0xRkh287J,USA5W1200274,no
16,"Feet, Don't Fail Me Now","NEEDTOBREATHE",121,8B,83,2016-09-05,03:44,35,"christian, christian folk, christian alternative rock, ccm, christian rock, worship","Rivers in the Wasteland",2014-04-17,61,0,10,42,0,0,-4,C Major,4,2rqbmthQPeTZNUW6FGmTD5,USAT21304797,no
17,"Oh, Carolina","NEEDTOBREATHE",157,9B,94,2016-09-05,03:25,36,"christian, christian folk, christian alternative rock, ccm, christian rock, worship","Rivers in the Wasteland",2014-04-17,50,7,0,47,0,10,-4,G Major,4,75Vc1ge16jlwRmEGCqCc6l,USAT21304803,no
18,"Multiplied","NEEDTOBREATHE",115,9B,82,2016-09-05,04:35,61,"christian, christian folk, christian alternative rock, ccm, christian rock, worship","Rivers in the Wasteland",2014-04-17,59,0,0,38,0,0,-6,G Major,4,4zgO1SgXOeFmr6Hno9DLs4,USAT21304801,no
19,"Brother","NEEDTOBREATHE",78,12B,93,2016-09-05,04:49,47,"christian, christian folk, christian alternative rock, ccm, christian rock, worship","Rivers in the Wasteland",2014-04-17,53,14,0,59,0,10,-5,E Major,4,76jtkq7829eEgEkoQrcjov,USAT21304802,no
20,"Shine","Newsboys",103,9B,72,2016-09-05,03:42,40,"christian, ccm, christian rock, worship, christian alternative rock, christian pop, pop worship","Going Public",1994-01-01,64,0,0,39,0,0,-9,G Major,4,7DxZau0b66RBmWmpFZeliK,USCM19413183,no
21,"Cup O' Tea","Newsboys",136,10B,90,2016-09-05,02:40,25,"christian, ccm, christian rock, worship, christian alternative rock, christian pop, pop worship","Take Me To Your Leader",1996-01-01,54,0,0,40,10,0,-4,D Major,4,1OLfR0nVzyALNuFls69xB7,USSP39616331,no
22,"Beautiful Sound","Newsboys",104,3B,73,2016-09-05,03:47,10,"christian, ccm, christian rock, worship, christian alternative rock, christian pop, pop worship","The Ultimate Playlist - The Early Years",2016-07-08,30,23,0,32,0,10,-4,C♯/D♭ Major,4,3iANbYsSUdCFzuPz5ihTLY,USSP39912399,no
