#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Monsters (feat. blackbear)","All Time Low,blackbear",79,5A,85,2021-05-28,02:54,73,"pop punk, emo, punk, ","Wake Up, Sunshine",2020-04-03,37,5,0,78,0,40,-3,C Minor,4,0tyR7Bu9P086aWBFZ4QJoo,USAT22000034,yes
2,"Way down We Go","KALEO",163,3A,51,2021-05-28,03:33,85,"","A/B",2016-06-10,49,58,0,34,10,10,-8,A#/B♭ Minor,4,0y1QJc3SJVPKJ1OvFmFqe6,USAT21502122,no
3,"No Good","KALEO",109,11B,93,2021-05-28,03:54,71,"","A/B",2016-06-10,38,2,0,58,10,10,-4,A Major,4,0Tr5G2mE56eLUGvCaXRM8I,USAT21601267,no
4,"Mountain at My Gates","Foals",104,7A,93,2021-05-28,04:04,72,"indie","What Went Down",2015-08-28,50,0,8,62,0,20,-5,D Minor,4,3f7OyfSoDbQC0LRDQiytPp,GBAHT1500380,no
5,"23","Chayce Beckham",88,5A,58,2021-05-28,03:48,2,"country","23",2021-05-14,63,28,0,43,0,10,-7,C Minor,4,2ixkIrn45mNfdLDLHuyfRt,QMRSZ2101045,no
6,"Sucker","Jonas Brothers",138,12A,73,2021-05-28,03:01,81,"","Happiness Begins",2019-06-07,84,4,0,95,0,10,-5,C♯/D♭ Minor,4,22vgEDb5hykfaTwLuskFGD,USUG11900515,no
7,"Jezebel Stomp","Black Pistol Fire",118,10B,85,2021-05-28,02:08,32,"blues rock, modern blues, garage rock","Black Pistol Fire",2015-09-16,31,1,52,38,10,0,-7,D Major,4,0fbO9SNfl50WSkF4PQlKof,TCACI1547326,no
8,"Lonely Boy","The Black Keys",166,10B,87,2021-05-28,03:13,71,"blues rock, garage rock, modern blues, rock","El Camino",2011-12-06,36,0,1,61,0,10,-8,D Major,4,5G1sTBGbZT5o4PNRc75RKI,USNO11100273,no
9,"Fire","Barns Courtney",108,3A,64,2021-05-28,03:17,70,"","The Attractions Of Youth",2017-09-29,55,21,0,39,0,0,-6,A#/B♭ Minor,4,5w6B0sAH7XauCvMOAtplQj,GBUM71506495,no
10,"The Devil You Know","X Ambassadors",108,3B,69,2021-05-28,04:02,55,"","The Devil You Know",2017-06-06,65,0,61,37,0,10,-7,C♯/D♭ Major,4,5MEKqNAOlgt3sh5o0iq8EM,USUM71705659,no
11,"Black Holes (Solid Ground)","The Blue Stones",92,10A,85,2021-05-28,03:05,0,"blues rock","Black Holes",2018-10-26,56,1,0,26,0,10,-4,B Minor,4,6JsiDFQRx7GHcuf2UroSYB,TCACN1677390,no
12,"Indestructible","Welshly Arms",176,7A,61,2021-05-28,03:46,54,"","No Place Is Home",2018-05-25,67,4,0,78,0,0,-6,D Minor,4,0uxAAkgJwHFyGvoRbuCXLm,DEUM71800675,no
13,"Off The Ground","The Record Company",92,9B,70,2021-05-28,04:13,59,"blues rock, modern blues, blues","Give It Back To You",2016-01-01,54,60,22,85,0,30,-5,G Major,4,3xRzUblYGZhVs52fMjii7R,USC4R1504254,no
14,"Rolling With the Punches","The Blue Stones",82,10B,87,2021-05-28,03:20,0,"blues rock","Black Holes",2018-10-26,59,2,0,38,0,10,-5,D Major,4,6JFG2WwoaAkCgSTOtMGkLg,TCABO1326815,no
15,"Suffocation Blues","Black Pistol Fire",176,10A,84,2021-05-28,02:41,55,"blues rock, modern blues, garage rock","Black Pistol Fire",2015-09-16,28,0,0,42,10,0,-6,B Minor,4,2WRk6RxETSwdsg2dhtnXxc,TCACI1547318,no
16,"Shakin' Off The Rust","The Blue Stones",111,9B,80,2021-05-28,03:42,0,"blues rock","Hidden Gems",2021-03-19,58,0,0,37,0,10,-6,G Major,4,5PUlGG3xO8PUuDcYKuaeZH,CAK471904601,no
17,"Kiss This","The Struts",186,4B,97,2021-05-28,02:57,58,"glam rock","Everybody Wants",2016-03-04,43,0,0,80,10,10,-4,G#/A♭ Major,4,3Zm5SMUA3JH98Aty7Zc0xr,GBUM71304888,no
18,"Lo/Hi","The Black Keys",122,10B,68,2021-05-28,02:57,64,"blues rock, garage rock, modern blues, rock"," Let's Rock ",2019-06-28,61,2,0,71,0,10,-7,D Major,4,25YlltWXRb9k7KbrEBRuhJ,USNO11900029,no
19,"Life To Fix - Radio Edit","The Record Company",115,11B,84,2021-06-01,03:17,45,"blues rock, modern blues, blues","Life To Fix",2018-04-20,60,13,0,40,0,60,-5,A Major,4,7nUBKIFijTXrZuq0k2nsgZ,USC4R1806472,no
20,"Do Your Worst","Rival Sons",84,10B,79,2021-06-01,03:30,58,"blues rock, modern blues","Feral Roots",2019-01-25,39,1,0,41,0,30,-3,D Major,4,1ZDq0oRT40CkuADdE4Jvrq,USAT21810416,no
21,"Hallucinogenics","Matt Maeson",121,8B,65,2021-06-01,03:07,73,"","Bank On The Funeral",2019-04-05,55,46,0,29,0,10,-7,C Major,4,6bLU8e0LGyztE9iD5DWBQ1,USAT21801088,yes
