#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Kansas City","The New Basement Tapes",164,8B,62,2024-10-20,04:04,65,"roots rock","Lost On The River (Deluxe)",2014-08-19,54,12,1,35,0,10,-8,C Major,4,2JTBNz8VZx7i38pcPROWuz,USUM71411794,no
2,"Little Lion Man","Mumford & Sons",139,7B,50,2024-10-20,04:07,3,"folk, indie folk, folk rock","Sigh No More",2009-10-02,52,2,0,50,0,0,-8,F Major,4,4B4vB3oB8csotplfoQcAd6,GBUM70909097,yes
3,"Little Talks","Of Monsters and Men",103,3B,76,2024-10-20,04:26,84,"folk pop","My Head Is An Animal",2012-01-01,46,2,0,42,0,10,-5,C♯/D♭ Major,4,2ihCaVdNZmnHZWt0fvAM7B,USUM71119106,no
4,"Stick Season","Noah Kahan",118,11B,50,2024-10-20,03:02,88,"","Stick Season",2022-10-14,66,80,0,80,0,10,-7,A Major,4,0mflMxspEfB0VbI1kyLiAv,USUM72212470,no
5,"All My Love","Noah Kahan",116,10B,67,2024-10-20,04:11,81,"","Stick Season",2022-10-14,67,31,0,47,0,10,-7,D Major,4,7ByxizhA4GgEf7Sxomxhze,USUM72217168,no
6,"Break Our Fall","DISPATCH",158,8B,78,2024-10-20,04:30,28,"jam band","Break Our Fall",2021-05-28,47,35,0,21,0,10,-7,C Major,4,1ImYuIBHdZKgIGhgw5CqwH,GBKPL2036314,no
7,"By and By","Caamp",101,11B,47,2024-10-20,04:40,41,"indie folk, folk","By and By",2019-07-26,58,79,0,33,0,10,-8,A Major,4,6T4eTkoARLnJIzWjAtyQe0,USQE91500937,no
8,"Only the Wild Ones","DISPATCH",111,4B,69,2024-10-20,04:13,58,"jam band","America, Location 12",2017-06-02,42,44,0,59,0,10,-7,G#/A♭ Major,4,3LwjMORRPuf7j7WiFHW350,GBWWP1702594,no
9,"Vagabond","Caamp",142,12B,40,2024-10-20,02:09,2,"indie folk, folk","Caamp",2016-03-08,57,77,1,61,0,0,-12,E Major,4,2R3I5DiDf8bLz2QjrPmUpk,TCACM1659369,no
10,"Ends of the Earth","Lord Huron",121,12B,58,2024-10-20,04:44,77,"","Lonesome Dreams (Bonus Track Version)",2012-10-09,55,27,4,41,0,20,-9,E Major,4,0iMt8ZMe2BsNvsF9LFDOAn,US53Q1200031,no
