#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"All Torn Down","The Living End",134,12A,89,2025-10-31,04:06,35,"psychobilly","The Living End",1999-01-15,55,0,0,68,0,10,-6,C♯/D♭ Minor,4,7wExJtAgOuF21fMxUwyIsB,AUMPO9800010,no
2,"Sugar, We're Goin Down","Fall Out Boy",162,9B,84,2025-10-31,03:49,83,"emo, pop punk","From Under The Cork Tree",2005-05-03,49,1,0,57,0,10,-5,G Major,4,2TfSHkHiFO4gRztVIkggkE,USIR20500201,no
3,"Thnks fr th Mmrs","Fall Out Boy",155,3A,89,2025-10-31,03:23,83,"emo, pop punk","Infinity On High",2007-01-01,46,1,0,59,0,10,-5,A#/B♭ Minor,4,3Zwu2K0Qa5sT6teCCHPShP,USUM70700326,no
4,"Uma Thurman","Fall Out Boy",150,9A,96,2025-10-31,03:31,72,"emo, pop punk","American Beauty/American Psycho",2015-01-16,62,10,0,67,0,20,-3,E Minor,4,5PUawWFG1oIS2NwEcyHaCr,USUM71417734,no
5,"Welcome to the Black Parade","My Chemical Romance",97,10B,91,2025-10-31,05:11,83,"emo, pop punk","The Black Parade",2006-10-20,22,0,0,24,0,20,-4,D Major,4,5wQnmLuC1W7ATsArWACrgW,USRE10602613,no
6,"I'm Not Okay (I Promise)","My Chemical Romance",180,11B,94,2025-10-31,03:06,80,"emo, pop punk","Three Cheers for Sweet Revenge",2004-06-08,21,1,0,26,10,20,-3,A Major,4,7lRlq939cDG4SzWOF4VAnd,USRE10400660,yes
7,"Basket Case","Green Day",85,5B,94,2025-10-31,03:01,86,"punk, pop punk","Dookie",1994-02-01,44,0,0,78,0,0,-3,D#/E♭ Major,4,6L89mwZXSOwYl76YXfX13s,USRE19900151,no
8,"American Idiot","Green Day",186,3B,99,2025-10-31,02:56,86,"punk, pop punk","American Idiot",2004-09-21,38,0,0,77,0,30,-2,C♯/D♭ Major,4,6nTiIhLmQ3FWhvrGafw2zj,USRE10400888,yes
9,"Holiday / Boulevard of Broken Dreams","Green Day",167,4B,83,2025-10-31,08:13,78,"punk, pop punk","American Idiot",2004-09-21,29,0,0,45,0,30,-3,G#/A♭ Major,4,0MsrWnxQZxPAcov7c74sSo,USRE10401218,yes
10,"Wake Me up When September Ends","Green Day",105,9B,81,2025-10-31,04:45,84,"punk, pop punk","American Idiot",2004-09-21,55,2,0,15,0,10,-5,G Major,4,3ZffCQKLFLUvYM59XKLbVm,USRE10400992,no
11,"Jesus of Suburbia","Green Day",147,3B,93,2025-10-31,09:08,71,"punk, pop punk","American Idiot",2004-09-21,30,0,0,59,0,30,-3,C♯/D♭ Major,4,58KPPL1AdLHMvR2O2PZejr,USRE10400983,yes
