#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Northern Attitude","Noah Kahan",121,5B,63,2024-02-02,04:27,83,"","Stick Season",2022-10-14,52,12,0,32,0,10,-8,D#/E♭ Major,4,4O2rRsoSPb5aN7N3tG6Y3v,USUM72217167,yes
2,"Stick Season","Noah Kahan",118,11B,50,2024-02-02,03:02,88,"","Stick Season",2022-10-14,66,80,0,80,0,10,-7,A Major,4,0mflMxspEfB0VbI1kyLiAv,USUM72212470,no
3,"All My Love","Noah Kahan",116,10B,67,2024-02-02,04:11,81,"","Stick Season",2022-10-14,67,31,0,47,0,10,-7,D Major,4,7ByxizhA4GgEf7Sxomxhze,USUM72217168,no
4,"She Calls Me Back","Noah Kahan",128,1B,69,2024-02-02,04:03,75,"","Stick Season",2022-10-14,75,8,0,72,0,20,-6,B Major,4,1LvU6IFqQnXOIwJyBDb2io,USUM72217169,yes
5,"Come Over","Noah Kahan",150,12B,24,2024-02-02,03:17,67,"","Stick Season",2022-10-14,64,54,0,45,0,10,-11,E Major,3,2NmaDAnnP9zspaHLc5aSjb,USUM72217170,no
6,"New Perspective","Noah Kahan",157,7B,52,2024-02-02,04:16,77,"","Stick Season",2022-10-14,69,27,0,45,0,0,-10,F Major,4,1M39ETXmej4g9EMSeXPUgj,USUM72217171,no
7,"Everywhere, Everything","Noah Kahan",180,1B,39,2024-02-02,04:17,75,"","Stick Season",2022-10-14,46,36,0,29,0,10,-9,B Major,3,32iNr3J93tqFkxaMYwdRYi,USUM72217173,no
8,"Orange Juice","Noah Kahan",120,11B,38,2024-02-02,04:57,80,"","Stick Season",2022-10-14,66,48,0,21,0,10,-11,A Major,4,07UFnnK3uPIuKv5Rs9TmXl,USUM72217174,no
9,"Strawberry Wine","Noah Kahan",103,8B,15,2024-02-02,04:45,72,"","Stick Season",2022-10-14,44,93,0,25,0,10,-18,C Major,4,7Gvf6Li9MYft4fUijkFjKq,USUM72217175,no
10,"Growing Sideways","Noah Kahan",178,9B,29,2024-02-02,04:15,71,"","Stick Season",2022-10-14,52,74,0,56,0,10,-9,G Major,4,1JcIXOir94YUYBt2cXTzn2,USUM72217176,yes
11,"Halloween","Noah Kahan",160,5B,17,2024-02-02,03:55,62,"","Stick Season",2022-10-14,57,75,0,36,0,10,-14,D#/E♭ Major,3,5aeQMQDWe64gVnVYSOqW6A,USUM72217178,no
12,"Homesick","Noah Kahan",170,2B,62,2024-02-02,03:14,75,"","Stick Season",2022-10-14,51,3,0,41,0,30,-7,F#/G♭ Major,4,0jkzxxDG8z3Y5OmfNl1VM0,USUM72217180,yes
13,"Still","Noah Kahan",139,5B,18,2024-02-02,03:07,63,"","Stick Season",2022-10-14,61,79,0,16,0,10,-13,D#/E♭ Major,4,10r6fXqVFUfARiEswa4wqV,USUM72217179,no
14,"The View Between Villages","Noah Kahan",153,3B,17,2024-02-02,03:35,77,"","Stick Season",2022-10-14,32,83,0,6,0,0,-14,C♯/D♭ Major,4,6PdWPdgPoVCT9WLFMVnhxx,USUM72217181,no
15,"False Confidence","Noah Kahan",109,2B,66,2024-02-02,03:43,76,"","Busyhead",2019-06-14,41,16,0,33,0,10,-8,F#/G♭ Major,4,7nDFTHHwfe32a8qdp9XqPy,USUM71814497,yes
16,"Mess","Noah Kahan",81,6B,83,2024-02-02,03:33,72,"","Busyhead",2019-06-14,44,18,0,60,0,10,-5,A#/B♭ Major,4,1BlQWQgGP84r4GYUVty4Ar,USUM71902817,yes
