#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Nothing's Wrong - Live from Spotify NYC","Echosmith",119,12B,43,2016-09-30,03:33,7,"","Spotify Sessions",2015-02-24,69,45,0,58,0,80,-9,E Major,4,6ePfOWdapiJk6rbFECNJPR,USWB11501869,no
2,"Jackson","Elle King",130,11B,83,2016-09-30,03:13,32,"","Love Stuff",2015-02-13,60,12,0,28,0,10,-4,A Major,4,6WgOLU1u5rtuOG3pSqihKx,USRC11402900,no
3,"Little Talks","Of Monsters and Men",103,3B,76,2016-09-30,04:26,55,"folk pop","My Head Is An Animal",2012-01-01,45,2,0,42,0,10,-5,C♯/D♭ Major,4,3a2tuvXCHbW5nuUckuHkKT,USUM71119106,no
4,"Mountain Sound","Of Monsters and Men",102,12A,88,2016-09-30,03:31,70,"folk pop","My Head Is An Animal",2012-01-01,38,4,0,37,0,10,-4,C♯/D♭ Minor,4,60ZGteAEtPCnGE6zevgUcd,USUM71202068,no
5,"Blue Ridge Mountain","Hurray For The Riff Raff",87,11B,48,2016-09-30,02:33,0,"americana, alt country","Small Town Heroes",2014-01-01,61,91,13,87,0,30,-9,A Major,4,0LDutPcTM5oGqNAU4h6A8t,USATO1300485,no
6,"In Chains","Shaman's Harvest",142,10A,73,2016-10-02,04:09,0,"","Smokin' Hearts & Broken Guns",2014-09-12,46,0,0,26,0,20,-5,B Minor,4,4PX6YOc2ysHxiBqwNNca2F,NLB931400409,no
7,"Big Sky Country","Chris Whitley",90,6B,44,2016-10-06,04:45,33,"roots rock, americana, alt country, blues rock","Living With The Law",1991-07-02,66,50,0,60,0,0,-11,A#/B♭ Major,4,3MOHZpSZQmP2f1f30aqpDH,USSM19100523,no
8,"Lightning Crashes","Live",82,1B,43,2016-10-07,05:24,47,"post-grunge, grunge","Awake The Best Of Live",2004-01-01,37,27,0,46,0,10,-9,B Major,4,2VFRnfx3nzHdeSrFhtq9Jj,USRR29442180,no
9,"Death's Song","Harbor at Sea",168,8B,64,2016-11-27,03:50,0,"","Better Things",2016-08-05,28,1,0,35,0,10,-7,C Major,4,42bzHsUWx89scWJtI0TjA4,ushm21640252,no
10,"Let Me Love You Baby","Buddy Guy",124,8B,96,2016-12-22,04:01,31,"blues, classic blues, blues rock, soul blues, modern blues, country blues","Damn Right, I've Got The Blues",1991-00-00,52,8,0,43,10,30,-5,C Major,4,75PUrwtQEarrbg4JQ2VDMr,USSV10300108,no
