#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Too Sweet","Hozier",117,6B,62,2024-07-24,04:11,5,"","Unreal Unearth: Unheard",2024-03-22,74,3,0,93,0,0,-6,A#/B♭ Major,4,0AjmK0Eai4zGrLaJwPvrDp,USSM12401865,no
2,"Stick Season","Noah Kahan",118,11B,50,2024-07-24,03:02,88,"","Stick Season",2022-10-14,66,80,0,80,0,10,-7,A Major,4,0mflMxspEfB0VbI1kyLiAv,USUM72212470,no
3,"Beautiful Things","Benson Boone",105,6B,47,2024-07-24,03:00,86,"","Beautiful Things",2024-01-18,47,15,0,22,0,10,-6,A#/B♭ Major,3,6tNQ70jh4OwmPGpYy6R2o9,USWB12307016,no
4,"good 4 u","Olivia Rodrigo",167,11B,66,2024-07-24,02:58,86,"","SOUR",2021-05-21,56,34,0,69,10,0,-5,A Major,4,4ZtFanR9U6ndgddUvNcjcG,USUG12101245,yes
5,"obsessed","Olivia Rodrigo",120,4B,58,2024-07-24,02:50,78,"","GUTS (spilled)",2024-03-22,68,2,0,63,10,20,-5,G#/A♭ Major,4,6tNgRQ0K2NYZ0Rb9l9DzL8,USUG12305564,yes
6,"Northern Attitude (with Hozier)","Noah Kahan,Hozier",122,5B,64,2024-07-24,04:27,71,"","Northern Attitude (with Hozier)",2023-11-10,49,13,0,33,0,10,-8,D#/E♭ Major,4,4oEf84vBYVftf6KmZexhVo,USUM72315552,yes
7,"Please Please Please","Sabrina Carpenter",107,11B,59,2024-07-24,03:06,80,"pop","Please Please Please",2024-06-06,67,27,0,58,0,10,-6,A Major,4,5N3hjp1WNayUPZrA8kJmJP,USUM72404101,yes
8,"Lose Control","Teddy Swims",160,11B,60,2024-07-24,03:30,83,"","Lose Control",2023-06-23,56,20,0,24,0,10,-4,A Major,3,6usohdchdzW9oML7VC4Uhk,USWB12302315,no
9,"BIRDS OF A FEATHER","Billie Eilish",105,10B,51,2024-07-24,03:30,95,"","HIT ME HARD AND SOFT",2024-05-17,75,20,6,44,0,10,-10,D Major,4,6dOtVTDdiauQNBQEDOtlAB,USUM72401994,no
10,"Almost (Sweet Music)","Hozier",90,9B,69,2024-07-24,03:37,76,"","Wasteland, Baby!",2019-03-01,52,2,0,71,10,20,-6,G Major,4,5Apvsk0suoivI1H8CmBglv,USSM11806793,no
11,"Slow It Down","Benson Boone",181,4B,58,2024-07-24,02:41,84,"","Fireworks & Rollerblades",2024-04-05,43,17,0,54,0,0,-5,G#/A♭ Major,4,51eSHglvG1RJXtL3qI5trr,USWB12400913,no
12,"Stargazing","Myles Smith",124,12A,60,2024-07-24,02:52,87,"","Stargazing",2024-05-10,64,25,0,33,0,10,-6,C♯/D♭ Minor,4,3Vr3zh0r7ALn8VLqCiRR10,GBARL2400510,no
13,"End of Beginning","Djo",160,10B,45,2024-07-24,02:39,97,"","DECIDE",2022-09-16,69,4,0,91,0,0,-8,D Major,4,3qhlB30KknSejmIvZZLjOD,GBKPL2205058,no
14,"vampire","Olivia Rodrigo",137,7B,53,2024-07-24,03:39,87,"","GUTS",2023-09-08,48,15,0,32,0,20,-6,F Major,4,1kuGVB7EU95pJObxwvfwKS,USUG12304091,yes
15,"A Bar Song (Tipsy)","Shaboozey",81,11B,71,2024-07-24,02:51,84,"","Where I've Been, Isn't Where I'm Going",2024-05-31,72,7,0,60,0,0,-5,A Major,4,5fZJQrFKWQLb7FpJXZ1g7K,USUYG1541249,yes
