#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Throne","Bring Me The Horizon",144,5A,89,2016-07-26,03:11,79,"metalcore, emo, rock, screamo, metal, post-hardcore","That's The Spirit",2015-09-11,43,0,0,39,10,30,-4,C Minor,4,0M3adYbGtyRHACP86dey1H,GBARL1500770,no
2,"Heavy Is the Head","Zac Brown Band,Chris Cornell",171,4B,93,2016-07-26,03:59,0,"country, acoustic country, grunge","JEKYLL + HYDE",2015-04-28,41,0,0,70,0,0,-3,G#/A♭ Major,4,5rpjEBQVAVKDDIPa5dI37A,USUG11500335,no
3,"The Devil's Bleeding Crown","Volbeat",110,9B,91,2016-07-26,03:58,3,"rock, metal","Seal The Deal & Let's Boogie",2016-06-03,32,0,14,21,0,0,-5,G Major,3,79M3Eq1q61lkeQJ1OCVEdZ,DKNE11600101,no
4,"Lydia","Highly Suspect",128,11A,71,2016-07-27,04:02,69,"post-grunge","Mister Asylum",2015-07-17,42,1,0,51,0,40,-5,F#/G♭ Minor,4,7yoBjKO6cCnK3zV8gr1k4e,QMCE31500196,yes
5,"Rise","Sixx:A.M.",178,6B,98,2016-09-27,03:53,0,"","プレイヤーズ・フォー・ザ・ダムド",2016-04-29,32,0,0,30,10,30,-3,A#/B♭ Major,4,3RfpoMHHobe9CMsoElYsna,USDPK1600001,no
6,"In the End","Linkin Park",105,2A,86,2016-09-15,03:36,92,"nu metal, rap metal, rock, alternative metal","Hybrid Theory (Bonus Edition)",2000-10-24,56,1,0,40,0,20,-6,D#/E♭ Minor,4,60a0Rd6pjrkxjPbaKzXjfq,USWB10002407,no
7,"Numb","Linkin Park",110,11A,87,2016-09-15,03:07,91,"nu metal, rap metal, rock, alternative metal","Meteora",2003-03-25,49,0,0,21,0,40,-4,F#/G♭ Minor,4,2nLtzopw4rPReszdYBJU6h,USWB10300474,no
8,"My Champion","Alter Bridge",116,1B,94,2016-09-15,04:40,0,"post-grunge, alternative metal, hard rock","My Champion",2016-01-01,52,0,0,52,0,30,-6,B Major,4,2OSkpQrDhdFJGqXHwywE34,ATN261669104,no
9,"Show Me A Leader - Radio Edit","Alter Bridge",132,4B,99,2016-09-15,03:48,24,"post-grunge, alternative metal, hard rock","Show Me A Leader (Radio Edit)",2016-01-01,37,0,0,18,10,10,-4,G#/A♭ Major,4,46Li5B2A8xJ9cOYw5YEc2D,ATN261669115,no
10,"Addicted To Pain","Alter Bridge",118,12A,99,2016-09-15,04:16,52,"post-grunge, alternative metal, hard rock","Fortress",2013-01-01,52,0,0,28,10,10,-4,C♯/D♭ Minor,4,74ODL6xFR2erTu2mvXFIDz,NLA321392725,no
11,"Take Me Down","The Pretty Reckless",111,10B,94,2016-09-15,04:13,0,"","Take Me Down",2016-09-09,66,1,1,52,0,60,-4,D Major,4,7hHPTSmRBrCdhLWsUP515M,USRZR1600120,no
12,"Wrong Side Of Heaven","Five Finger Death Punch",150,9A,93,2016-09-27,04:30,0,"metal, groove metal, heavy metal, hard rock, rock","The Wrong Side Of Heaven And The Righteous Side Of Hell (Volume 1/Deluxe Edition)",2013-01-01,47,1,0,56,0,30,-5,E Minor,4,7nErzYSlYWbf9oetHig5DZ,US5Z51300299,yes
13,"Jekyll And Hyde","Five Finger Death Punch",155,2B,96,2016-09-27,03:26,0,"metal, groove metal, heavy metal, hard rock, rock","Got Your Six (Deluxe)",2015-09-04,54,0,0,73,10,0,-4,F#/G♭ Major,4,2i4g3MGvVFX1HU94NWAT0s,US5Z51400620,yes
14,"Wash It All Away","Five Finger Death Punch",123,12B,99,2016-09-27,03:44,0,"metal, groove metal, heavy metal, hard rock, rock","Got Your Six (Deluxe)",2015-09-04,49,0,0,32,0,20,-3,E Major,4,1CFnHmGq4pZFadNvh9PSir,US5Z51500624,yes
15,"House Of The Rising Sun","Five Finger Death Punch",77,9A,96,2016-09-27,04:07,0,"metal, groove metal, heavy metal, hard rock, rock","The Wrong Side Of Heaven And The Righteous Side Of Hell (Volume 2)",2013-01-01,47,0,0,25,0,10,-3,E Minor,4,51EmxIMMOFEY3G6REpX9Ze,US5Z51300416,yes
16,"My Nemesis","Five Finger Death Punch",75,12A,97,2016-09-27,03:35,0,"metal, groove metal, heavy metal, hard rock, rock","Got Your Six (Deluxe)",2015-09-04,44,0,0,55,0,20,-2,C♯/D♭ Minor,4,62vgJ6bvqsEgGbNGOdjTUa,US5Z51500626,no
17,"Shepherd of Fire","Avenged Sevenfold",128,10B,91,2016-09-27,05:23,75,"metal, alternative metal","Hail to the King",2013-08-20,58,0,6,21,0,0,-8,D Major,4,1fQaoh3imrMunWVZh5kf90,USWB11302490,no
18,"Nearly Forgot My Broken Heart","Chris Cornell",120,8B,78,2016-09-27,03:54,60,"grunge","Higher Truth",2015-09-18,59,9,0,66,0,10,-5,C Major,4,7MjRtWS2teufvOiMM0BARZ,USUM71510864,no
19,"Asking for It","Shinedown",144,6B,97,2016-09-27,03:30,59,"post-grunge, alternative metal, rock","Threat to Survival",2015-09-18,45,0,0,41,0,10,-4,A#/B♭ Major,4,3Tp7y0bLogDQsIO5tTTOH4,USAT21502572,no
20,"Sound of Madness","Shinedown",186,7A,94,2016-09-27,03:53,75,"post-grunge, alternative metal, rock","The Sound of Madness",2008-06-23,33,0,1,33,0,30,-2,D Minor,4,0W9Xvd4Qx1aZPxEi94vgRY,USAT20802280,no
21,"Second Chance","Shinedown",100,5A,80,2016-09-27,03:42,77,"post-grunge, alternative metal, rock","The Sound of Madness",2008-06-23,46,0,0,18,0,10,-5,C Minor,4,0CwYG1UnRmOx8Q1EzElCIL,USAT20802281,no
22,"State of My Head","Shinedown",80,6A,94,2016-09-27,03:25,66,"post-grunge, alternative metal, rock","Threat to Survival",2015-09-18,49,1,0,42,0,0,-4,G Minor,4,1fnULsZuORnAgCFFbM8nTZ,USAT21502573,no
23,"Cut the Cord","Shinedown",178,9B,97,2016-09-27,03:44,72,"post-grunge, alternative metal, rock","Threat to Survival",2015-09-18,45,0,0,53,0,30,-3,G Major,4,4LFBVDJV0xpayUvquQVzhS,USAT21501541,no
24,"Simple Man - Rock Version","Shinedown",121,9B,63,2016-09-27,04:25,66,"post-grunge, alternative metal, rock","Leave a Whisper (Deluxe Edition)",2003-07-15,53,6,0,23,0,20,-5,G Major,4,6WXdlIUbsqFSS6T63eCBxx,USAT20901112,no
25,"I Hate Everything About You","Three Days Grace",89,11A,83,2016-09-27,03:51,77,"post-grunge, rock","Three Days Grace (Expanded Edition)",2003-07-22,50,0,0,45,0,10,-5,F#/G♭ Minor,4,6rUp7v3l8yC4TKxAAR5Bmx,USJI10300075,no
26,"Animal I Have Become","Three Days Grace",122,4B,85,2016-09-27,03:51,83,"post-grunge, rock","One-X",2006-06-25,55,0,0,51,0,10,-4,G#/A♭ Major,4,56sk7jBpZV0CD31G9hEU3b,USJI10600117,no
27,"I Am Machine","Three Days Grace",75,7A,97,2016-09-27,03:21,72,"post-grunge, rock","Human",2015-03-30,40,0,0,48,0,10,-5,D Minor,4,2UDumaw7osnyjH7RZ2DLpB,USRC11402105,no
28,"Angels Fall","Breaking Benjamin",196,9B,89,2016-09-27,03:48,71,"alternative metal, post-grunge, rock","Dark Before Dawn",2015-06-23,40,0,0,41,0,10,-5,G Major,4,2D9BrlpeyjXF0vli2dYQ5V,USHR11536293,no
29,"Failure","Breaking Benjamin",155,3B,89,2016-09-27,03:34,68,"alternative metal, post-grunge, rock","Dark Before Dawn",2015-06-23,46,0,1,38,0,0,-5,C♯/D♭ Major,4,4wh0E9OwMCxcaIKTg0Mts9,USHR11536289,no
30,"Paralyzer","Finger Eleven",106,10A,94,2016-09-27,03:28,81,"","Them Vs. You Vs. Me (Deluxe Edition)",2007-01-01,64,16,0,86,0,20,-3,B Minor,4,28IEbk5a7twNTbUEvWslUb,USWU30700001,yes
31,"You're Gonna Go Far, Kid","The Offspring",126,8A,92,2016-09-27,02:57,4,"punk, skate punk","Rise And Fall, Rage And Grace",2008-06-13,55,0,0,56,0,20,-3,A Minor,4,1FMm3wG5WOhi7js35KR7Ea,USSM10801605,yes
32,"Last Resort","Papa Roach",91,9A,89,2016-09-27,03:19,8,"nu metal, rap metal, alternative metal, rap rock, rock","Infest",2000-04-25,58,0,0,72,0,20,-4,E Minor,4,5eek2X5459T1HoYJk2CKXv,USDW10021712,yes
33,"Gravity","Papa Roach",86,3B,92,2016-09-27,04:04,1,"nu metal, rap metal, alternative metal, rap rock, rock","F.E.A.R.",2015-01-27,57,1,0,64,20,10,-4,C♯/D♭ Major,4,4nrWU5PRlFJubLjahofpOU,USDPK1400256,no
34,"Face Everything And Rise","Papa Roach",140,4B,99,2016-09-27,03:10,0,"nu metal, rap metal, alternative metal, rap rock, rock","F.E.A.R.",2015-01-27,41,0,0,36,0,30,-2,G#/A♭ Major,4,5K7RDuh2JihPUScuOB76Sq,USDPK1400250,no
35,"Machinehead","Bush",178,11B,92,2016-09-27,04:16,1,"grunge, post-grunge","Sixteen Stone (Remastered)",1994-12-06,14,0,0,19,10,10,-4,A Major,3,1Z5LCXu5Ca3sHAy6OdUrBT,QM7YK1400021,no
36,"Remedy","Seether",128,4B,95,2016-09-27,03:27,76,"post-grunge, alternative metal, rock","Karma and Effect",2005-01-01,55,0,0,39,0,0,-5,G#/A♭ Major,4,5ynxx6zC4dgzsMHLYQ04Dc,USWU30500016,no
37,"Cirice","Ghost",90,5B,80,2016-09-27,06:02,61,"metal, hard rock","Meliora",2015-01-01,56,0,0,28,0,10,-6,D#/E♭ Major,4,3ZXZ9RMsznqgyHnyq0K5FL,USC4R1500698,no
38,"Angel","Theory of a Deadman",76,10A,84,2016-09-27,03:22,67,"post-grunge, alternative metal","Savages",2014-07-25,44,0,0,45,0,0,-5,B Minor,4,2qJkesdHu9sMMVFgkRkqhQ,NLA321400207,no
39,"The Vengeful One","Disturbed",170,9A,97,2016-09-27,04:12,51,"metal, nu metal, alternative metal, rap metal, hard rock","Immortalized",2015-08-14,24,0,0,58,10,20,-3,E Minor,4,5tz5QsHPkv69T1scq2utZZ,USRE11500172,no
40,"Headstrong","Trapt",185,9A,90,2016-09-27,04:46,77,"post-grunge","Trapt",2002-11-05,49,0,0,53,10,10,-6,E Minor,4,1AEYT6VxrxXPMoQUxsY0E4,USWB10201991,no
41,"Jenny","NOTHING MORE",106,10A,91,2016-09-27,03:56,1,"","Nothing More",2014-06-23,53,0,0,20,10,50,-8,B Minor,4,1qhcO9Akt1mP0Y54OSTX9w,USDPK1400165,no
42,"Footsteps","Pop Evil",92,7B,73,2016-09-27,04:22,0,"","UP",2015-08-21,64,1,0,76,0,0,-8,F Major,4,47StfXJOnGLhYfMEWgoTiX,USKO11500567,no
43,"The Diary of Jane - Single Version","Breaking Benjamin",167,3A,96,2016-09-27,03:20,81,"alternative metal, post-grunge, rock","Phobia (Clean Version)",2006-01-01,39,0,4,27,0,10,-4,A#/B♭ Minor,4,0faXHILILebCGnJBPU6KJJ,USHR10622153,no
44,"Down with the Sickness","Disturbed",90,3A,90,2016-09-27,04:38,65,"metal, nu metal, alternative metal, rap metal, hard rock","The Sickness (10th Anniversary Edition)",2010-03-22,65,0,0,92,0,10,-3,A#/B♭ Minor,4,4ImIJRZNJhNQLLdUFSYJoS,USRE10902084,yes
45,"I Miss the Misery","Halestorm",164,8B,97,2016-09-27,03:03,69,"","The Strange Case of... (Deluxe)",2012-04-09,47,1,0,48,0,30,-2,C Major,4,3gmEzilP9BzF45wIMvA16l,USAT21200150,no
46,"The Devil in I","Slipknot",92,8A,94,2016-09-27,05:42,77,"nu metal, metal, alternative metal, rap metal, heavy metal",".5: The Gray Chapter (Special Edition)",2014-10-15,40,1,0,24,0,30,-3,A Minor,4,5hheGdf1cb4rK0FNiedCfK,NLA321400348,no
47,"Words As Weapons","Seether",110,4A,90,2016-09-27,04:00,69,"post-grunge, alternative metal, rock","Isolate And Medicate (Deluxe Edition)",2014-01-01,59,1,0,61,0,0,-6,F Minor,4,0aYQsp1vZZcX0JBEJvKF7N,QMFMK1400003,no
48,"Hero","Skillet",142,3B,97,2016-09-27,03:06,78,"christian rock, christian alternative rock, christian","Awake",2009-08-21,53,1,0,78,10,30,-3,C♯/D♭ Major,4,4CbKVDZkYKdv69I4bCaKUq,USAT20901852,no
49,"Figure It Out","Royal Blood",108,8B,81,2016-09-27,03:03,62,"garage rock, rock","Royal Blood",2014-08-18,66,23,1,69,0,20,-5,C Major,4,6V0A3jkb9ntudO0kmcJ1xd,GBAHT1400222,no
50,"Little Monster","Royal Blood",96,7B,88,2016-09-27,03:32,36,"garage rock, rock","Royal Blood",2014-08-18,45,0,0,50,0,10,-4,F Major,4,0LHni3bdbwZASRHf8RYlXK,GBAHT1400096,no
51,"Bad Company","Five Finger Death Punch",114,10A,89,2016-09-27,04:22,0,"metal, groove metal, heavy metal, hard rock, rock","War Is The Answer",2009-00-00,56,0,0,17,0,0,-4,B Minor,4,3H3nKeXkD84Us8t9IDbKua,US5Z50900004,yes
52,"Coming for You","The Offspring",139,8B,92,2016-09-27,03:49,0,"punk, skate punk","Coming for You",2015-01-30,51,0,0,56,0,0,-3,C Major,4,1SZoPX6yKcuejHQ49DtDxr,TCACD1543448,yes
53,"Hail to the King","Avenged Sevenfold",118,2A,92,2016-09-27,05:05,81,"metal, alternative metal","Hail to the King",2013-08-20,58,0,3,68,0,10,-4,D#/E♭ Minor,4,5anCkDvJ17aznvK5TED5uo,USWB11302191,no
54,"This Means War","Avenged Sevenfold",90,6A,91,2016-09-27,06:09,70,"metal, alternative metal","Hail to the King",2013-08-20,61,0,0,44,0,0,-6,G Minor,4,2NImo2MajNai4CLk35wMut,USWB11302492,no
55,"Mayhem","Halestorm",173,10B,98,2016-09-27,03:36,45,"","Into the Wild Life (Deluxe)",2015-04-10,40,0,2,40,10,40,-4,D Major,4,6ubqrTIJwspBSqx8XQHN2K,USAT21405461,no
56,"I Am the Fire","Halestorm",172,8A,96,2016-09-27,03:37,52,"","Into the Wild Life (Deluxe)",2015-04-10,38,5,0,20,20,10,-3,A Minor,4,5MapUlM1un2Kh4aZ3IyWcL,USAT21405456,no
57,"Monster","Skillet",135,4B,96,2016-09-27,02:58,85,"christian rock, christian alternative rock, christian","Awake",2009-08-21,64,4,0,69,0,0,-2,G#/A♭ Major,4,2UREu1Y8CO4jXkbvqAtP7g,USAT20901851,no
58,"The Light","Disturbed",160,2B,97,2016-09-27,04:16,61,"metal, nu metal, alternative metal, rap metal, hard rock","Immortalized",2015-08-14,51,0,0,65,0,10,-4,F#/G♭ Major,4,1MTELuKDa4b8VOHF97ffuY,USRE11500174,no
59,"Lightning Crashes","Live",82,1B,43,2016-10-07,05:24,47,"post-grunge, grunge","Awake The Best Of Live",2004-01-01,37,27,0,46,0,10,-9,B Major,4,2VFRnfx3nzHdeSrFhtq9Jj,USRR29442180,no
60,"Off The Ground","The Record Company",92,9B,70,2016-10-13,04:13,59,"blues rock, modern blues, blues","Give It Back To You",2016-01-01,54,60,22,85,0,30,-5,G Major,4,3xRzUblYGZhVs52fMjii7R,USC4R1504254,no
61,"In Chains","Shaman's Harvest",142,10A,73,2016-10-13,04:09,0,"","Smokin' Hearts & Broken Guns",2014-09-12,46,0,0,26,0,20,-5,B Minor,4,4PX6YOc2ysHxiBqwNNca2F,NLB931400409,no
62,"Falling Apart","Papa Roach",110,2A,94,2016-11-03,03:08,1,"nu metal, rap metal, alternative metal, rap rock, rock","F.E.A.R.",2015-01-27,53,0,0,42,0,30,-3,D#/E♭ Minor,4,1Ka4sX789wNftDGgjCO2h7,USDPK1400253,no
63,"My Name Is Human","Highly Suspect",140,7A,73,2016-11-03,04:18,27,"post-grunge","My Name Is Human",2016-09-07,52,0,0,17,0,0,-6,D Minor,4,3VYgUNGdcQwfjDukoYkFWf,QMCE31600719,yes
64,"Bloodfeather","Highly Suspect",98,8A,79,2016-11-03,03:54,57,"post-grunge","Mister Asylum",2015-07-17,55,0,0,40,0,10,-6,A Minor,4,66Avcq6c51vcMGXLzHH5d7,QMCE31500246,yes
65,"Blank Space","I Prevail",194,10A,86,2016-11-12,04:00,0,"metalcore, metal","Blank Space",2015-03-17,44,0,0,23,0,10,-5,B Minor,4,0pQUfZl5GTLhqZWyv3okod,TCACC1437531,no
66,"Here's To The Heartache","NOTHING MORE",83,7B,92,2016-11-15,04:17,0,"","Nothing More",2014-06-23,17,0,0,31,10,40,-5,F Major,3,144VTMTXicEwTOJQPcrpAF,USDPK1400008,no
67,"Ohio","Blackfoot",144,12A,69,2016-12-01,03:39,16,"southern rock, country rock, native american music","Southern Native",2016-08-05,49,1,0,58,0,10,-5,C♯/D♭ Minor,4,2JKmlzo8s8rtfF3nn7N8BZ,QMFHE1600128,no
68,"Cradle To The Grave","Alter Bridge",161,11A,86,2016-12-02,05:40,32,"post-grunge, alternative metal, hard rock","The Last Hero",2016-10-07,32,0,0,29,0,10,-5,F#/G♭ Minor,4,5f2KE1PrTIhURCyR5cVTkf,ATN261669106,no
69,"Crows On A Wire","Alter Bridge",93,4B,97,2016-12-02,04:26,29,"post-grunge, alternative metal, hard rock","The Last Hero",2016-10-07,43,0,0,26,0,0,-4,G#/A♭ Major,4,1qpvZdfVgKqZC5SbnLdSMH,ATN261669110,no
70,"Island Of Fools","Alter Bridge",108,5B,95,2016-12-02,05:00,30,"post-grunge, alternative metal, hard rock","The Last Hero",2016-10-07,24,0,0,18,10,10,-5,D#/E♭ Major,3,3PwKYa2i1d4rQ0eZUhKQzj,ATN261669112,no
71,"Swear","You Me At Six",139,10B,91,2017-01-26,02:45,0,"pop punk","Night People",2017-01-06,65,0,0,21,0,10,-3,D Major,4,1BXS6AJrdDTBgf3QzXHCxU,GB5KW1601601,no
