#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"A Wink and a Smile","Harry Connick, Jr.",112,9B,20,2024-10-04,02:46,54,"christmas, big band, vocal jazz, adult standards","Sleepless In Seattle: Original Motion Picture Soundtrack",1993-06-14,73,88,0,52,0,0,-14,G Major,4,5XMJBKj01EU7asjQCAlYhu,USSM19303766,no
2,"I've Got You Under My Skin","Mark Tremonti",135,3B,41,2024-10-04,03:32,0,"","Mark Tremonti Sings Frank Sinatra",2022-05-27,47,69,0,51,0,20,-8,C♯/D♭ Major,4,0CqTH3Iu1MS1MjTUkXz1Ll,QMEU32123757,no
3,"Fly Me To The Moon","Mark Tremonti",125,8B,39,2024-10-04,02:22,0,"","Mark Tremonti Sings Frank Sinatra",2022-05-27,54,53,0,42,0,0,-9,C Major,4,5HH3AlbUXUtS9VRErlPUZ3,QMEU32123758,no
4,"Everlong (Jazz Standard)","Anthony Vincent",133,10A,40,2024-10-04,04:57,0,"","Reimagined Volume 1",2021-05-12,29,70,0,17,0,10,-9,B Minor,4,3EB5blFpS7cMHoKCyi5u5a,QZHN72144643,no
5,"Luck Be A Lady","Mark Tremonti",165,4B,52,2024-10-04,04:47,0,"","Mark Tremonti Sings Frank Sinatra",2022-05-27,39,67,0,59,0,10,-7,G#/A♭ Major,4,7l1YBkyYOUu0zfI0LxSUbm,QMEU32123766,no
6,"You Make Me Feel So Young","Mark Tremonti",128,4B,46,2024-10-04,02:59,0,"","Mark Tremonti Sings Frank Sinatra",2022-05-27,44,53,0,56,0,30,-8,G#/A♭ Major,4,6GKDTnpRgzyJ21hWKWopL4,QMEU32123761,no
7,"Hit the Road Jack (feat. Sharlotte Gibson)","Steve Tyrell,Sharlotte Gibson",73,7B,41,2024-10-04,03:05,5,"vocal jazz, jazz pop, neo soul","Shades of Ray: The Songs of Ray Charles",2021-09-24,66,55,0,52,0,0,-12,F Major,4,2LisrNT1sJ7YDeAh1iVC1g,USWB12101919,no
8,"What a Wonderful World","Chris Standring,Kathrin Shorr",179,4B,16,2024-10-04,04:47,5,"smooth jazz, cool jazz, jazz, jazz funk","Wonderful World",2021-09-03,27,87,0,12,0,10,-14,G#/A♭ Major,3,3tYxZAjp43aDp7EVF9JFWN,USLB91800139,no
9,"Georgia on My Mind","Steve Tyrell",103,9B,25,2024-10-04,03:32,7,"vocal jazz, jazz pop","Shades of Ray: The Songs of Ray Charles",2021-09-24,47,89,0,28,0,0,-13,G Major,3,0QWgfVx4ByS7upJUhEZ7Nr,USWB12101924,no
10,"The Way You Look Tonight","Osmond Chapman Orchestra",100,4A,70,2024-10-04,03:58,0,"vocal jazz, big band","There's More Where That Came From",2021-06-04,51,49,0,52,0,10,-6,F Minor,4,7GK5abSQhCsP4NaR8OH5HV,QZJ9L2100011,no
11,"Apart Together (Live at Trackdown Studio)","Tim Minchin",170,9B,42,2024-10-04,04:20,10,"comedy","Apart Together (Live at Trackdown Studio)",2023-11-17,39,86,0,20,0,80,-9,G Major,3,6TQG2jLYfnabAkjtNXb1WD,AUOXM2300504,no
12,"The Absence of You (Live at Trackdown Studio)","Tim Minchin",144,8B,29,2024-10-04,04:37,13,"comedy","Apart Together (Live at Trackdown Studio)",2023-11-17,40,57,0,18,0,60,-9,C Major,3,6JUXulmPkmrslEgn1g7ryE,AUOXM2300506,no
13,"Let Them Talk","Hugh Laurie",147,8B,42,2024-10-04,04:10,33,"blues, comedy","Let Them Talk",2011-04-18,39,87,0,20,0,10,-7,C Major,3,5CaADHIi7ksj6XN4dAKWCF,GBAHT1100024,no
14,"St James Infirmary","Hugh Laurie",107,9A,46,2024-10-04,06:25,46,"blues, comedy","Let Them Talk",2011-04-18,56,83,8,13,0,10,-9,E Minor,4,4eAlHTYUZvllH2dE2juVQZ,GBAHT1100010,no
15,"Come Together","Tony DeSare,Frankie Moreno",73,7B,51,2024-10-04,03:31,1,"vocal jazz, blues rock","Come Together",2024-03-08,64,12,0,48,0,10,-7,F Major,4,66wMSIKyC5jJ4KSQUtrKIq,TCAHX2446992,no
16,"It Had to Be You (Big Band and Vocals)","Harry Connick, Jr.",126,7B,28,2024-10-04,02:38,53,"christmas, big band, vocal jazz, adult standards","When Harry Met Sally... Music From The Motion Picture",1989-07-25,54,68,0,41,0,10,-13,F Major,4,58Znl2X9CgsghGUZrkEUr4,USSM18900491,no
17,"I And Love And You","The Avett Brothers",140,10B,26,2024-10-20,05:00,62,"indie folk, folk, newgrass, americana, bluegrass, alt country, folk rock","I And Love And You",2009-01-01,42,83,0,17,0,0,-10,D Major,4,7CEV9VwA8XO9wwxTXgYKvY,USSM10903395,no
