#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Real Good Thing","Newsboys",106,8B,90,2016-08-21,02:53,23,"christian, ccm, christian rock, worship, christian alternative rock, christian pop, pop worship","Going Public",1994-01-01,60,7,2,88,0,10,-9,C Major,4,7k8EF1PHZn7xj2JyIo6unq,USCM19413186,no
2,"Shine","Newsboys",103,9B,72,2016-08-21,03:42,40,"christian, ccm, christian rock, worship, christian alternative rock, christian pop, pop worship","Going Public",1994-01-01,64,0,0,39,0,0,-9,G Major,4,7DxZau0b66RBmWmpFZeliK,USCM19413183,no
3,"Going Public","Newsboys",120,7A,85,2016-08-21,03:30,22,"christian, ccm, christian rock, worship, christian alternative rock, christian pop, pop worship","Going Public",1994-01-01,63,6,0,74,0,30,-8,D Minor,4,08d9ZScx36tDMGLiWqp06r,USCM19419269,no
4,"Truth And Consequences","Newsboys",118,6A,85,2016-08-21,02:58,21,"christian, ccm, christian rock, worship, christian alternative rock, christian pop, pop worship","Going Public",1994-01-01,73,6,3,67,0,20,-8,G Minor,4,2voZhM3yZw0NVDpfFPjqhH,USCM19419273,no
5,"I'm Not Ashamed","Newsboys",118,8A,83,2016-08-21,03:52,32,"christian, ccm, christian rock, worship, christian alternative rock, christian pop, pop worship","Not Ashamed",1992-01-01,62,1,0,87,0,30,-9,A Minor,4,68p5dly6LQX5HAvC0FTsm5,USCM19213688,no
6,"Take Me To Your Leader","Newsboys",185,10B,87,2016-08-21,02:58,39,"christian, ccm, christian rock, worship, christian alternative rock, christian pop, pop worship","Take Me To Your Leader",1996-01-01,42,2,0,80,0,10,-6,D Major,4,4RHsQ5GU8r4UZmz4yXp50C,USCM19613184,no
7,"Breakfast","Newsboys",202,11B,90,2016-08-21,03:40,46,"christian, ccm, christian rock, worship, christian alternative rock, christian pop, pop worship","Take Me To Your Leader",1996-01-01,44,5,0,52,0,90,-5,A Major,4,2vLxjS0U2CuaqxEossXLDS,USCM19613928,no
8,"Cup O' Tea","Newsboys",136,10B,90,2016-08-21,02:40,25,"christian, ccm, christian rock, worship, christian alternative rock, christian pop, pop worship","Take Me To Your Leader",1996-01-01,54,0,0,40,10,0,-4,D Major,4,1OLfR0nVzyALNuFls69xB7,USSP39616331,no
9,"Lost The Plot","Newsboys",75,9A,72,2016-08-21,04:56,27,"christian, ccm, christian rock, worship, christian alternative rock, christian pop, pop worship","Take Me To Your Leader",1996-01-01,17,0,16,11,0,20,-6,E Minor,3,1UCKjC25IasMNsV7YelIU6,USCM19619724,no
10,"Entertaining Angels","Newsboys",172,10B,82,2016-08-21,04:18,13,"christian, ccm, christian rock, worship, christian alternative rock, christian pop, pop worship","Entertaining Angels",1998-01-01,41,24,0,64,0,10,-7,D Major,4,2tJhS6i6ZGo0LBETGmzgEk,USCM19810003,no
