#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Streets of Minneapolis - Radio Mix","Bruce Springsteen",110,10B,80,2026-02-09,04:30,56,"","Streets of Minneapolis (Radio Mix)",2026-01-28,61,14,0,77,0,60,-3,D Major,4,6AtgHxdvghUjcjdPX1VhWN,USSM12600334,no
2,"Have You Ever Seen The Rain","Creedence Clearwater Revival",116,8B,70,2026-01-27,02:40,90,"classic rock, southern rock, country rock","Pendulum (Expanded Edition)",1970-12-07,74,7,0,77,0,10,-7,C Major,4,2LawezPeJhN4AWuSB0GtAU,USC4R0817643,no
3,"Fortunate Son","Creedence Clearwater Revival",133,8B,66,2026-01-27,02:20,88,"classic rock, southern rock, country rock","Willy And The Poor Boys (Expanded Edition)",1969-11-02,64,20,1,66,0,10,-8,C Major,4,4BP3uh0hFLFRb5cjsgLqDh,USC4R0817618,no
4,"American Idiot","Green Day",186,3B,99,2026-01-27,02:56,86,"punk, pop punk","American Idiot",2004-09-21,38,0,0,77,0,30,-2,C♯/D♭ Major,4,6nTiIhLmQ3FWhvrGafw2zj,USRE10400888,yes
5,"Good Riddance (Time of Your Life)","Green Day",95,9B,43,2026-01-27,02:33,83,"punk, pop punk","Nimrod",1997-10-14,48,18,0,65,0,10,-8,G Major,4,6ORqU0bHbVCRjXm9AjyHyZ,USRE19700545,yes
6,"Ohio","Crosby, Stills, Nash & Young",79,8B,53,2026-01-27,03:03,68,"folk rock, classic rock","So Far",1974-08-19,44,26,2,75,0,10,-11,C Major,4,0ToHhkK4qtwEyKOxhQpMbJ,USAT20901916,no
7,"War","Edwin Starr",109,3B,75,2026-01-27,03:50,59,"northern soul, motown, classic soul","20th Century Masters: The Millennium Collection: Best of Edwin Starr",2001-01-01,57,5,0,72,10,10,-9,C♯/D♭ Major,4,4BpPvEi38kvfLKA1qBBX5J,USMO10111226,no
8,"Masters of War","Bob Dylan",166,7B,27,2026-01-27,04:38,56,"folk rock, folk, singer-songwriter, roots rock","The Freewheelin' Bob Dylan",1963-05-27,56,61,0,69,0,10,-16,F Major,3,7xVpkVkd1klTzLJEysIR7z,USSM16300212,no
9,"Sympathy For The Devil - 50th Anniversary Edition","The Rolling Stones",116,11B,67,2026-01-27,06:18,78,"classic rock, rock","Beggars Banquet (50th Anniversary Edition)",1968-12-06,70,52,0,56,20,0,-9,A Major,4,1Ud6moTC0KyXMq1Oxfien0,USA171810010,no
10,"For What It's Worth","Buffalo Springfield",99,10B,52,2026-01-27,02:33,83,"folk rock, country rock","Buffalo Springfield",1966-12-05,65,41,2,82,0,10,-10,D Major,4,1qRA5BS78u3gME0loMl9AA,USEE10170607,no
11,"Holiday","Green Day",147,4B,89,2026-01-27,03:52,66,"punk, pop punk","Greatest Hits: God's Favorite Band",2017-11-17,55,0,0,72,0,80,-3,G#/A♭ Major,4,4VgEM12OeaN3GyBV487Me7,USRE10400984,no
12,"War Pigs","Black Sabbath",91,11B,61,2026-01-27,07:54,66,"metal, heavy metal, rock, stoner rock, doom metal, hard rock","The Ultimate Collection",2017-02-03,46,12,1,50,0,10,-12,A Major,4,0HVQuuXGAcQ2P5mBN521ae,GBAJE7000063,no
13,"Sunday Bloody Sunday","U2",100,2B,98,2026-01-27,04:39,49,"rock","U218 Singles",2006-01-01,54,42,0,78,0,0,-3,F#/G♭ Major,4,6Pztn1vmTohZrFICkaDOEa,GBAAN8300034,no
14,"War Isn't Murder","Jesse Welles",138,5B,30,2026-01-27,03:15,55,"folk punk, folk","Hells Welles",2024-07-04,65,82,0,87,0,10,-12,D#/E♭ Major,4,0q1FeGOHG0q6OtAhyNRnEb,QZK6K2419014,no
15,"Join Ice","Jesse Welles",80,10B,44,2026-01-27,02:50,50,"folk punk, folk","No Kings",2025-10-17,72,76,0,84,0,0,-7,D Major,3,19vif5x0vGqHgc3GEirUqN,QM24S2506092,no
16,"Gimme Shelter","The Rolling Stones",119,12A,63,2026-02-11,04:30,81,"classic rock, rock","Let It Bleed",1969-12-05,63,45,4,49,0,10,-8,C♯/D♭ Minor,4,6H3kDe7CGoWYBabAeVWGiD,USA176910020,no
