#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Civilian","Wye Oak",91,1A,70,2018-01-23,03:40,0,"","Civilian",2011-03-08,39,0,22,41,0,10,-7,G#/A♭ Minor,4,7630alXL5HfQAHQhBam5pJ,USMRG1140005,no
2,"Year Of The Tiger","Myles Kennedy",84,8A,93,2018-01-23,03:40,0,"","Year Of The Tiger",2017-12-08,47,0,0,43,0,10,-5,A Minor,4,68m2GGKqxxQJdIGtwDaOJz,ATN261877001,no
3,"Haunted By Design","Myles Kennedy",98,1B,76,2018-01-23,03:39,0,"","Haunted By Design",2018-01-19,55,25,1,50,0,10,-8,B Major,4,1ILMvGomOwPoOiTTuPjHx8,ATN261877007,no
4,"Tomorrow Is a Long Time - Witmark Demo - 1962","Bob Dylan",90,12B,14,2018-01-23,03:44,41,"folk rock, folk, singer-songwriter, roots rock","The Witmark Demos: 1962-1964 (The Bootleg Series Vol. 9)",1963-01-04,40,89,0,51,0,10,-18,E Major,4,1albHYDB48jL8MuV75ffPA,USSM11003275,no
5,"Be Gone Dull Cage - Walker Version","Kiev",80,8A,56,2018-01-23,06:21,24,"","Be Gone Dull Cage (Walker Version)",2014-10-27,57,26,87,48,0,0,-8,A Minor,4,4apRpkXLJSt8vTUvYlMubM,USUG11401745,no
6,"Serpents (Basement)","Sharon Van Etten",112,8A,47,2018-01-23,04:08,41,"","The Walking Dead: AMC Original Soundtrack, Vol. 2",2014-03-25,30,67,0,17,0,10,-6,A Minor,4,1D5KBb3SBMcZs9J8a1Txbr,USUG11300865,no
7,"Warm Shadow","Fink",101,9A,56,2018-01-23,05:46,30,"indie folk","Perfect Darkness",2011-07-19,74,64,25,28,0,10,-11,E Minor,3,1XV2VQONu1GG8Dlaqmqo2R,GBCFB1102105,no
8,"Hold On","Tom Waits",150,10B,25,2018-01-23,05:33,53,"singer-songwriter, southern gothic","Mule Variations (Remastered)",1999-04-27,45,88,0,65,0,20,-14,D Major,4,3GlYv2EDC7EBoslv2dOE0G,USEP41718067,no
9,"Nobody's Fault But Mine","Blind Willie Johnson",167,6A,31,2018-01-23,03:11,0,"blues, classic blues, country blues","The Roots of Led Zeppelin",2008-01-01,56,98,0,48,0,10,-12,G Minor,4,1wDWUgCVsEAMiwqfqO2m9A,USA560743549,no
10,"Be Good","Emily Kinney",78,11B,42,2018-01-23,02:59,35,"","Expired Love",2014-03-18,68,56,1,26,0,10,-9,A Major,4,5CrGX8ac1C5XPeF0hfOpAs,US5X61400095,no
11,"Be Not So Fearful","A.C. Newman",80,1B,27,2018-01-23,02:18,35,"power pop","The Walking Dead: AMC Original Soundtrack, Vol. 2",2014-03-25,62,89,0,29,0,10,-11,B Major,4,7i4JaIRKhEwWdepqfpNqEy,USMTD1404790,no
12,"Noisy Sunday","Patrick Watson",78,7B,19,2018-01-23,04:01,1,"","Adventures In Your Own Backyard",2012-05-01,24,95,17,12,0,10,-15,F Major,4,61RHPvhvC4O31uDXhy6IdE,CA0RZ1200020,no
13,"Smoke","Tara Terra",171,3B,64,2018-01-23,03:44,2,"","Daughter",2014-08-30,25,1,0,61,0,10,-8,C♯/D♭ Major,4,43Q5ViomNNdhwnKuVbTFNI,QMPKX1470875,no
14,"Feral Heart","Tara Terra",128,10B,64,2018-01-23,03:42,1,"","Where's Your Light?",2017-05-31,62,1,0,34,0,10,-6,D Major,4,3CK6CjjrmPTJu5bq4tCrS4,QM99V1615801,no
15,"Don't Call Me Darlin'","Tara Terra",99,5A,49,2018-01-23,04:08,3,"","Daughter",2014-08-30,46,48,0,39,0,10,-8,C Minor,4,6CZF5e3hfksGUFNLVsWBcs,QMPKX1470879,no
16,"Bad Blood - From The Walking Dead","Alison Mosshart,Eric Arjes",119,3A,41,2018-01-23,03:37,34,"southern gothic","Bad Blood (From The Walking Dead)",2014-11-10,43,24,21,14,0,10,-9,A#/B♭ Minor,4,1y6gIO75NlJsNh5iUwjniI,QMLST1400301,no
17,"Lead Me Home - The Walking Dead Soundtrack","Jamie N Commons",67,11A,28,2018-01-23,01:57,53,"southern gothic","The Walking Dead (AMC’s Original Soundtrack – Vol. 1)",2013-01-01,42,78,0,19,0,10,-11,F#/G♭ Minor,3,2DBFAJgsqhYk5Z1AF7tAMH,USUM71300667,no
18,"The Regulator","Clutch",90,9B,71,2018-01-23,05:25,48,"stoner rock, stoner metal, sludge metal","Blast Tyrant (Deluxe Edition)",2011-05-10,57,12,0,21,0,10,-6,G Major,4,0ni8h8HAJNFwuL9cMWR9XN,USPAM1100201,no
19,"Blackbird Song - From  The Walking Dead ","Lee DeWyze",74,8A,27,2018-01-23,04:14,45,"","Blackbird Song",2014-01-01,29,43,63,19,0,10,-10,A Minor,4,41FUDbrnvoc7RH0APur9jy,USVG21403526,no
20,"Weeds or Wildflowers","Parsonsfield",130,1B,81,2018-01-23,02:51,0,"folk pop","Poor Old Shine",2014-03-18,70,60,0,75,10,10,-4,B Major,4,48bskdBoz8aLOMAByH2UNO,USFMT1405901,no
21,"This Year","The Mountain Goats",139,11B,72,2018-01-23,03:52,0,"folk punk, anti-folk, indie folk","The Sunset Tree",2005-05-02,70,12,0,83,0,0,-9,A Major,4,2M1Qc1mGSI1IYtmJzQtfPq,GBAFL0400071,no
22,"No Children","The Mountain Goats",85,3B,41,2018-01-23,02:48,0,"folk punk, anti-folk, indie folk","Tallahassee",2002-00-00,61,60,0,41,0,10,-8,C♯/D♭ Major,4,4XpQ2F8NtzWMZ3g5t8qv2Y,GBAFL0101077,no
23,"Up the Wolves","The Mountain Goats",158,10B,37,2018-01-23,03:27,0,"folk punk, anti-folk, indie folk","The Sunset Tree",2005-05-02,49,49,0,48,0,0,-9,D Major,4,41LUI2mXScZDjIZWmvvWpR,GBAFL0400075,no
24,"The Best Ever Death Metal Band in Denton","The Mountain Goats",62,10B,64,2018-01-23,02:36,0,"folk punk, anti-folk, indie folk","All Hail West Texas (Remastered)",2002-00-00,38,76,1,78,0,30,-8,D Major,4,38dYh2pToiZPEKGVErVISk,USMRG1348101,no
25,"Rain in Soho","The Mountain Goats",128,11A,80,2018-01-23,04:46,0,"folk punk, anti-folk, indie folk","Goths",2017-05-19,63,33,84,43,0,10,-9,F#/G♭ Minor,4,3zmDm22r3qPLX9K91sagh2,USMRG1757901,no
26,"Space Junk","Wang Chung",95,9B,50,2018-01-23,04:00,57,"synthpop, new wave","Everybody Wang Chung Tonight... Wang Chung's Greatest Hits",2011-01-01,79,5,27,73,0,0,-13,G Major,4,2k84PL3GEmFR9BTJGshjxu,USGF19712202,no
27,"Oats In The Water","Ben Howard",130,7A,47,2018-01-23,04:59,63,"indie folk, folk pop","The Burgh Island EP",2012-01-01,36,27,30,9,0,10,-9,D Minor,4,4dr5sJ1p6mdNpK3fIUz8vR,GBUM71206832,no
28,"The Last Pale Light In the West","Ben Nichols",126,9B,47,2018-01-23,02:48,0,"alt country, southern gothic","The Last Pale Light In the West",2009-01-20,45,77,1,12,0,0,-8,G Major,4,3WkQohuXZc2uwpiGXFjjWE,USEF70800056,no
29,"Arsonist's Lullabye","Hozier",65,11A,37,2018-01-23,04:26,56,"","From Eden EP",2014-03-09,46,67,7,18,0,10,-11,F#/G♭ Minor,4,1UWhx0pFZccP4jdCIZsj7U,USSM11401476,no
30,"The Parting Glass - The Walking Dead Soundtrack","Emily Kinney,Lauren Cohan",85,12A,8,2018-01-24,02:57,36,"","The Walking Dead (AMC’s Original Soundtrack – Vol. 1)",2013-01-01,25,65,0,3,0,10,-12,C♯/D♭ Minor,4,0TBV5HrrcewX7exfZDiiAw,USUM71212655,no
31,"Last Man Standing","People In Planes",94,6A,91,2018-01-24,04:26,37,"","Beyond the Horizon",2008-09-09,36,11,0,26,0,10,-6,G Minor,4,1BoJEC8Tjs4DxoEGuT8UBf,USWU30800031,no
32,"I’m A Man","Black Strobe",130,10A,78,2018-01-24,04:35,0,"electroclash","Burn Your Own Church",2007-06-05,73,0,76,82,10,0,-8,B Minor,4,3JVI710efRiB7comD33vD1,GBBKU0700015,no
33,"The Preacher","Jamie N Commons",142,4A,44,2018-01-24,03:40,36,"southern gothic","Rumble And Sway EP",2013-01-01,46,23,0,31,0,10,-8,F Minor,3,5fQ8zHRjtlN9Unfiaz4OQf,USUM71301205,no
34,"God's Gonna Cut You Down","Johnny Cash",82,4A,49,2018-11-29,02:38,2,"classic country, outlaw country, country","American V: A Hundred Highways",2006-01-01,62,87,0,85,10,10,-8,F Minor,4,6RFkVsPmrM4pzlDkFswwJl,USUM70603342,no
35,"Ain't No Grave","Johnny Cash",80,8A,35,2018-01-24,02:53,66,"classic country, outlaw country, country","American VI: Ain't No Grave",2010-01-01,52,89,0,39,0,0,-11,A Minor,4,1xADYlM5rjnbJvAW2tc0qF,USUM70923946,no
36,"Gun In My Hand","Dorothy",80,10B,60,2018-01-24,03:20,55,"southern gothic","ROCKISDEAD",2016-06-24,37,2,0,43,0,10,-6,D Major,4,52gbcP8Uumg34r2hxv24n1,QMJMT1400575,no
37,"There's Nothing Holdin' Me Back - Acoustic","Shawn Mendes",122,10A,58,2018-08-27,03:21,59,"","There's Nothing Holdin' Me Back (Acoustic)",2017-07-07,78,48,0,89,0,10,-6,B Minor,4,48lm2sNdS1rlteMIwLyhJF,USUM71705516,no
38,"Hurt","Johnny Cash",90,8A,39,2018-11-29,03:36,77,"classic country, outlaw country, country","American IV: The Man Comes Around",2002-01-01,53,65,0,16,0,0,-8,A Minor,4,28cnXtME493VX9NOw9cIUh,USDJ20200650,no
39,"God's Gonna Cut You Down","Johnny Cash",82,4A,49,2018-11-29,02:38,2,"classic country, outlaw country, country","American V: A Hundred Highways",2006-01-01,62,87,0,85,10,10,-8,F Minor,4,6RFkVsPmrM4pzlDkFswwJl,USUM70603342,no
40,"Black Eyes","Bradley Cooper",150,10A,94,2018-11-30,03:03,46,"","A Star Is Born Soundtrack (Without Dialogue)",2018-10-05,37,0,0,46,0,80,-2,B Minor,4,7qrJKTyxjWDBpVofIYydTk,USUM71813183,no
41,"It Will Follow the Rain","The Tallest Man On Earth",113,2A,41,2019-06-03,03:24,0,"indie folk, folk","The Tallest Man On Earth",2006-00-00,61,84,0,30,0,10,-7,D#/E♭ Minor,4,4UDlzn91reG6CnWi5s9WTi,USJ5G1093101,no
