#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Everywhere, Everything (with Gracie Abrams)","Noah Kahan,Gracie Abrams",180,1B,36,2026-01-23,04:17,79,"","Stick Season (Forever)",2024-02-09,30,54,0,28,0,10,-10,B Major,3,745JbQYxoYIegHzHTUxETp,USUM72317571,no
2,"Maine","Noah Kahan",175,2B,24,2026-01-23,03:52,81,"","Cape Elizabeth",2020-05-01,53,73,0,27,0,20,-10,F#/G♭ Major,4,3Z2anmIVG8b1GelyeFQdnP,USUM72009076,no
3,"Jersey Giant","Evan Honer,Julia DiGrazia",88,4B,33,2026-01-23,04:16,76,"","Jersey Giant",2022-12-16,58,44,0,77,0,10,-11,G#/A♭ Major,4,3hEkAosl2ZuO9FltxY5L1R,QZTB42256705,no
4,"Growing Sideways","Noah Kahan",178,9B,29,2026-01-23,04:15,71,"","Stick Season",2022-10-14,52,74,0,56,0,10,-9,G Major,4,1JcIXOir94YUYBt2cXTzn2,USUM72217176,yes
5,"Paul Revere","Noah Kahan",108,10B,38,2026-01-23,03:33,73,"","Stick Season (We'll All Be Here Forever)",2023-06-09,71,59,0,49,0,10,-10,D Major,4,1dHtMSJ1Ozg2Ja6GX4McAO,USUM72307685,no
6,"The Other Side","Michael Marcagi",124,12B,47,2026-01-23,02:44,74,"","The Other Side",2023-12-11,70,30,0,31,0,10,-10,E Major,4,7hVZJGsh5fxFtwaqgJq1nf,QZAKB2361793,no
7,"lacy","Olivia Rodrigo",78,5B,37,2026-01-23,02:57,82,"","GUTS",2023-09-08,40,82,0,43,0,10,-8,D#/E♭ Major,4,6QT6j7rKt7Vk3IuV2AUO9W,USUG12304095,no
8,"The Cave","Mumford & Sons",142,12B,49,2026-01-23,03:37,74,"folk, indie folk, folk rock","Sigh No More",2009-10-02,58,6,0,34,0,0,-9,E Major,4,1JlssWnwFUiEzuSqw4H1V1,GBUM70909075,no
9,"Cleopatra","The Lumineers",151,4B,78,2026-01-23,03:21,76,"folk pop, indie folk","Cleopatra",2016-04-08,54,23,0,49,0,0,-7,G#/A♭ Major,4,2AXY5WABx7NjWw1zb4qCdc,USDMG1673803,no
10,"Vagabond","Caamp",142,12B,40,2026-01-23,02:09,73,"indie folk, folk","Caamp",2016-03-08,57,77,1,61,0,0,-12,E Major,4,4mNpNexjoGmhehWvFg4P1k,TCACM1659369,no
11,"Would That I","Hozier",131,7B,53,2026-01-23,04:28,74,"","Wasteland, Baby!",2019-03-01,52,24,1,50,0,10,-6,F Major,4,37zuIvk4KBkAxxLJsxJaHq,USSM11809035,no
12,"Please","Noah Kahan",146,11B,45,2026-01-23,04:12,62,"","Hurt Somebody",2018-01-12,66,14,0,13,0,10,-8,A Major,4,1Su4HXSrbzj02CPBOoVLli,USUM71800057,no
13,"Lake Missoula","Richy Mitch & The Coal Miners",138,10A,25,2026-01-23,01:46,65,"","RMCM",2017-05-17,45,91,23,25,0,10,-13,B Minor,1,4x1dWc1GgAfC04GcTlllax,SEYOK1731712,no
14,"Ends of the Earth","Lord Huron",121,12B,58,2026-01-23,04:44,77,"","Lonesome Dreams (Bonus Track Version)",2012-10-09,55,27,4,41,0,20,-9,E Major,4,0iMt8ZMe2BsNvsF9LFDOAn,US53Q1200031,no
15,"Stick Season","Noah Kahan",118,11B,50,2026-01-23,03:02,88,"","Stick Season",2022-10-14,66,80,0,80,0,10,-7,A Major,4,0mflMxspEfB0VbI1kyLiAv,USUM72212470,no
16,"The Great Divide","Noah Kahan",81,1B,68,2026-02-01,05:17,78,"","The Great Divide",2026-01-30,55,1,0,34,0,10,-5,B Major,4,77zqs8ucHCSk5jh9TYec4b,USUM72600177,yes
17,"Big Black Car","Gregory Alan Isakov",110,5B,19,2026-02-24,03:37,75,"indie folk, folk, folk pop","This Empty Northern Hemisphere",2009-01-01,60,91,0,47,0,10,-16,D#/E♭ Major,4,3Kj2EWpIBnvETsYq4cq0IH,uscgj0988301,no
18,"Here (with Chris Stapleton)","Mumford & Sons,Chris Stapleton",156,6B,58,2026-02-24,03:11,75,"folk, indie folk, folk rock, country, outlaw country","Prizefighter",2026-02-20,55,16,0,45,0,10,-6,A#/B♭ Major,4,5ovPv5nkmtM7fCPvr3OOE6,GBUM72506282,no
19,"Rubber Band Man (with Hozier)","Mumford & Sons,Hozier",104,4A,60,2026-02-24,03:40,57,"folk, indie folk, folk rock, ","Rubber Band Man (with Hozier)",2025-10-24,49,56,0,19,0,20,-5,F Minor,4,5DJ0y9uatNMVRCqLtFxGPR,GBUM72505897,no
20,"The Banjo Song","Mumford & Sons",112,6B,63,2026-02-24,03:49,51,"folk, indie folk, folk rock","The Banjo Song",2026-01-09,65,25,0,34,0,0,-5,A#/B♭ Major,4,7AQiFyoymWq9CUF3aRo64c,GBUM72506283,no
