#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Song for Us","Big Something",156,3B,93,2026-05-17,06:41,39,"jam band","Tumbleweed",2017-02-24,30,7,1,71,0,20,-4,C♯/D♭ Major,4,57lOagpbrS9oL3pHcXQONR,ushm91640625,no
2,"Passerby","Ripe",112,9B,63,2026-05-17,04:02,45,"","Joy in the Wild Unknown",2018-04-06,68,8,0,59,0,0,-6,G Major,4,20H4W2B60xSQF2R1XpIg54,TCADJ1742087,no
3,"Follow Through","Ripe",99,7A,77,2026-05-17,04:39,32,"","Joy in the Wild Unknown",2018-04-06,77,41,0,78,0,0,-5,D Minor,4,1ocL5z4kNcS3bOLv304MYF,TCADJ1742002,no
4,"Flying Horses","DISPATCH",112,9A,74,2026-05-17,05:23,50,"jam band","Silent Steeples",1996-08-19,47,5,0,64,0,0,-6,E Minor,4,5bO5xc5BHe1aTsaqyRZLNU,US4QB0400019,no
5,"Roll if ya Fall","Barefoot Truth",113,1B,75,2026-05-17,04:27,37,"jam band, surf rock","Changes in the Weather",2005-01-01,77,59,0,80,10,20,-8,B Major,4,6HcYqggeXlxiT9uVLw0Kpl,uscgh0639037,no
6,"Syncopated Healing","Twiddle",103,5A,81,2026-05-17,04:38,52,"jam band, funk rock","Plump (Chapters 1 & 2)",2017-04-28,42,60,0,84,0,0,-5,C Minor,4,7wY92RilZka5FCdSvoyOtC,QMEU31517110,no
7,"Amydst the Myst","Twiddle",95,7B,82,2026-05-17,04:30,50,"jam band, funk rock","Plump (Chapters 1 & 2)",2017-04-28,44,31,0,77,0,10,-5,F Major,4,3iSWWKFwqxERTv8YCiWi2V,QMEU31517106,no
8,"Pnuts Song","Big Something",167,11B,82,2026-05-19,06:26,28,"jam band","Truth Serum",2014-11-04,27,7,0,34,0,0,-6,A Major,4,2HP7P6OraZWr8gsMOZVsNp,ushm81494374,no
9,"Charlie Sheen Reaches Out to the Feds","The Mountain Goats",150,3B,61,2026-05-19,03:12,50,"folk punk, anti-folk, indie folk","Charlie Sheen Reaches Out to the Feds",2026-05-13,67,1,29,90,0,0,-13,C♯/D♭ Major,4,4Nx6uVBaesj4bx1tGCWeAz,QM6MZ2683450,no
10,"Horizon","Pigeons Playing Ping Pong",125,12A,76,2026-05-21,09:35,46,"jam band, funk rock","Psychology",2014-07-03,65,0,76,84,0,10,-7,C♯/D♭ Minor,4,6YJNcusdf5adRMqJUaRjLt,ushm21480350,no
