#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Lunatic Fringe","Corey Taylor",90,3A,34,2024-06-11,04:07,38,"","CMFB …Sides",2022-02-25,72,71,0,39,0,10,-9,A#/B♭ Minor,4,5iRYVhTzQLxcrH7gthRJ8t,NLA322100326,no
2,"Burning Down the House","Paramore",106,8B,77,2024-06-11,03:38,58,"pop punk, emo","Burning Down the House",2024-01-31,74,2,1,39,0,10,-6,C Major,4,3pRCHHfwYNVCOjWSrkGNw1,QMB622402601,no
3,"Zombie (Live from the NIVA Save Our Stages Festival)","Miley Cyrus",164,9B,87,2024-06-11,04:50,60,"","Plastic Hearts",2020-11-27,41,0,5,32,0,10,-5,G Major,4,0olaaJrCBTMJJvqPdvNpsx,USRC12003766,no
4,"Rolling In The Deep - Recorded At Spotify Studios NYC","Greta Van Fleet",105,10A,47,2024-06-11,03:57,59,"rock","Spotify Singles",2018-01-24,61,1,0,39,0,10,-10,B Minor,4,2VprRdTmbgyjXnDzHIcfNl,USUM71714153,no
5,"The Sound of Silence","Disturbed",86,11A,28,2024-06-11,04:08,79,"metal, nu metal, alternative metal, rap metal, hard rock","Immortalized",2015-08-14,32,47,0,18,0,10,-9,F#/G♭ Minor,4,1Cj2vqUwlJVG27gJrun92y,USRE11500180,no
6,"Africa","Weezer",92,4B,78,2024-06-11,03:58,59,"alternative rock","Weezer (Teal Album)",2019-01-24,53,21,1,60,0,10,-4,G#/A♭ Major,4,3ZPKocroJIcnHGcnJVlLKD,USAT21802455,no
7,"All Along the Watchtower","Jimi Hendrix",113,4B,81,2024-06-11,03:58,57,"psychedelic rock, classic rock, acid rock, blues rock","Experience Hendrix: The Best Of Jimi Hendrix",1997-09-16,43,0,0,63,0,0,-6,G#/A♭ Major,4,7xdLNxZCtY68x5MAOBEmBq,USQX90900749,no
8,"Turn The Page","Metallica",149,4B,82,2024-06-11,06:06,66,"metal, thrash metal, rock, heavy metal, hard rock","Garage, Inc.",1998-11-24,42,0,1,23,0,0,-4,G#/A♭ Major,4,7HPhrbgMHV5cUskknWA2oo,USEV19800008,no
9,"Nothing Else Matters","Miley Cyrus,WATT,Elton John,Yo-Yo Ma,Robert Trujillo,Chad Smith",143,9A,67,2024-06-11,06:35,51,"classical, chamber music, rap metal, rap rock","Nothing Else Matters",2021-06-22,45,1,0,14,0,10,-5,E Minor,3,43YC4iYmSsYueViJR4dBGA,QMKHM2100037,no
10,"Somebody That I Used to Know","Three Days Grace",120,10A,64,2024-06-11,03:29,59,"post-grunge, rock","Somebody That I Used to Know",2020-07-22,60,0,0,51,0,20,-8,B Minor,4,100lHmeZbp3OvinYgotmVc,USRC12002108,no
11,"Royals","The Struts",170,9B,95,2024-06-11,03:36,0,"glam rock","Royals",2023-08-18,25,10,0,33,0,10,-4,G Major,4,2kRzQJ6CBubjaLBbDIuLra,QZRD92303605,no
12,"Papa Was A Rolling Stone feat. Demi Lovato","Slash,Demi Lovato",118,4B,77,2024-06-11,07:52,37,"hard rock, ","Orgy of the Damned",2024-05-17,63,1,0,71,0,10,-8,G#/A♭ Major,4,6CrfUWMJeXpdFQQdew5OBf,QZWH32400011,no
