#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Only Human","Brielle Marie",96,1B,33,2025-02-11,03:56,0,"","Love Inside My Heart",2016-02-12,55,82,0,38,0,10,-8,B Major,4,1UZEP8ii5EOrg2iqVVcdTM,uscgh1660138,no
2,"Escapism.","RAYE,070 Shake",96,10B,74,2025-02-11,04:32,83,"","My 21st Century Blues",2023-02-03,54,14,0,25,10,0,-5,D Major,4,5mHdCZtVyb4DcJw8799hZp,QMDA62217995,yes
3,"Bad Habits","Ed Sheeran",126,10A,89,2025-02-11,03:50,85,"soft pop","=",2021-10-25,81,5,0,54,0,30,-4,B Minor,4,3rmo8F54jFF8OgYsqTxm5d,GBAHS2100318,no
4,"Oscar Winning Tears.","RAYE",142,4A,42,2025-02-11,03:03,76,"","My 21st Century Blues",2023-02-03,52,45,0,33,10,10,-7,F Minor,3,0iO2iCAjtX0t5duvczNQt6,QMDA62229905,yes
5,"Strangers","Kenya Grace",170,10A,52,2025-02-11,02:52,75,"","The After Taste",2024-03-21,63,70,0,42,0,20,-8,B Minor,4,593knnQN4REEshx8th9zgK,USWB12305048,no
6,"BILLIE EILISH.","Armani White",100,4A,53,2025-02-13,01:39,69,"","Road to CASABLANCO.",2023-05-05,90,14,0,76,20,10,-6,F Minor,4,2tDOCMuKSX9IEo9TJ4pBBk,SGB502248062,yes
7,"greedy","Tate McRae",111,11A,73,2025-02-13,02:11,87,"","greedy",2023-09-15,75,26,0,82,0,10,-3,F#/G♭ Minor,1,3rUGC1vUpkDG9CZFHMur1t,USRC12301932,yes
8,"exes","Tate McRae",137,4A,57,2025-02-13,02:39,82,"","THINK LATER",2023-12-08,82,17,0,61,0,10,-7,F Minor,4,4E63weMCaNZuGPEFMnuEi8,USRC12302756,yes
9,"Nonsense","Sabrina Carpenter",139,4B,70,2025-02-13,02:43,85,"pop","emails i can't send",2022-07-15,74,3,0,73,0,20,-5,G#/A♭ Major,4,6dgUya35uo964z7GZXM07g,USUM72210708,no
10,"Paint The Town Red","Doja Cat",100,7A,56,2025-02-14,03:50,79,"","Scarlet",2023-09-20,86,26,0,73,10,10,-8,D Minor,4,56y1jOTK0XSvJzVv9vHQBK,USRC12300907,yes
11,"Daylight","David Kushner",130,7B,43,2025-02-14,03:32,2,"","The Dichotomy",2024-08-30,51,83,0,31,0,0,-9,F Major,4,2mEMKgLqH3VZaSYO7iYCzp,QZXDB2300005,no
12,"golden hour","JVKE",94,12B,59,2025-02-14,03:29,82,"","this is what ____ feels like (Vol. 1-4)",2022-09-23,52,65,16,15,0,20,-5,E Major,3,5odlY52u43F5BjByhxg7wg,GBKPL2204171,no
13,"Genesis.","RAYE",139,8B,71,2025-02-14,07:00,58,"","Genesis.",2024-06-07,44,37,0,49,10,30,-6,C Major,4,7CJhEUFMNrUWSwcOAqTzPT,QM6N22437181,yes
14,"The Motto","Tiësto,Ava Max",118,6A,76,2025-03-05,02:44,74,"edm, trance, big room, ","The Motto",2021-11-04,75,3,0,46,0,0,-5,G Minor,4,18asYwWugKjjsihZ0YvRxO,CYA112001070,no
