#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Bat Out of Hell","Meat Loaf",172,7B,84,2024-04-13,09:50,61,"","Bat Out Of Hell",1977-10-21,20,28,0,39,0,20,-8,F Major,4,3mCeeoBvTTpg8Xy2Wuvirw,USSM11206824,no
2,"Apart Together (Live at Trackdown Studio)","Tim Minchin",170,9B,42,2024-04-13,04:20,10,"comedy","Apart Together (Live at Trackdown Studio)",2023-11-17,39,86,0,20,0,80,-9,G Major,3,6TQG2jLYfnabAkjtNXb1WD,AUOXM2300504,no
3,"The Absence of You (Live at Trackdown Studio)","Tim Minchin",144,8B,29,2024-04-13,04:37,13,"comedy","Apart Together (Live at Trackdown Studio)",2023-11-17,40,57,0,18,0,60,-9,C Major,3,6JUXulmPkmrslEgn1g7ryE,AUOXM2300506,no
4,"November Rain","Guns N' Roses",80,1B,64,2024-04-13,08:56,86,"rock, glam metal, hard rock, classic rock","Use Your Illusion I",1991-09-17,29,2,22,23,0,10,-9,B Major,4,3YRCqOhFifThpSRFJ1VWFM,USGF19141510,no
5,"Free Bird","Lynyrd Skynyrd",118,8B,83,2024-04-13,09:07,84,"southern rock, classic rock, rock","Pronounced' Leh-'Nerd 'Skin-'Nerd",1973-01-01,25,7,0,34,0,0,-8,C Major,4,5EWPGh7jbTNO2wakv8LjUI,USMC17301722,no
6,"Paradise By the Dashboard Light","Meat Loaf",173,10B,87,2024-04-13,08:29,67,"","Bat Out Of Hell",1977-10-21,33,21,0,49,10,40,-8,D Major,4,2g7gviEeJr6pyxO7G35EWQ,USSM11206829,no
7,"25 - Acoustic","The Pretty Reckless",77,10B,42,2024-04-13,05:12,23,"","Other Worlds",2022-11-04,46,66,0,24,0,10,-5,D Major,4,0dabpXiuLbxH2i2mbdEJ33,US5262224851,no
8,"Jessica","Allman Brothers Band",105,10B,75,2024-04-13,07:30,52,"southern rock, jam band, classic rock, blues rock, country rock","Dreams",1989-06-20,35,37,74,88,0,10,-11,D Major,4,2tVQhBSJ1SQtb4gX0taaiR,USPG19190006,no
9,"Hard To Handle","The Black Crowes",104,12B,79,2024-06-11,03:08,73,"southern rock, jam band, rock","Shake Your Money Maker",1990-02-13,60,0,0,96,0,30,-4,E Major,4,05NYcsjJwOYq4jIiKPVj9p,USSM19000343,no
10,"Saturday Night’s Alright (For Fighting) - Remastered 2014","Elton John",153,8B,98,2024-06-11,04:55,71,"","Goodbye Yellow Brick Road (Remastered)",1973-10-05,51,2,10,94,0,0,-6,C Major,4,12yHvSYFXI7PGzNecUvIDu,GBUM71304966,no
11,"Layla","Derek & The Dominos",116,3B,90,2024-06-11,07:03,79,"blues rock, classic rock","Layla And Other Assorted Love Songs (Remastered 2010)",1970-11-01,40,58,30,50,0,20,-4,C♯/D♭ Major,4,2kkvB3RNRzwjFdGhaUA0tz,GBUM71028890,no
12,"Cold as Ice","Foreigner",131,2A,61,2024-06-11,03:23,77,"aor, classic rock","Foreigner (Expanded)",1977-03-08,56,3,0,51,0,10,-7,D#/E♭ Minor,4,7vidktgNZFQylTgH1GEnMs,USAT29900657,no
13,"Locomotive Breath","Jethro Tull",125,10A,53,2024-06-11,04:26,59,"progressive rock, classic rock, art rock","Aqualung (Special Edition)",1971-03-19,68,42,1,35,0,0,-13,B Minor,4,0MYNeFsKpzBHwrJGfWZysV,GBAYK7100010,no
14,"Hold the Line","TOTO",97,11A,90,2024-06-11,03:55,85,"yacht rock, soft rock","Toto",1978-10-10,47,1,6,81,0,10,-5,F#/G♭ Minor,4,4aVuWgvD0X63hcOCnZtNFA,USSM17800444,no
15,"A Wink and a Smile","Harry Connick, Jr.",112,9B,20,2024-10-03,02:46,54,"christmas, big band, vocal jazz, adult standards","Sleepless In Seattle: Original Motion Picture Soundtrack",1993-06-14,73,88,0,52,0,0,-14,G Major,4,5XMJBKj01EU7asjQCAlYhu,USSM19303766,no
16,"It Had to Be You (Big Band and Vocals)","Harry Connick, Jr.",126,7B,28,2024-10-03,02:38,53,"christmas, big band, vocal jazz, adult standards","When Harry Met Sally... Music From The Motion Picture",1989-07-25,54,68,0,41,0,10,-13,F Major,4,58Znl2X9CgsghGUZrkEUr4,USSM18900491,no
17,"Clocks","Coldplay",131,4A,75,2024-10-03,05:07,88,"","A Rush of Blood to the Head",2002-08-27,58,60,1,26,0,10,-7,F Minor,4,0BCPKOYdS2jbQ8iyB56Zns,GBAYE0200771,no
18,"Mad World","Gary Jules,Michael Andrews",174,5B,6,2024-10-03,03:09,71,"","Trading Snakeoil for Wolftickets",2001-01-01,34,98,0,32,0,10,-17,D#/E♭ Major,4,3JOVTQ5h8HGFnDdp4VT3MP,USHM90699796,no
19,"The Great Gig in the Sky","Pink Floyd",116,7B,22,2024-10-03,04:44,78,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Dark Side of the Moon",1973-03-01,27,77,90,18,0,0,-14,F Major,4,2TjdnqlpwOjhijHCwHCP2d,GBN9Y1100080,no
20,"How to Save a Life","The Fray",122,6B,74,2024-10-03,04:22,85,"","How To Save A Life",2005-09-13,64,27,0,36,0,10,-4,A#/B♭ Major,4,5fVZC9GiM4e8vu99W0Xf6J,USSM10601178,no
21,"Bomb Through the Breeze (Solo Performance)","Hannah Wicklund",144,10A,28,2024-10-03,03:28,4,"modern blues, blues rock","The Inbetween",2020-04-17,62,90,0,18,0,10,-10,B Minor,4,0mDsu8iZHVZQEQK3SQugt1,QZL9S2000001,no
22,"Lose Control - Piano Version","Teddy Swims",160,11B,27,2024-10-03,03:26,66,"","Lose Control (Alt. Versions)",2024-02-29,61,84,0,31,0,0,-5,A Major,3,7b0fpuq2aRMB9RfcSOWjNW,USWB12304857,no
