#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Clocks","Coldplay",131,4A,75,2024-07-24,05:07,88,"","A Rush of Blood to the Head",2002-08-27,58,60,1,26,0,10,-7,F Minor,4,0BCPKOYdS2jbQ8iyB56Zns,GBAYE0200771,no
2,"Yellow","Coldplay",173,1B,66,2024-07-24,04:26,93,"","Parachutes",2000-07-10,43,0,0,28,0,20,-7,B Major,4,3AJwUDP919kvQ9QcozQPxg,GBAYE0000267,no
3,"Something Just Like This","The Chainsmokers,Coldplay",103,10A,64,2024-07-24,04:07,90,"","Memories...Do Not Open",2017-04-07,62,5,0,45,0,10,-7,B Minor,4,6RUKPb4LETWmmr3iAEQktW,USQX91700278,no
4,"Ghost Town","Benson Boone",174,8B,34,2024-07-24,03:13,75,"","Fireworks & Rollerblades",2024-04-05,39,39,0,12,0,10,-10,C Major,3,6HuHyXviAdpmnQu73JHfBz,USWB12103472,no
5,"Eat Your Young","Hozier",90,6A,60,2024-07-24,04:02,65,"","Unreal Unearth",2023-08-18,55,35,7,33,0,20,-6,G Minor,4,2SXx7Ofa79CeJfio98aJcG,USSM12300491,no
6,"Almost (Sweet Music)","Hozier",90,9B,69,2024-07-24,03:37,76,"","Wasteland, Baby!",2019-03-01,52,2,0,71,10,20,-6,G Major,4,5Apvsk0suoivI1H8CmBglv,USSM11806793,no
7,"Flying Horses","DISPATCH",112,9A,74,2024-07-24,05:23,50,"jam band","Silent Steeples",1996-08-19,47,5,0,64,0,0,-6,E Minor,4,5bO5xc5BHe1aTsaqyRZLNU,US4QB0400019,no
8,"New Perspective","Noah Kahan",157,7B,52,2024-07-24,04:16,77,"","Stick Season",2022-10-14,69,27,0,45,0,0,-10,F Major,4,1M39ETXmej4g9EMSeXPUgj,USUM72217171,no
9,"False Confidence","Noah Kahan",109,2B,66,2024-07-24,03:43,76,"","Busyhead",2019-06-14,41,16,0,33,0,10,-8,F#/G♭ Major,4,7nDFTHHwfe32a8qdp9XqPy,USUM71814497,yes
10,"Ophelia","The Lumineers",76,7B,57,2024-07-24,02:40,83,"folk pop, indie folk","Cleopatra",2016-04-08,66,61,0,57,0,0,-7,F Major,4,14AyWf6y7KlWWLfAjdKMKI,USDMG1673802,no
11,"Ho Hey","The Lumineers",80,8B,47,2024-07-24,02:43,86,"folk pop, indie folk","The Lumineers",2012-04-03,69,79,0,35,0,0,-9,C Major,4,0DwClY2t9YAWHBROMIgrXb,USDMG1260805,no
12,"The Night We Met","Lord Huron",87,10B,37,2024-07-24,03:28,7,"","Strange Trails",2015-04-07,55,97,27,10,0,60,-10,D Major,3,0QZ5yyl6B6utIWkxeBDxQN,US53Q1200103,no
13,"Chasing Cars","Snow Patrol",104,11B,60,2024-07-24,04:27,86,"","Eyes Open",2006-01-01,56,20,0,14,0,10,-5,A Major,4,5hnyJvgoWiQUYZttV4wXy6,GBUM70600345,no
14,"Little Talks","Of Monsters and Men",103,3B,76,2024-07-24,04:26,84,"folk pop","My Head Is An Animal",2012-01-01,46,2,0,42,0,10,-5,C♯/D♭ Major,4,2ihCaVdNZmnHZWt0fvAM7B,USUM71119106,no
15,"She Will Be Loved - Radio Mix","Maroon 5",102,5A,66,2024-07-24,04:19,87,"pop","Songs About Jane: 10th Anniversary Edition",2002-00-00,65,23,0,47,0,10,-6,C Minor,4,4llK75pXNWZz6KAho2Gp16,USUM71204501,no
16,"With Or Without You","U2",110,10B,43,2024-07-24,04:55,79,"rock","The Joshua Tree (Super Deluxe)",1987-03-03,54,0,36,11,0,10,-12,D Major,4,6ADSaE87h8Y3lccZlBJdXH,GBUM70709792,no
17,"How to Save a Life","The Fray",122,6B,74,2024-07-24,04:22,85,"","How To Save A Life",2005-09-13,64,27,0,36,0,10,-4,A#/B♭ Major,4,5fVZC9GiM4e8vu99W0Xf6J,USSM10601178,no
18,"Mess Is Mine","Vance Joy",108,9B,72,2024-07-24,03:43,3,"folk pop","Dream Your Life Away (Special Edition)",2014-09-08,60,5,3,27,0,10,-8,G Major,1,29jtZGdgpE2lWm2mkIt6HS,USAT21402865,no
19,"Budapest","George Ezra",128,7B,46,2024-07-24,03:20,86,"","Wanted on Voyage (Expanded Edition)",2014-06-30,72,8,0,39,0,10,-8,F Major,4,2ixsaeFioXJmMgkkbd4uj1,GBARL1400477,no
20,"Hold Back The River","James Bay",135,7B,72,2024-07-24,03:58,58,"","Chaos And The Calm",2015-03-23,72,5,0,51,0,0,-7,F Major,4,7tmtOEDxPN7CWaQWBsG1DY,USUM71413733,no
21,"Cleopatra","The Lumineers",151,4B,78,2024-07-24,03:21,76,"folk pop, indie folk","Cleopatra",2016-04-08,54,23,0,49,0,0,-7,G#/A♭ Major,4,2AXY5WABx7NjWw1zb4qCdc,USDMG1673803,no
22,"The A Team","Ed Sheeran",85,11B,29,2024-07-24,04:18,77,"soft pop","+",2011-09-09,64,67,0,41,0,10,-10,A Major,4,1VdZ0vKfR5jneCmWIUAMxK,GBAHS1100095,no
23,"Breakeven","The Script",94,6B,70,2024-07-24,04:21,85,"","The Script",2008-07-14,63,14,0,49,0,0,-5,A#/B♭ Major,4,285hMzLhJwHVLe9QT9qilk,GBARL0800147,no
