#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Serpents (Basement)","Sharon Van Etten",112,8A,47,2023-01-16,04:08,41,"","The Walking Dead: AMC Original Soundtrack, Vol. 2",2014-03-25,30,67,0,17,0,10,-6,A Minor,4,1D5KBb3SBMcZs9J8a1Txbr,USUG11300865,no
2,"The Regulator","Clutch",90,9B,71,2023-01-16,05:25,48,"stoner rock, stoner metal, sludge metal","Blast Tyrant (Deluxe Edition)",2011-05-10,57,12,0,21,0,10,-6,G Major,4,0ni8h8HAJNFwuL9cMWR9XN,USPAM1100201,no
3,"Civilian","Wye Oak",91,1A,70,2023-01-16,03:40,0,"","Civilian",2011-03-08,39,0,22,41,0,10,-7,G#/A♭ Minor,4,7630alXL5HfQAHQhBam5pJ,USMRG1140005,no
4,"Oats In The Water","Ben Howard",130,7A,47,2023-01-16,04:59,63,"indie folk, folk pop","The Burgh Island EP",2012-01-01,36,27,30,9,0,10,-9,D Minor,4,4dr5sJ1p6mdNpK3fIUz8vR,GBUM71206832,no
5,"Blackbird Song - From  The Walking Dead ","Lee DeWyze",74,8A,27,2023-01-16,04:14,45,"","Blackbird Song",2014-01-01,29,43,63,19,0,10,-10,A Minor,4,41FUDbrnvoc7RH0APur9jy,USVG21403526,no
6,"The Last Pale Light In the West","Ben Nichols",126,9B,47,2023-01-16,02:48,0,"alt country, southern gothic","The Last Pale Light In the West",2009-01-20,45,77,1,12,0,0,-8,G Major,4,3WkQohuXZc2uwpiGXFjjWE,USEF70800056,no
7,"Up the Wolves","The Mountain Goats",158,10B,37,2023-01-16,03:27,0,"folk punk, anti-folk, indie folk","The Sunset Tree",2005-05-02,49,49,0,48,0,0,-9,D Major,4,41LUI2mXScZDjIZWmvvWpR,GBAFL0400075,no
8,"Space Junk","Wang Chung",95,9B,50,2023-01-16,04:00,57,"synthpop, new wave","Everybody Wang Chung Tonight... Wang Chung's Greatest Hits",2011-01-01,79,5,27,73,0,0,-13,G Major,4,2k84PL3GEmFR9BTJGshjxu,USGF19712202,no
9,"Tomorrow Is a Long Time - Witmark Demo - 1962","Bob Dylan",90,12B,14,2023-01-16,03:44,41,"folk rock, folk, singer-songwriter, roots rock","The Witmark Demos: 1962-1964 (The Bootleg Series Vol. 9)",1963-01-04,40,89,0,51,0,10,-18,E Major,4,1albHYDB48jL8MuV75ffPA,USSM11003275,no
10,"Hold On","Tom Waits",150,10B,25,2023-01-16,05:33,53,"singer-songwriter, southern gothic","Mule Variations (Remastered)",1999-04-27,45,88,0,65,0,20,-14,D Major,4,3GlYv2EDC7EBoslv2dOE0G,USEP41718067,no
11,"Lead Me Home - The Walking Dead Soundtrack","Jamie N Commons",67,11A,28,2023-01-16,01:57,53,"southern gothic","The Walking Dead (AMC’s Original Soundtrack – Vol. 1)",2013-01-01,42,78,0,19,0,10,-11,F#/G♭ Minor,3,2DBFAJgsqhYk5Z1AF7tAMH,USUM71300667,no
12,"Warm Shadow","Fink",101,9A,56,2023-01-16,05:46,30,"indie folk","Perfect Darkness",2011-07-19,74,64,25,28,0,10,-11,E Minor,3,1XV2VQONu1GG8Dlaqmqo2R,GBCFB1102105,no
13,"You Are The Wilderness - The Walking Dead Soundtrack","Voxhaul Broadcast",79,10A,77,2023-01-16,05:16,41,"","The Walking Dead (AMC’s Original Soundtrack – Vol. 1)",2013-01-01,46,0,0,27,0,10,-7,B Minor,4,3wGpH9JT9QJOBfMOYjPUra,USUM71300670,no
14,"Be Good","Emily Kinney",78,11B,42,2023-01-16,02:59,35,"","Expired Love",2014-03-18,68,56,1,26,0,10,-9,A Major,4,5CrGX8ac1C5XPeF0hfOpAs,US5X61400095,no
15,"Be Not So Fearful","A.C. Newman",80,1B,27,2023-01-16,02:18,35,"power pop","The Walking Dead: AMC Original Soundtrack, Vol. 2",2014-03-25,62,89,0,29,0,10,-11,B Major,4,7i4JaIRKhEwWdepqfpNqEy,USMTD1404790,no
16,"Be Gone Dull Cage - Walker Version","Kiev",80,8A,56,2023-01-16,06:21,24,"","Be Gone Dull Cage (Walker Version)",2014-10-27,57,26,87,48,0,0,-8,A Minor,4,4apRpkXLJSt8vTUvYlMubM,USUG11401745,no
17,"Bad Blood - From The Walking Dead","Alison Mosshart,Eric Arjes",119,3A,41,2023-01-16,03:37,34,"southern gothic","Bad Blood (From The Walking Dead)",2014-11-10,43,24,21,14,0,10,-9,A#/B♭ Minor,4,1y6gIO75NlJsNh5iUwjniI,QMLST1400301,no
18,"Weeds or Wildflowers","Parsonsfield",130,1B,81,2023-01-16,02:51,0,"folk pop","Poor Old Shine",2014-03-18,70,60,0,75,10,10,-4,B Major,4,48bskdBoz8aLOMAByH2UNO,USFMT1405901,no
19,"Arsonist's Lullabye","Hozier",65,11A,37,2023-01-16,04:26,56,"","From Eden EP",2014-03-09,46,67,7,18,0,10,-11,F#/G♭ Minor,4,1UWhx0pFZccP4jdCIZsj7U,USSM11401476,no
20,"At The Bottom Of Everything","Bright Eyes",107,8B,46,2023-01-16,04:34,0,"indie folk","I'm Wide Awake, It's Morning",2005-01-25,50,67,0,82,0,30,-11,C Major,4,6588w3GdDxmdtLMLuwf1tO,US2U60507201,no
21,"The Preacher","Jamie N Commons",142,4A,44,2023-01-16,03:40,36,"southern gothic","Rumble And Sway EP",2013-01-01,46,23,0,31,0,10,-8,F Minor,3,5fQ8zHRjtlN9Unfiaz4OQf,USUM71301205,no
22,"Be Gone Dull Cage","Kiev",80,8A,52,2023-01-16,06:18,29,"","Be Gone Dull Cage & Others",2011-10-15,59,24,93,54,0,0,-8,A Minor,4,2qqmU64hg47RMAXW8CoNCD,ushm91110912,no
23,"Warm Shadow (Dactyl Remix) - The Walking Dead Soundtrack","Fink",128,9A,39,2023-01-26,05:33,41,"indie folk","The Walking Dead (AMC’s Original Soundtrack – Vol. 1)",2013-01-01,48,59,67,19,0,10,-20,E Minor,4,61GKwfY9SlivF0OALGCd4O,USUM71300671,no
24,"The Crooked Kind","Radical Face",82,2B,40,2023-02-23,04:39,42,"indie folk","The Family Tree: The Branches",2013-10-22,58,26,0,11,0,10,-12,F#/G♭ Major,3,0dFHDJ2gGcU9pAxOzLsnib,CAN111300376,no
25,"Lightning Crashes","Live",90,1B,43,2023-04-06,05:25,75,"post-grunge, grunge","Throwing Copper",1994-01-01,38,24,0,43,0,10,-9,B Major,4,48iWbsOaBUAGzMdoSmqyg1,USRR29442180,no
26,"1,2,3,4","Alan Doyle",140,9B,88,2024-10-22,03:03,55,"sea shanties, celtic rock, celtic","So Let's Go",2015-01-20,68,2,0,87,0,0,-6,G Major,4,6AZQ7Gu6A0BeSpENDBNuB8,CA72N1400007,no
27,"Hell's Comin' with Me","Poor Man's Poison",130,9A,57,2024-10-22,03:32,75,"southern gothic","Hell's Comin' with Me",2019-12-13,58,33,0,55,0,10,-10,E Minor,4,5N0lmKQfQpXNQNjUGlPKIT,TCAEN1964122,no
28,"America's Sweetheart","Elle King",128,3B,93,2024-10-22,04:05,12,"","Love Stuff (Japan Version)",2014-00-00,53,2,0,40,0,30,-4,C♯/D♭ Major,4,0Ka7XOstgrmx6bFk77bnV5,USRC11402897,no
29,"Old Number Seven","The Devil Makes Three",142,1B,43,2024-10-22,03:20,65,"bluegrass, southern gothic, newgrass, americana, folk punk, alt country, folk, country blues","The Devil Makes Three",2002-11-01,57,20,0,89,0,10,-8,B Major,4,7FqrsV0vBwNiQNQI6jfzni,TCABK1251599,no
30,"The Well","Marcus King",121,11B,57,2024-10-22,02:57,61,"modern blues, blues rock","El Dorado",2020-01-17,58,0,0,48,0,10,-8,A Major,4,4wszHgvhXYlN2Io813hLQ1,USC4R1906988,no
31,"Black Creek","Brent Cobb",81,8B,37,2024-10-22,03:32,75,"outlaw country, americana, alt country, red dirt, country blues","No Place Left to Leave (2006)",2020-02-07,54,56,4,44,0,10,-12,C Major,4,4jB3Mw900goYibsFAueHph,US53Q0600031,no
32,"Oh Well feat. Chris Stapleton","Slash,Chris Stapleton",95,10B,91,2024-10-22,04:33,51,"hard rock, country, outlaw country","Orgy of the Damned",2024-05-17,49,0,10,60,0,20,-8,D Major,4,0o16V4WswA4aknX8WmVDsQ,QZWH32400007,no
