#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Space Junk","Wang Chung",95,9B,50,2017-11-29,04:00,57,"synthpop, new wave","Everybody Wang Chung Tonight... Wang Chung's Greatest Hits",2011-01-01,79,5,27,73,0,0,-13,G Major,4,2k84PL3GEmFR9BTJGshjxu,USGF19712202,no
2,"I’m A Man","Black Strobe",130,10A,78,2017-11-29,04:35,0,"electroclash","Burn Your Own Church",2007-06-05,73,0,76,82,10,0,-8,B Minor,4,3JVI710efRiB7comD33vD1,GBBKU0700015,no
3,"Adagio in D Minor","John Murphy",119,9B,49,2017-11-29,04:09,54,"score","Adagio in D Minor",2014-01-07,17,0,76,4,0,10,-8,G Major,4,6zuQUtY40YRNZprLy96QGR,QMLPR1200043,no
4,"Tomorrow Is a Long Time - Witmark Demo - 1962","Bob Dylan",90,12B,14,2017-11-29,03:44,41,"folk rock, folk, singer-songwriter, roots rock","The Witmark Demos: 1962-1964 (The Bootleg Series Vol. 9)",1963-01-04,40,89,0,51,0,10,-18,E Major,4,1albHYDB48jL8MuV75ffPA,USSM11003275,no
5,"The Regulator","Clutch",90,9B,71,2017-11-29,05:25,48,"stoner rock, stoner metal, sludge metal","Blast Tyrant (Deluxe Edition)",2011-05-10,57,12,0,21,0,10,-6,G Major,4,0ni8h8HAJNFwuL9cMWR9XN,USPAM1100201,no
6,"Lazy Bones","Wooden Shjips",109,9A,85,2017-11-29,03:53,36,"neo-psychedelic, psychedelic rock, space rock, shoegaze, krautrock, stoner rock","West",2011-09-13,37,0,8,55,0,0,-7,E Minor,3,5R74baUcQY784FpFx0E9WT,USTJ21127903,no
7,"Faze Wave","The Cave Singers",117,3B,88,2017-11-29,03:28,0,"indie folk","No Witch",2011-02-22,41,0,27,21,0,10,-8,C♯/D♭ Major,4,4OuOhSkoA65ErBjUpvh7Go,US38Y1117611,no
8,"Driver's Seat","Sniff 'n' The Tears",133,10A,80,2017-11-29,03:59,0,"","A Best Of",2011-09-26,74,0,2,98,0,10,-8,B Minor,4,1VcGNJxvkYzNVQdIH3sRNf,GBBHN9900337,no
9,"Civilian","Wye Oak",91,1A,70,2017-11-29,03:40,0,"","Civilian",2011-03-08,39,0,22,41,0,10,-7,G#/A♭ Minor,4,7630alXL5HfQAHQhBam5pJ,USMRG1140005,no
10,"Noisy Sunday","Patrick Watson",78,7B,19,2017-11-29,04:01,1,"","Adventures In Your Own Backyard",2012-05-01,24,95,17,12,0,10,-15,F Major,4,61RHPvhvC4O31uDXhy6IdE,CA0RZ1200020,no
