#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Behind The Veil","Myles Kennedy",130,12A,87,2025-09-23,05:47,31,"","The Art Of Letting Go",2024-10-11,47,0,0,19,0,10,-5,C♯/D♭ Minor,4,0dDb0G0DaI6URFknN5YlpS,ATN262429405,no
2,"The Mother, The Earth and I","Tremonti",76,9B,87,2025-09-23,05:06,36,"alternative metal, post-grunge, hard rock","The End Will Show Us How",2025-01-10,39,0,0,6,0,40,-6,G Major,4,0Silxuj9CSLmwQi9WJEdZi,ATN262529701,no
3,"Anastasia","Slash,Myles Kennedy And The Conspirators",101,3B,94,2025-09-23,06:07,48,"hard rock, ","Apocalyptic Love",2012-01-01,44,0,0,48,0,10,-5,C♯/D♭ Major,4,7JJ22vCP45tMhZnAH4Sp1e,US9T51000060,no
4,"The End","Mammoth",144,11B,97,2025-09-23,03:33,43,"","The End",2025-05-01,46,0,9,17,10,20,-4,A Major,4,6O07S5jyxG1e2hri4pcIjY,QMRSZ2500359,no
5,"Fable of the Silent Son","Alter Bridge",146,4B,72,2025-09-23,08:22,41,"post-grunge, alternative metal, hard rock","Pawns & Kings",2022-10-14,25,0,0,27,0,10,-6,G#/A♭ Major,4,3XhT2YLbnieryCbgtAfPoh,ATN262206007,no
6,"Words Darker Than Their Wings","Alter Bridge",157,12B,89,2025-09-23,05:23,35,"post-grunge, alternative metal, hard rock","AB III",2010-01-01,38,0,0,27,0,10,-5,E Major,3,66AsgHbaIWGklg0QnGKl7y,US2S70917014,yes
7,"Walking on the Sky","Alter Bridge",151,4B,90,2025-09-23,04:55,30,"post-grunge, alternative metal, hard rock","Walk The Sky",2019-10-18,28,0,1,19,10,20,-6,G#/A♭ Major,4,2aUW0JI6eSmfvNRfIwcrdC,ATN261982412,no
8,"12/31","The Mayfield Four",108,8B,26,2025-09-23,05:54,14,"post-grunge","Fallout",1998-05-26,38,54,0,12,0,30,-12,C Major,3,59wUNBUiVVozcjLUfbUlVS,USSM19800193,no
9,"Nothing but a Name","Myles Kennedy",136,5A,89,2025-09-23,05:00,25,"","Year of the Tiger",2018-03-09,50,10,0,38,0,10,-6,C Minor,4,2FqN9E54oEoyKZ3fcIlETj,ATN261877009,no
10,"The Spell","Mammoth",100,11B,85,2025-09-23,03:29,38,"","The Spell",2025-07-09,52,0,86,28,10,10,-4,A Major,4,0VqzSKEbRPWDy1xUIi1KwL,QMRSZ2500361,no
