#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"The Lion's Roar","First Aid Kit",123,8A,53,2019-07-23,05:07,0,"indie folk, folk","The Lion's Roar",2012-01-24,48,17,0,25,0,10,-6,A Minor,3,7JGdVPU3Zmg303Va2ZEipG,GBDNH1100096,no
2,"As We Ran","The National Parks",144,11B,59,2019-07-23,03:20,2,"folk pop","As We Ran",2014-01-28,43,2,1,18,0,30,-7,A Major,4,5ITmuvjtUUdxVQCCsaKBDx,uscgh1415693,no
3,"1953","The National Parks",119,12B,23,2019-07-23,03:39,0,"folk pop","Places",2017-09-15,42,76,0,22,0,30,-11,E Major,4,0P09OJ55rSpuG0TcV7NUOR,USULT1700106,no
4,"Places","The National Parks",128,10B,74,2019-07-23,03:15,0,"folk pop","Places",2017-09-15,53,12,0,29,0,0,-5,D Major,4,1TkzittARXqOUAP9wHTJwH,USULT1700100,no
5,"Lights in the City","The National Parks",135,1B,84,2019-07-23,03:27,0,"folk pop","Places",2017-09-15,52,2,0,43,0,30,-6,B Major,4,2Vi6Ar8PteV4HmwY5SJj3Y,USULT1700101,no
6,"All My Life","WILD",117,8B,73,2019-07-23,04:04,0,"folk pop","All My Life",2017-06-23,54,7,0,28,0,10,-6,C Major,4,0untRI7ZsAYhRBEUWV5pix,CAN111700171,no
7,"It Only Gets Better","WILD",100,12A,86,2019-07-23,03:25,0,"folk pop","It Only Gets Better",2019-03-08,65,7,0,51,0,0,-5,C♯/D♭ Minor,4,2VElMQrXmrKszZVZzbH5oK,CAN111900003,no
8,"Smoke","Tara Terra",171,3B,64,2019-07-23,03:44,2,"","Daughter",2014-08-30,25,1,0,61,0,10,-8,C♯/D♭ Major,4,43Q5ViomNNdhwnKuVbTFNI,QMPKX1470875,no
9,"Don't Call Me Darlin'","Tara Terra",99,5A,49,2019-07-23,04:08,3,"","Daughter",2014-08-30,46,48,0,39,0,10,-8,C Minor,4,6CZF5e3hfksGUFNLVsWBcs,QMPKX1470879,no
10,"Feral Heart","Tara Terra",128,10B,64,2019-07-23,03:42,1,"","Where's Your Light?",2017-05-31,62,1,0,34,0,10,-6,D Major,4,3CK6CjjrmPTJu5bq4tCrS4,QM99V1615801,no
11,"Lorelei","Tara Terra",130,7A,73,2019-07-23,04:13,2,"","Where's Your Light?",2017-05-31,60,5,0,34,0,0,-6,D Minor,4,4VnFBGhgwyGAMAeuD78OcA,QM99V1615809,no
12,"Ithaca","Tara Terra",80,5B,76,2019-07-23,04:04,0,"","Couch Surfer, Lover",2019-04-07,48,4,0,43,0,20,-5,D#/E♭ Major,4,1GJlqrk8FdabIZBJtXfZje,QZDA41993051,yes
13,"Here We Go","DISPATCH",105,11B,82,2019-07-31,04:40,42,"jam band","Bang Bang",1997-09-01,60,16,0,50,0,20,-4,A Major,4,54hVYvjP7uWq4mYfMeZYBO,US4QB0400033,no
14,"The General","DISPATCH",92,6B,68,2019-07-31,04:06,63,"jam band","Bang Bang",1997-09-01,55,44,0,69,10,10,-6,A#/B♭ Major,4,6n6EXIwLtNwe4u4CFzENYm,US4QB0400037,no
15,"Bats in the Belfry","DISPATCH",113,2A,84,2019-07-31,04:06,39,"jam band","Bang Bang",1997-09-01,69,25,0,88,0,0,-4,D#/E♭ Minor,4,7FA1ppdbeJfRW7OnXQByNX,US4QB0400031,no
16,"Coração","The National Parks",130,5B,62,2019-08-21,03:49,0,"folk pop","Until I Live",2015-08-04,50,2,0,45,0,10,-6,D#/E♭ Major,4,7s8slcfStICYWbPUwf983B,TCACF1553354,no
17,"Penelope","Red Scarves",131,10B,80,2019-09-19,04:16,0,"","Sort of Scarlet",2017-10-20,52,2,0,32,0,10,-6,D Major,4,3pEQ5bVK5bFRFB7x6Eqd8M,QZ9Y21736803,no
18,"Lightning Crashes","Live",90,1B,43,2024-11-27,05:25,75,"post-grunge, grunge","Throwing Copper",1994-01-01,38,24,0,43,0,10,-9,B Major,4,48iWbsOaBUAGzMdoSmqyg1,USRR29442180,no
19,"The Dolphin's Cry","Live",150,4A,79,2024-11-27,04:24,61,"post-grunge, grunge","The Distance To Here",1999-01-01,34,0,0,43,0,10,-6,F Minor,4,6FPnecQDKOWSAKDKBAZ7ZG,USMC19959412,no
20,"Make Up Your Mind","Red Scarves",78,7B,88,2024-11-27,03:19,1,"","Sort of Scarlet",2017-10-20,38,25,11,43,0,10,-3,F Major,4,6sGhbMZjg8MBFSfk65DHbN,QZ9Y21736809,no
21,"Running Start","Red Scarves",108,4B,66,2024-11-28,02:57,0,"","Red Scarves",2015-09-12,53,2,55,95,0,0,-6,G#/A♭ Major,4,2OkLCiq8No8BYMa0JovqAE,QM4DW1651236,no
22,"Shrug","Red Scarves",109,12A,75,2024-11-28,03:19,0,"","Red Scarves",2015-09-12,61,0,0,57,0,20,-7,C♯/D♭ Minor,4,5cHYkcDBZfvvoBZJDRrWjv,QM4DW1651237,no
