#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Convoy","C.W. McCall",112,7B,54,2025-07-09,03:50,66,"classic country","C.W. McCall's Greatest Hits",1990-01-01,68,86,0,80,10,0,-15,F Major,4,6dGWq08LXuIw6T2oUeHECh,USPR37500034,no
2,"Sink The Bismarck","Johnny Horton",116,5B,57,2025-07-09,03:14,47,"classic country, rockabilly, honky tonk","Johnny Horton'S Greatest Hits",1961-00-00,68,65,0,97,10,0,-12,D#/E♭ Major,4,4F7T8NnGKbhLMVtAMycDQg,USSM19916426,no
3,"Highwayman","The Highwaymen,Willie Nelson,Johnny Cash,Waylon Jennings,Kris Kristofferson",101,10B,35,2025-07-10,03:03,70,"outlaw country, classic country, country, traditional country, honky tonk","Highwayman",1985-05-01,67,48,2,45,0,10,-17,D Major,4,7jWbXvrgdbkajU8L28ahn5,USSM19904362,no
4,"Roll Me Up and Smoke Me When I Die - Live","Willie Nelson,Jimmy Buffett,Emmylou Harris,Sheryl Crow,Eric Church,George Strait,Dave Matthews,Chris Stapleton,Derek Trucks,Kris Kristofferson,The Avett Brothers,Bobby Bare,Jack Johnson,Jamey Johnson,Lee Ann Womack,Lukas Nelson,Lyle Lovett,Margo Price,Micah Nelson,Nathaniel Rateliff",107,8B,81,2025-10-31,02:14,62,"outlaw country, classic country, country, traditional country, honky tonk, country rock, americana, folk, alt country, bluegrass, singer-songwriter, acoustic country, jam band, indie folk, newgrass, folk rock, surf rock, red dirt","Willie Nelson American Outlaw (Live)",2020-12-11,43,7,11,34,0,80,-9,C Major,3,5iis9J2sptrUy0VIpFVIg1,QZ7KM2000069,no
5,"The Battle Of New Orleans","Johnny Horton",177,11B,74,2025-11-06,02:31,57,"classic country, rockabilly, honky tonk","American Originals",1989-06-13,70,81,0,92,10,20,-12,A Major,4,66eFGhs8LXeBgrXk0YgRJK,USSM10010121,no
6,"El Paso","Marty Robbins",107,10B,45,2025-11-06,04:19,69,"classic country, outlaw country","Gunfighter Ballads And Trail Songs",1959-00-00,65,84,0,69,0,10,-10,D Major,3,4f8hBeMXMvssn6HtFAtblo,USSM15901202,no
7,"Whiskey River","Willie Nelson",77,9B,57,2025-11-06,04:07,67,"outlaw country, classic country, country, traditional country, honky tonk","Shotgun Willie",1973-00-00,58,36,0,85,0,10,-9,G Major,4,6gS6XQ4OqMddkgzHNz40E5,USAT20107300,no
8,"Mammas Don't Let Your Babies Grow up to Be Cowboys","Waylon Jennings,Willie Nelson",188,11B,36,2026-01-19,02:37,72,"outlaw country, classic country, country, honky tonk, traditional country","Waylon & Willie",1978-01-01,36,62,0,61,0,10,-14,A Major,3,7nVQ8mo77KaUvhUQzh4vMy,USRN10000382,no
9,"One Piece at a Time","Johnny Cash,Tennessee Three",103,6B,54,2026-01-19,04:01,64,"classic country, outlaw country, country","One Piece At A Time",1976-05-01,72,69,0,96,30,20,-14,A#/B♭ Major,4,1sueD22EyCamMjdQu9Kuo3,USSM19902349,no
10,"I've Been Everywhere","Johnny Cash",112,9A,78,2026-01-19,03:17,68,"classic country, outlaw country, country","American II: Unchained",1996-01-01,73,61,0,81,0,30,-6,E Minor,4,2vLPGv0TAzbY68zYBbRCD3,USSM19605699,no
11,"Folsom Prison Blues","Johnny Cash",111,7B,53,2026-01-19,02:35,69,"classic country, outlaw country, country","I Walk the Line",1964-06-13,69,19,8,78,0,20,-10,F Major,4,0LTSNmOLBt25GMjHlxp9OR,USSM11201764,no
