#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Throne","Bring Me The Horizon",144,5A,89,2024-06-09,03:11,79,"metalcore, emo, rock, screamo, metal, post-hardcore","That's The Spirit",2015-09-11,43,0,0,39,10,30,-4,C Minor,4,0M3adYbGtyRHACP86dey1H,GBARL1500770,no
2,"Popular Monster","Falling In Reverse",165,2A,90,2024-06-09,03:40,71,"emo, rap metal","Popular Monster",2019-11-20,46,1,0,36,0,10,-4,D#/E♭ Minor,4,4GssB27iJeqmfGxS94Tfij,USEP41915005,yes
3,"Dust","Tremonti",81,11A,85,2024-06-09,05:21,46,"alternative metal, post-grunge, hard rock","Dust",2016-04-29,32,0,3,26,0,20,-6,F#/G♭ Minor,4,0pcOZfr5OWZ5lvwNcPhjtU,QMEU31500592,no
4,"Show Me A Leader","Alter Bridge",132,4B,97,2024-06-09,05:05,38,"post-grunge, alternative metal, hard rock","The Last Hero",2016-10-07,22,0,0,17,10,0,-4,G#/A♭ Major,4,6sH3bAoqJZEOqGsp6Uch3u,ATN261669101,no
5,"Song #3","Stone Sour",157,3B,95,2024-06-20,04:16,67,"post-grunge, alternative metal, nu metal","Hydrograd",2017-06-30,48,0,0,43,0,10,-5,C♯/D♭ Major,4,5jsDxDkJ1PqyYUWhDMr86B,NLA321700079,no
6,"Cut the Cord","Shinedown",178,9B,97,2024-10-21,03:44,72,"post-grunge, alternative metal, rock","Threat to Survival",2015-09-18,45,0,0,53,0,30,-3,G Major,4,4LFBVDJV0xpayUvquQVzhS,USAT21501541,no
7,"Jenny","NOTHING MORE",106,10A,91,2024-10-21,03:56,71,"","Nothing More",2014-06-23,52,0,0,20,10,50,-8,B Minor,4,2CASGo9Wmd6Dxrq3ygnRjf,USDPK1400165,no
8,"Falling Apart","Papa Roach",110,2A,94,2024-10-21,03:08,0,"nu metal, rap metal, alternative metal, rap rock, rock","F.E.A.R.",2015-01-27,53,0,0,42,0,30,-3,D#/E♭ Minor,4,2bz1WTXLHaFffolrF4GCml,USDPK1400253,no
9,"Sound of Madness","Shinedown",186,7A,94,2024-10-21,03:53,75,"post-grunge, alternative metal, rock","The Sound of Madness",2008-06-23,33,0,1,33,0,30,-2,D Minor,4,0W9Xvd4Qx1aZPxEi94vgRY,USAT20802280,no
10,"Radioactive","Bullet For My Valentine",143,11B,70,2024-10-21,03:13,55,"metalcore, metal","Gravity (Deluxe Edition)",2018-06-29,52,3,0,27,0,30,-5,A Major,4,41m0IIkRmasSewpmbQs9L0,GBUM71801773,no
11,"Fake It","Seether",132,4B,95,2024-10-21,03:13,79,"post-grunge, alternative metal, rock","Finding Beauty In Negative Spaces (Bonus Track Version)",2007-01-01,61,0,0,61,0,0,-4,G#/A♭ Major,4,4eAwB5pnKFTmsgc3zWoYO0,USWU30700132,yes
12,"Gravity","Papa Roach",86,3B,92,2024-10-21,04:04,0,"nu metal, rap metal, alternative metal, rap rock, rock","F.E.A.R.",2015-01-27,57,1,0,64,20,10,-4,C♯/D♭ Major,4,3v5gs2Kg3wHhoufQIQvAdx,USDPK1400256,no
13,"Love the Way You Hate Me","Like A Storm",160,2B,82,2024-10-21,04:49,54,"","Awaken the Fire",2015-02-24,48,0,0,10,0,0,-5,F#/G♭ Major,4,6h8TvDRaMTRfe2TIG6dqpH,US4E41417301,no
14,"The Mother, The Earth and I","Tremonti",76,9B,87,2024-10-22,05:06,22,"alternative metal, post-grunge, hard rock","The Mother, The Earth and I",2024-09-18,39,0,0,6,0,40,-6,G Major,4,6cLxUmYnW9IFVvasteS4NX,ATN262529701,no
15,"Just Too Much","Tremonti",77,10A,91,2024-10-22,03:46,10,"alternative metal, post-grunge, hard rock","The Mother, The Earth and I",2024-09-18,40,0,0,33,0,0,-5,B Minor,4,7cSgup2kC7zslq3NJV9HR4,ATN262529703,no
16,"Bad Habits (feat. Bring Me The Horizon)","Ed Sheeran,Bring Me The Horizon",131,10A,85,2025-02-11,04:10,51,"soft pop, metalcore, emo, rock, screamo, metal, post-hardcore","= (Tour Edition)",2022-05-27,59,3,0,18,0,10,-5,B Minor,4,5L9Ptz7hUfTavjjdRRiNXR,GBAHS2200173,no
17,"Down with the Sickness","Disturbed",90,2A,88,2025-02-11,04:39,81,"metal, nu metal, alternative metal, rap metal, hard rock","The Sickness",2000-03-07,70,0,0,94,0,10,-4,D#/E♭ Minor,4,40rvBMQizxkIqnjPdEWY1v,USGI19900180,yes
18,"Dragula","Rob Zombie",125,5A,96,2025-02-11,03:42,82,"industrial metal, industrial rock, alternative metal, metal, nu metal","Hellbilly Deluxe",1998-01-01,59,0,0,59,0,0,-6,C Minor,4,6Nm8h73ycDG2saCnZV8poF,USGF19821203,no
19,"Where the Wind Blows","Blacktop Mojo",147,2B,90,2025-12-12,04:25,53,"","Burn the Ships",2017-03-10,51,0,0,66,0,0,-3,F#/G♭ Major,4,0N8CbXLlX71ltJ20Qu6Bfz,USEJE1701001,no
