#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Say What You Will","Myles Kennedy",120,3A,98,-,03:33,27,"","Say What You Will",2024-06-11,47,0,0,23,20,0,-5,A#/B♭ Minor,4,6Q47FSXfau9Adh1qmFFmyb,ATN262429402,no
2,"Beautiful Things","Benson Boone",105,6B,47,-,03:00,90,"","Fireworks & Rollerblades",2024-04-05,47,15,0,22,0,10,-6,A#/B♭ Major,3,3xkHsmpQCBMytMJNiDf3Ii,USWB12307016,no
3,"Northern Attitude","Noah Kahan",121,5B,63,-,04:27,83,"","Stick Season",2022-10-14,52,12,0,32,0,10,-8,D#/E♭ Major,4,4O2rRsoSPb5aN7N3tG6Y3v,USUM72217167,yes
4,"False Confidence","Noah Kahan",109,2B,66,-,03:43,76,"","Busyhead",2019-06-14,41,16,0,33,0,10,-8,F#/G♭ Major,4,7nDFTHHwfe32a8qdp9XqPy,USUM71814497,yes
5,"Nothing More To Gain","Myles Kennedy",157,3A,96,-,05:04,19,"","Nothing More To Gain",2024-07-30,41,0,0,29,40,0,-6,A#/B♭ Minor,4,6ierIen2I4zluIF6O4pT0q,ATN262429408,no
6,"Too Sweet","Hozier",117,6B,62,-,04:11,82,"","Unreal Unearth: Unaired",2024-08-19,74,3,0,93,0,0,-6,A#/B♭ Major,4,76JKIsdKrAfWUMjaA0u7v5,USSM12401865,no
7,"Lose Control","Teddy Swims",160,11B,60,-,03:30,90,"","I've Tried Everything But Therapy (Part 1)",2023-09-15,56,20,0,24,0,10,-4,A Major,3,17phhZDn6oGtzMe56NuWvj,USWB12302315,no
8,"Stick Season","Noah Kahan",118,11B,50,-,03:02,88,"","Stick Season",2022-10-14,66,80,0,80,0,10,-7,A Major,4,0mflMxspEfB0VbI1kyLiAv,USUM72212470,no
9,"Miss You When You're Gone","Myles Kennedy",121,8B,96,-,04:10,18,"","Miss You When You're Gone",2024-09-13,39,0,0,12,10,10,-4,C Major,4,3hZ4yniIF0E16hRM10SsJ3,ATN262429404,no
10,"Almost (Sweet Music)","Hozier",90,9B,69,-,03:37,76,"","Wasteland, Baby!",2019-03-01,52,2,0,71,10,20,-6,G Major,4,5Apvsk0suoivI1H8CmBglv,USSM11806793,no
11,"The Mother, The Earth and I","Tremonti",76,9B,87,-,05:06,22,"alternative metal, post-grunge, hard rock","The Mother, The Earth and I",2024-09-18,39,0,0,6,0,40,-6,G Major,4,6cLxUmYnW9IFVvasteS4NX,ATN262529701,no
12,"Slow It Down","Benson Boone",181,4B,58,-,02:41,84,"","Fireworks & Rollerblades",2024-04-05,43,17,0,54,0,0,-5,G#/A♭ Major,4,51eSHglvG1RJXtL3qI5trr,USWB12400913,no
13,"Year of the Tiger","Myles Kennedy",84,8A,93,-,03:40,36,"","Year of the Tiger",2018-03-09,47,0,0,43,0,10,-5,A Minor,4,1LwS1Wh33VQAsqMhw6Sl0f,ATN261877001,no
14,"Take Me to Church","Hozier",129,9A,66,-,04:01,82,"","Hozier (Expanded Edition)",2014-09-19,57,63,0,44,0,10,-5,E Minor,4,1CS7Sd1u5tWkstBhpssyjP,USSM11307291,no
15,"Flying Horses","DISPATCH",112,9A,74,-,05:23,50,"jam band","Silent Steeples",1996-08-19,47,5,0,64,0,0,-6,E Minor,4,5bO5xc5BHe1aTsaqyRZLNU,US4QB0400019,no
16,"White Horse","Chris Stapleton",145,12A,77,-,04:27,71,"country, outlaw country","White Horse",2023-07-21,35,0,60,22,0,10,-11,C♯/D♭ Minor,4,7MSWxMumjz6lHj7oRApNbg,USUG12300484,no
17,"obsessed","Olivia Rodrigo",120,4B,58,-,02:50,78,"","GUTS (spilled)",2024-03-22,68,2,0,63,10,20,-5,G#/A♭ Major,4,6tNgRQ0K2NYZ0Rb9l9DzL8,USUG12305564,yes
18,"Silver Lining","Mt. Joy",144,8B,62,-,03:18,4,"","Mt. Joy",2018-03-02,54,0,0,20,0,10,-7,C Major,4,0i5QVxsK3IvEDbUjTA64Li,USDMG1785501,no
